species,life_form,source,notes_1,notes_2
Linaria depauperata var. hegelmaieri (Lange) Nyman Nyman (Lange),no_life_form_on_database,,,
Linaria polygalifolia Hoffmanns. & Link,no_life_form_on_database,,,
Linaria atlantica Boiss. & Reut.,no_life_form_on_database,,,
Linaria kavirensis Hamdi & Assadi,annual,,,
Linaria simplex Desf.,annual,,,
Linaria micrantha (Cav.) Hoffmanns. & Link Hoffmanns. & Link (Cav.),annual,,,
Linaria arvensis (L.) Desf. Desf. (L.),annual,,,
Linaria tursica Vald√©s & Cabezudo,annual,"Valdés, B., & Lifante, Z. D. (1996). Habitual autogamy in Linaria tursica VALDES et CABEZUDO (Scrophulariaceae). Flora, 191(4), 329-333.",manually_curated,
Linaria amethystea (Vent.) Hoffmanns. & Link Hoffmanns. & Link (Vent.),no_life_form_on_database,,,
Linaria saxatilis DC.,perennial,,,
Linaria diffusa Hoffmanns. & Link,annual,,,
Linaria bipunctata Nyman,annual,,,
Linaria ficalhoana Rouy,annual,,,
Linaria intricata Coincy,annual,,,
Linaria huteri Lange,annual,,,
Linaria bubanii Font Quer,annual,,,
Linaria glauca Ehrenb. ex Boiss.,annual,,,
Linaria glauca subsp. olcadium Vald√©s & D.A.Webb,perennial,,,
Linaria badalii Willk.,annual,,,
Linaria propinqua R.Br.,no_life_form_on_database,,,
Linaria amethystea f. broussonetii (Poir.) Vald√©s Vald√©s (Poir.),no_life_form_on_database,,,
Linaria munbyana Boiss. & Reut.,annual,,,
Linaria oligantha Lange,annual,,,
Linaria ricardoi Cout.,annual,,,
Linaria alpina (L.) Mill. Mill. (L.),annual,,,
Linaria arenaria Jahand. & Maire,annual,,,
Linaria faucicola Leresche & Levier,annual,,,
Linaria filicaulis Boiss. ex Leresche & Levier,no_life_form_on_database,,,
Linaria orbensis Carretero & Boira,annual,,,
Linaria hirta (L.) Moench Moench (L.),annual,,,
Linaria canadensis (L.) Chaz. Chaz. (L.),annual,"Wolfe, L. M., & Sellers, S. E. (1997). Polymorphic floral traits in Linaria canadensis (Scrophulariaceae). American Midland Naturalist, 134-139.",manually_curated,
Linaria subandina Diels,annual,,manually_curated,
Linaria texana Scheele,annual,"Richardson, A. (2021). Scrophulariaceae. In Plants of the Rio Grande Delta (pp. 239-243). University of Texas Press.",manually_curated,
Linaria armeniaca Chav.,annual,,,
Linaria chalepensis (L.) Mill. Mill. (L.),annual,,,
Linaria pelisseriana (L.) Mill. Mill. (L.),annual,,,
Linaria triornithophora (L.) Willd. Willd. (L.),perennial,,,
