"species","life_form"
"Petrocodon niveolanosus (D.Fang & W.T.Wang) A.Weber & Mich.Möller A.Weber & Mich.Möller (D.Fang & W.T.Wang)","perennial"
"Hemiboea cavaleriei H.Lév.","perennial"
"Hemiboea C.B.Clarke_indet_sp2","no_life_form_on_database"
"Hemiboea subcapitata C.B.Clarke","perennial"
"Hemiboea gracilis Franch.","perennial"
"Hemiboea rubribracteata Z.Y.Li & Y.Liu","perennial"
"Hemiboea magnibracteata Y.G.Wei & H.Q.Wen","perennial"
"Hemiboea longzhouensis W.T.Wang","perennial"
"Hemiboea longgangensis Z.Y.Li","perennial"
"Hemiboea purpureotincta (W.T.Wang) Mich.Möller & A.Weber Mich.Möller & A.Weber (W.T.Wang)","no_life_form_on_database"
"Hemiboea follicularis C.B.Clarke","perennial"
"Hemiboea omeiensis W.T.Wang","perennial"
"Hemiboea fangii Chun ex Z.Y.Li","perennial"
"Hemiboea ovalifolia (W.T.Wang) Mich.Möller & A.Weber Mich.Möller & A.Weber (W.T.Wang)","no_life_form_on_database"
"Lysionotus forrestii W.W.Sm.","perennial"
"Lysionotus petelotii Pellegr.","perennial"
"Lysionotus pauciflorus Maxim.","perennial"
"Lysionotus chingii Chun ex W.T.Wang","perennial"
"Lysionotus oblongifolius W.T.Wang","perennial"
"Lysionotus denticulosus W.T.Wang","perennial"
"Anna mollifolia (W.T.Wang) W.T.Wang & K.Y.Pan W.T.Wang & K.Y.Pan (W.T.Wang)","perennial"
"Anna submontana Pellegr.","perennial"
"Anna ophiorrhizoides (Hemsl.) B.L.Burtt & R.A.Davidson B.L.Burtt & R.A.Davidson (Hemsl.)","perennial"
"Raphiocarpus sinicus Chun","perennial"
"Briggsia mihieri (Franch.) Craib Craib (Franch.)","no_life_form_on_database"
"Briggsia longipes (Hemsl. ex Oliv.) Craib Craib (Hemsl. ex Oliv.)","no_life_form_on_database"
"Petrocosmea sinensis Oliv.","perennial"
"Petrocosmea oblata Craib","perennial"
"Petrocosmea nervosa Craib","perennial"
"Petrocosmea sericea C.Y.Wu ex H.W.Li","perennial"
"Petrocosmea minor Hemsl.","perennial"
"Petrocosmea kerrii Craib","perennial"
"Raphiocarpus begoniifolius (H.Lév.) B.L.Burtt B.L.Burtt (H.Lév.)","perennial"
"Raphiocarpus petelotii (Pellegr) B.L.Burtt B.L.Burtt (Pellegr)","no_life_form_on_database"
"Raphiocarpus sesquifolius (C.B.Clarke) B.L.Burtt B.L.Burtt (C.B.Clarke)","perennial"
"Allostigma guangxiense W.T.Wang","perennial"
"Loxostigma glabrifolium D.Fang & K.Y.Pan","perennial"
"Loxostigma fimbrisepalum K.Y.Pan","perennial"
"Loxostigma griffithii (Wight) C.B.Clarke C.B.Clarke (Wight)","perennial"
"Loxostigma cavaleriei (H.Lév. & Vaniot) B.L.Burtt B.L.Burtt (H.Lév. & Vaniot)","perennial"
"Pseudochirita guangxiensis (S.Z.Huang) W.T.Wang W.T.Wang (S.Z.Huang)","perennial"
"Briggsia dongxingensis Chun ex K.Y.Pan","no_life_form_on_database"
"Raphiocarpus macrosiphon (Hance) B.L.Burtt B.L.Burtt (Hance)","perennial"
"Briggsiopsis delavayi (Franch.) K.Y.Pan K.Y.Pan (Franch.)","perennial"
"Didymostigma trichanthera C.X.Ye & X.G.Shi","no_life_form_on_database"
"Didymostigma obtusum (C.B.Clarke) W.T.Wang W.T.Wang (C.B.Clarke)","annual"
"Cyrtandra grayi C.B.Clarke","perennial"
"Cyrtandra biserrata Hillebr.","perennial"
"Cyrtandra sessilis H.St.John","perennial"
"Cyrtandra platyphylla A.Gray","perennial"
"Cyrtandra tintinnabula Rock","perennial"
"Cyrtandra wagneri Lorence & Perlman","perennial"
"Cyrtandra spathulata H.St.John","perennial"
"Cyrtandra munroi Forbes","perennial"
"Cyrtandra wainihaensis H.Lév.","no_life_form_on_database"
"Cyrtandra kealiae Wawra","perennial"
"Cyrtandra confertiflora (Wawra) C.B.Clarke C.B.Clarke (Wawra)","no_life_form_on_database"
"Cyrtandra pickeringii A.Gray","perennial"
"Cyrtandra longifolia (Wawra) Hillebr. Hillebr. (Wawra)","perennial"
"Cyrtandra kaulantha H.St.John & Storey","perennial"
"Cyrtandra calpidicarpa (Rock) H.St.John & Storey H.St.John & Storey (Rock)","perennial"
"Cyrtandra filipes Hillebr.","perennial"
"Cyrtandra thibaultii Fosberg & Sachet","perennial"
"Cyrtandra nukuhivensis F.Br.","perennial"
