species,life_form,source,notes_1,notes_2,
Croton gynopetalus Croizat,no_life_form_on_database,,,,
Croton jutiapensis Croizat,perennial,,,,
Croton guildingii subsp. tiarensis P.E.Berry & Riina,perennial,"Berry, P. E., Ferreira de Sales, M., Riina, R., & Barreto, L. (2007). New Synonymy in Croton sect. Geiseleria (Euphorbiaceae) from the Caribbean and a new subspecies of Croton guildinghi from Venezuela.",manually_curated,"""shrub""",
Croton chamelensis E.J.Lott,perennial,,,,
Croton itzaeus Lundell,perennial,,,,
Croton cupulifer McVaugh,perennial,,,,
Croton martinianus V.W.Steinmann,perennial,,,,
Croton varelae V.W.Steinm.,annual,,,,
Croton glandulosus L.,annual,,,,
Croton hirtus L'Hér.,annual,,,,
Croton pachysepalus Griseb.,perennial,,,,
Croton liebmannii Müll.Arg.,no_life_form_on_database,,,,
Croton macrodontus Müll.Arg.,perennial,,,,
Croton brevipes Pax,perennial,,,,
Croton betulinus Vahl,perennial,,,,
Croton malvaviscifolius Millsp.,perennial,,,,
Croton repens Schltdl.,perennial,,,,
Croton antisyphiliticus Mart.,perennial,,,,
Croton polyandrus Spreng.,perennial,,,,
Croton cordiifolius Baill.,perennial,,,,
Croton chocoanus Croizat,perennial,,,,
Croton smithianus Croizat,perennial,,,,
Croton palanostigma Klotzsch,perennial,,,,
Croton skutchii Standl.,no_life_form_on_database,,,,
Croton matourensis Aubl.,perennial,,,,
Croton ameliae Lundell,perennial,,,,
Croton glandulosepalus Millsp.,perennial,,,,
Croton glabellus L.,perennial,,,,
Croton sutup Lundell,perennial,,,,
Croton guianensis Aubl.,perennial,,,,
Croton hircinus Vent.,perennial,,,,
Croton sellowii Baill.,perennial,,,,
Croton cerinus Müll.Arg.,perennial,,,,
Croton nummulariifolius A.Rich.,no_life_form_on_database,,,,
Croton paludosus Müll.Arg.,perennial,,,,
Croton velutinus Baill.,perennial,,,,
Croton ovalifolius Vahl,perennial,,,,
Croton eremophilus Müll.Arg.,perennial,,,,
Croton montevidensis Spreng.,perennial,,,,
Croton serratifolius Baill.,perennial,,,,
Croton gnaphalii Baill.,perennial,,,,
Croton laureltyanus Ahumada,perennial,,,,
Croton argentinus Müll.Arg.,perennial,,,,
Croton catamarcensis Ahumada,perennial,,,,
Croton pycnocephalus Baill.,perennial,,,,
Croton ceanothifolius Baill.,perennial,,,,
Croton pallidulus Baill.,perennial,Flora do Brasil,manually_curated,"""shrub""",
Croton dichrous Müll.Arg.,perennial,,,,
Croton erythroxyloides Baill.,perennial,,,,
Croton andinus Müll.Arg.,perennial,,,,
Croton cuyabensis Pilg.,perennial,,,,
Croton linearifolius Müll.Arg.,perennial,,,,
Croton longicolumellus B.W.van Ee & P.E.Berry,perennial,,,,
Croton burchellii Müll.Arg.,perennial,,,,
Croton breedlovei B.W.van Ee & P.E.Berry,perennial,,,,
Croton pedicellatus Kunth,perennial,,,,
Croton tenuilobus S.Watson,perennial,,,,
Croton luetzelburgii Pax & K.Hoffm.,perennial,,,,
Croton guatemalensis Lotsy,perennial,,,,
Croton reflexifolius Kunth,perennial,,,,
Croton fantzianus F.Seym.,perennial,,,,
Croton niveus Jacq.,perennial,,,,
Croton pseudoniveus Lundell,perennial,,,,
Croton nitens Sw.,perennial,,,,
Croton schiedeanus Schltdl.,perennial,,,,
Croton arboreus Millsp.,perennial,,,,
Croton icche Lundell,perennial,,,,
Croton sousae Mart.Gord. & Cruz Durán,perennial,"Gordillo, M. M., & Dur�n, R. C. (2002). Especie nueva de la secci�n Eluteria Griseb. del g�nero Croton (Euphorbiaceae) de Veracruz, M�xico. Anales del Instituto de Biolog�a. Serie Bot�nica, 73(2), 141-145.",manually_curated,"""tree""",
Croton brittonianus Carabia,perennial,,,,
Croton myricifolius Griseb.,perennial,,,,
Croton bispinosus C.Wright,perennial,,,,
Croton grisebachianus Müll.Arg.,perennial,,,,
Croton laurinus Sw.,perennial,,,,
Croton jamaicensis B.W.van Ee & P.E.Berry,perennial,,,,
Croton eichleri Müll.Arg.,perennial,,,,
Croton priscus Croizat,perennial,,,,
Croton thomasii Riina & P.E.Berry,perennial,Flora do Brasil,manually_curated,"""tree""",
Croton cuneatus Klotzsch,perennial,,,,
Croton yavitensis Croizat,perennial,,,,
Croton domatifer Riina & P.E.Berry,perennial,,,,
Croton roraimensis Croizat,perennial,,,,
Croton malambo H.Karst.,perennial,,,,
Croton parksii Croizat,annual,,,,
Croton punctatus Jacq.,perennial,,,,
Croton wigginsii L.C.Wheeler,perennial,,,,
Croton californicus Müll.Arg.,perennial,,,,
Croton texensis (Klotzsch) Müll.Arg. Müll.Arg. (Klotzsch),annual,,,,
Croton dioicus Cav.,perennial,,,,
Croton argyranthemus Michx.,annual,,,,
Croton coryi Croizat,annual,,,,
Croton_michauxii_var_elliptica_UNMATCHED_indet_sp1,annual,"Systematic Botany (2010), 35(1): pp. 151�167",manually_curated,,
Croton willdenowii G.L.Webster,annual,"Systematic Botany (2010), 35(1): pp. 151�167",manually_curated,,
Croton cupreatus Croizat,perennial,,,,
Croton setiger Hook.,annual,,,,
Croton acutifolius Esser,perennial,,,,
Croton wallichii Müll.Arg.,perennial,,,,
Croton robustus Kurz,perennial,,,,
Croton stellatopilosus H.Ohba,perennial,,,,
Croton columnaris Airy Shaw,perennial,,,,
Croton roxburghii Wall.,perennial,https://doi.org/10.1016/j.jep.2003.09.002,manually_curated,"""small to medium size tree""",
Croton hutchinsonianus Hosseus,perennial,,,,
Croton laevigatus Vahl,perennial,,,,
Croton kongkandanus Esser,perennial,,,,
Croton poilanei Gagnep.,perennial,,,,
Croton decalvatus Esser,perennial,,,,
Croton cascarilloides Raeusch.,perennial,,,,
Croton kerrii Airy Shaw,perennial,,,,
Croton microtiglium Burkill,perennial,,,,
Croton verreauxii Baill.,perennial,,,,
Croton insularis Baill.,perennial,,,,
Croton klotzschianus (Wight) Thwaites Thwaites (Wight),perennial,,,,
Croton argyratus Blume,perennial,,,,
Croton crassifolius Geiseler,perennial,,,,
Croton minimus P.I.Forst.,no_life_form_on_database,,,,
Croton caudatus Geiseler,perennial,,,,
Croton lachnocarpus Benth.,perennial,,,,
Croton euryphyllus W.W.Sm.,perennial,,,,
Croton coriifolius Airy Shaw,perennial,,,,
Croton ripensis Kaneh. & Hatus.,perennial,,,,
Croton kongensis Gagnep.,perennial,,,,
Croton tiglium L.,perennial,,,,
Croton L._indet_sp2,no_life_form_on_database,,,,
Croton louvelii Leandri,perennial,https://doi.org/10.1093/botlinnean/box004,manually_curated,"""tree or shrub""",
Croton bracteatus Lam.,perennial,,,,
Croton chrysodaphne Baill.,perennial,,,,
Croton noronhae Baill.,perennial,,,,
Croton crocodilorum Leandri,perennial,,,,
Croton bojerianus Baill.,perennial,,,,
Croton manampetsae Leandri,perennial,,,,
Croton mongue Baill.,perennial,,,,
Croton oreades Leandri,no_life_form_on_database,,,,
Croton goudotii Baill.,perennial,,,,
Croton heteranthus Aug.DC.,perennial,,,,
Croton vernicosus Baker,perennial,https://doi.org/10.1093/botlinnean/box004,manually_curated,"""tree or shrub""",
Croton trichotomus Geiseler,perennial,,,,
Croton boiteaui Leandri,perennial,,,,
Croton miarensis Leandri,perennial,,,,
Croton nobilis Baill.,perennial,,,,
Croton gratissimus Burch.,perennial,,,,
Croton zambesicus Müll.Arg.,perennial,"Okokon, J. E., & Nwafor, P. A. (2010). Antiinflammatory, analgesic and antipyretic activities of ethanolic root extract of Croton zambesicus. Pak J Pharm Sci, 23(4), 385-392.",manually_curated,"""tree""",
Croton socotranus Balf.f.,perennial,,,,
Croton roxanae Croizat,perennial,,,,
Croton suberosus Kunth,perennial,,,,
Croton torreyanus Müll.Arg.,no_life_form_on_database,,,,
Croton virletianus Müll.Arg.,perennial,,,,
Croton morifolius Willd.,perennial,,,,
Croton ehrenbergii Schltdl.,perennial,,,,
Croton hypoleucus Schltdl.,perennial,,,,
Croton yecorensis V.W.Steinmann & Felger,perennial,,,,
Croton suyapensis Ant.Molina,no_life_form_on_database,,,,
Croton vitifolius Lundell,no_life_form_on_database,,,,
Croton francoanus Müll.Arg.,perennial,,,,
Croton limnocharis Croizat,no_life_form_on_database,,,,
Croton lasiopetaloides Croizat,no_life_form_on_database,,,,
Croton magdalenae Millsp.,perennial,,,,
Croton disjunctus V.W.Steinm.,perennial,,,,
Croton L._indet_sp3,no_life_form_on_database,,,,
Croton heterochrous Müll.Arg.,perennial,,,,
Croton payaquensis Standl.,perennial,,,,
Croton adspersus Benth.,perennial,,,,
Croton websteri M.J.Martinez Gordillo & J.Jiménez Ram.,perennial,,,,
Croton ynesae Croizat,perennial,,,,
Croton stipulaceus Kunth,perennial,,,,
Croton michaelii V.W.Steinm.,perennial,,,,
Croton suaveolens Torr.,perennial,,,,
Croton adenophyllum Spreng.,no_life_form_on_database,,,,
Croton humilis L.,perennial,,,,
Croton pulcher Müll.Arg.,perennial,,,,
Croton soliman Cham. & Schltdl.,perennial,,,,
Croton ciliatoglandulifer Ortega,perennial,,,,
Croton chichenensis Lundell,perennial,,manually_curated,"""shrub""",
Croton fruticulosus Torr.,perennial,,,,
Croton caboensis Croizat,perennial,,,,
Croton sonorae Torr.,perennial,,,,
Croton peraeruginosus Croizat,perennial,,,,
Croton abutiloides Kunth,perennial,,,,
Croton xalapensis Kunth,perennial,,,,
Croton aequatoris Croizat,perennial,,,,
Croton pungens Jacq.,perennial,,,,
Croton ruizianus Müll.Arg.,perennial,,,,
Croton chilensis Müll.Arg.,perennial,,,,
Croton lachnostachyus Baill.,perennial,,,,
Croton saltensis Griseb.,perennial,,,,
Croton soratensis Müll.Arg.,no_life_form_on_database,,,,
Croton gracilipes Baill.,perennial,,,,
Croton elegans Kunth,perennial,,manually_curated,"""shrub""",
Croton peltoideus Kunth,no_life_form_on_database,,,,
Croton leptostachyus Kunth,perennial,,,,
Croton bonplandianus Baill.,perennial,,,,
Croton curiosus Croizat,perennial,,,,
Croton flavens L.,perennial,,,,
Croton impressus Urb.,perennial,,,,
Croton wilsonii Griseb.,no_life_form_on_database,,,,
Croton craspedotrichus Griseb.,perennial,,,,
Croton nephrophyllus Urb. & Ekman,no_life_form_on_database,,,,
Croton discolor Willd.,perennial,,,,
Croton linearis Jacq.,perennial,,,,
Croton emporiorum Croizat,perennial,,,,
Croton lanatus var. tatacuensis (Ahumada) P.E.Berry P.E.Berry (Ahumada),perennial,,,,
Croton conduplicatus Kunth,perennial,,,,
Croton heliotropiifolius Kunth,perennial,,,,
Croton echioides Baill.,perennial,,manually_curated,"""muira puama""",tree
Croton laceratoglandulosus Caruzo & Cordeiro,perennial,https://doi.org/10.1111/j.1095-8339.2008.00844.x,shrub,,
Croton draco Schltdl.,perennial,,,,
Croton hibiscifolius Kunth ex Spreng.,perennial,,,,
Croton gossypiifolius Vahl,perennial,,,,
Croton redolens Pittier,perennial,,,,
Croton speciosus Müll.Arg.,perennial,,,,
Croton draconoides Müll.Arg.,perennial,,,,
Croton floccosus B.A.Sm.,perennial,,manually_curated,tree,
Croton alchorneicarpus Croizat,perennial,,,,
Croton celtidifolius Baill.,perennial,,,,
Croton lagoensis Müll.Arg.,perennial,,,,
Croton macrobothrys Baill.,perennial,,,,
Croton echinocarpus Baill.,perennial,Flora do Brasil,manually_curated,"""arvore""",
Croton lechleri Müll.Arg.,perennial,,,,
Croton urucurana Baill.,perennial,,,,
Croton perspeciosus Croizat,perennial,,,,
Croton piluliferus Rusby,no_life_form_on_database,,,,
Croton jimenezii Standl. & Valerio,perennial,,,,
Croton coriaceus Kunth,perennial,,,,
Croton rimbachii Croizat,perennial,,,,
Croton huberi Steyerm.,perennial,,,,
Croton purdiei Müll.Arg.,perennial,,,,
Croton magdalenensis Müll.Arg.,perennial,,"""arboles de drago""",,
Croton lundellii Standl.,perennial,"Journal of Vegetation Science 15: 151-160, 2004",manually_curated,"""woody species""",
Croton oerstedianus Müll.Arg.,perennial,,,,
Croton corylifolius Lam.,perennial,,,,
Croton beetlei Croizat,perennial,,,,
Croton caracasanus Pittier,perennial,,,,
Croton tonduzii Pax,perennial,,,,
Croton grewiifolius Müll.Arg.,perennial,,,,
Croton verapazensis Donn.Sm.,perennial,,,,
Croton corinthius Poveda & J.A.González,perennial,,,,
Croton nubigenus G.L.Webster,perennial,,,,
Croton mexicanus Müll.Arg.,perennial,,,,
Croton quercetorum Croizat,perennial,,,,
Croton alabamensis var. alabamensis,perennial,,,,
Croton alabamensis var. texensis Ginzbarg,perennial,,,,
Croton ekmanii Urb.,perennial,,,,
Croton leonis (Croizat) B.W.van Ee & P.E.Berry B.W.van Ee & P.E.Berry (Croizat),perennial,,,,
Croton trigonocarpus Griseb.,perennial,,,,
Croton maestrensis (Alain) B.W.van Ee & P.E.Berry B.W.van Ee & P.E.Berry (Alain),perennial,,,,
Croton olivaceus Müll.Arg.,perennial,,,,
Croton alainii B.W.van Ee & P.E.Berry,perennial,,,,
Croton poecilanthus Urb.,perennial,,,,
Croton piptocalyx Müll.Arg.,perennial,,,,
Croton sampatik Müll.Arg.,perennial,,,,
Croton ater Croizat,perennial,,,,
Croton sapiifolius Müll.Arg.,perennial,,,,
Croton megistocarpus J.A.González & Poveda,perennial,,,,
Croton pachypodus G.L.Webster,perennial,,,,
