"species","life_form"
"Croton impressus Urb.","perennial"
"Croton wilsonii Griseb.","no_life_form_on_database"
"Croton craspedotrichus Griseb.","perennial"
"Croton nephrophyllus Urb. & Ekman","no_life_form_on_database"
"Croton discolor Willd.","perennial"
"Croton linearis Jacq.","perennial"
"Croton emporiorum Croizat","perennial"
"Croton lanatus var. tatacuensis (Ahumada) P.E.Berry P.E.Berry (Ahumada)","perennial"
"Croton conduplicatus Kunth","perennial"
"Croton heliotropiifolius Kunth","perennial"
"Croton echioides Baill.","no_life_form_on_database"
"Croton laceratoglandulosus Caruzo & Cordeiro","no_life_form_on_database"
"Croton draco Schltdl.","perennial"
"Croton hibiscifolius Kunth ex Spreng.","perennial"
"Croton gossypiifolius Vahl","perennial"
"Croton redolens Pittier","perennial"
"Croton speciosus Müll.Arg.","perennial"
"Croton draconoides Müll.Arg.","perennial"
"Croton floccosus B.A.Sm.","no_life_form_on_database"
"Croton alchorneicarpus Croizat","perennial"
"Croton celtidifolius Baill.","perennial"
"Croton lagoensis Müll.Arg.","perennial"
"Croton macrobothrys Baill.","perennial"
"Croton echinocarpus Baill.","no_life_form_on_database"
"Croton lechleri Müll.Arg.","perennial"
"Croton urucurana Baill.","perennial"
"Croton perspeciosus Croizat","perennial"
"Croton piluliferus Rusby","no_life_form_on_database"
"Croton jimenezii Standl. & Valerio","perennial"
"Croton coriaceus Kunth","perennial"
"Croton rimbachii Croizat","perennial"
"Croton huberi Steyerm.","perennial"
"Croton purdiei Müll.Arg.","perennial"
"Croton magdalenensis Müll.Arg.","no_life_form_on_database"
"Croton lundellii Standl.","no_life_form_on_database"
"Croton oerstedianus Müll.Arg.","perennial"
"Croton corylifolius Lam.","perennial"
"Croton beetlei Croizat","perennial"
"Croton caracasanus Pittier","perennial"
"Croton tonduzii Pax","perennial"
"Croton grewiifolius Müll.Arg.","perennial"
"Croton verapazensis Donn.Sm.","perennial"
"Croton corinthius Poveda & J.A.González","perennial"
"Croton nubigenus G.L.Webster","perennial"
"Croton mexicanus Müll.Arg.","perennial"
"Croton quercetorum Croizat","perennial"
"Croton alabamensis var. alabamensis","perennial"
"Croton alabamensis var. texensis Ginzbarg","perennial"
"Croton ekmanii Urb.","perennial"
"Croton leonis (Croizat) B.W.van Ee & P.E.Berry B.W.van Ee & P.E.Berry (Croizat)","perennial"
"Croton trigonocarpus Griseb.","perennial"
"Croton maestrensis (Alain) B.W.van Ee & P.E.Berry B.W.van Ee & P.E.Berry (Alain)","perennial"
"Croton olivaceus Müll.Arg.","perennial"
"Croton alainii B.W.van Ee & P.E.Berry","perennial"
"Croton poecilanthus Urb.","perennial"
"Croton piptocalyx Müll.Arg.","perennial"
"Croton sampatik Müll.Arg.","perennial"
"Croton ater Croizat","perennial"
"Croton sapiifolius Müll.Arg.","perennial"
"Croton megistocarpus J.A.González & Poveda","perennial"
"Croton pachypodus G.L.Webster","perennial"
