"species","n_bio_15","mean_bio_15","sd_bio_15","se_bio_15","within_sp_var_bio_15"
"Polemonium caeruleum L.","397","3.454437","0.351594","0.017646","0.000555"
"Hyoscyamus niger L.","480","3.593257","0.565458","0.02581","0.000459"
"Solanum nigrum L.","805","3.745373","0.600552","0.021167","0.000274"
"Solanum chenopodium Raf.","2","3.646509","0.346923","0.245312","0.110084"
"Solanum dulcamara L.","826","3.316466","0.526301","0.018312","0.000267"
"Linaria vulgaris Mill.","567","3.391184","0.417781","0.017545","0.000388"
"Centaurea jacea L.","478","3.309798","0.312071","0.014274","0.000461"
"Poa compressa L.","423","3.340944","0.408848","0.019879","0.00052"
"Poa glauca Vahl","951","3.750747","0.485467","0.015742","0.000232"
"Poa bulbosa L.","467","3.55179","0.555296","0.025696","0.000471"
"Glyceria maxima (Hartm.) Holmb.","279","3.255056","0.326224","0.019531","0.000789"
"Trisetum spicatum (L.) K.Richt.","1194","3.755767","0.571902","0.016551","0.000184"
"Agrostis clavata Trin.","263","3.982832","0.490037","0.030217","0.000837"
"Alopecurus pratensis L.","589","3.442106","0.421445","0.017365","0.000374"
"Scolochloa festucacea (Willd.) Link","191","3.684757","0.408145","0.029532","0.001153"
"Leersia oryzoides (L.) Sw.","670","3.362374","0.567916","0.021941","0.000329"
"Erysimum cheiranthoides L.","528","3.4828","0.461192","0.020071","0.000417"
"Puccinellia phryganodes (Trin.) Scribn. & Merr.","99","3.729849","0.416399","0.04185","0.002224"
"Chaenorhinum minus (L.) Lange","280","3.33526","0.298951","0.017866","0.000786"
"Cynosurus cristatus L.","331","3.363729","0.383235","0.021065","0.000665"
"Centaurea solstitialis L.","180","3.45258","0.577587","0.043051","0.001223"
"Primula veris L.","349","3.289816","0.344425","0.018437","0.000631"
"Cardamine hirsuta L.","492","3.608445","0.548807","0.024742","0.000447"
"Danthonia decumbens (L.) DC.","259","3.288867","0.382783","0.023785","0.00085"
"Arctium lappa L.","394","3.675099","0.596258","0.030039","0.000559"
"Cardamine bulbifera (L.) Crantz","176","3.29395","0.319602","0.024091","0.001251"
"Draba nivalis Lilj.","310","3.750339","0.428041","0.024311","0.00071"
"Drabella muralis (L.) Fourr.","13","3.368049","0.496238","0.137632","0.016936"
"Raphanus sativus L.","262","3.528575","0.519431","0.032091","0.00084"
"Helictochloa pratensis (L.) Romero Zarco","48","3.25545","0.367448","0.053037","0.004587"
"Helictotrichon pratense (L.) Pilg.","24","3.20931","0.524985","0.107162","0.009174"
"Phleum pratense L.","621","3.370373","0.402157","0.016138","0.000355"
"Centaurea montana L.","144","3.253157","0.358543","0.029879","0.001529"
"Galium aparine L.","564","3.580588","0.541602","0.022806","0.00039"
"Lathraea squamaria L.","187","3.269177","0.337658","0.024692","0.001177"
"Glyceria notata Chevall.","307","3.378981","0.444715","0.025381","0.000717"
"Ligusticum scoticum L.","133","3.169899","0.477679","0.04142","0.001655"
"Melampyrum arvense L.","201","3.141277","0.380939","0.026869","0.001095"
"Draba alpina L.","232","3.843167","0.454123","0.029815","0.000949"
"Galium mollugo L.","432","3.337225","0.353182","0.016992","0.00051"
"Lolium perenne L.","613","3.353944","0.479186","0.019354","0.000359"
"Cakile maritima Scop.","147","3.530497","0.530124","0.043724","0.001498"
"Primula nutans Georgi","179","4.277506","0.433096","0.032371","0.00123"
"Oenanthe aquatica (L.) Poir.","242","3.256604","0.359667","0.02312","0.00091"
"Solanum melongena L.","270","3.983098","0.58949","0.035875","0.000815"
"Seseli libanotis (L.) W.D.J.Koch","179","3.32257","0.411674","0.03077","0.00123"
"Libanotis pyrenaica (L.) Bourg","8","3.256368","0.313444","0.110819","0.027521"
"Libanotis sibirica (L.) Koch","3","3.550374","0.120932","0.06982","0.073389"
"Crambe maritima L.","47","3.184728","0.339109","0.049464","0.004684"
"Carduus nutans L.","255","3.316904","0.426159","0.026687","0.000863"
"Carduus acanthoides L.","272","3.633149","0.638435","0.038711","0.000809"
"Cardamine parviflora L.","221","3.251648","0.549091","0.036936","0.000996"
"Sium latifolium L.","224","3.191435","0.350458","0.023416","0.000983"
"Solanum rostratum Dunal","556","3.730095","0.638489","0.027078","0.000396"
"Rorippa sylvestris (L.) Besser","264","3.292406","0.38907","0.023946","0.000834"
"Galium spurium L.","260","3.538344","0.462886","0.028707","0.000847"
"Agrostis vinealis Schreb.","434","3.66509","0.57572","0.027635","0.000507"
"Setaria viridis (L.) P.Beauv.","1203","3.762953","0.622599","0.01795","0.000183"
"Solanum americanum Mill.","1188","3.891235","0.594203","0.01724","0.000185"
"Solanum ptychanthum Dunal","202","3.270498","0.546939","0.038482","0.00109"
"Centaurea diffusa Lam.","137","3.262673","0.351358","0.030019","0.001607"
"Eragrostis australasica (Steud.) C.E.Hubb.","144","3.35943","0.555295","0.046275","0.001529"
"Perotis rara R.Br.","268","4.273012","0.47717","0.029148","0.000822"
"Aristida anthoxanthoides (Domin) Henrard","110","3.692442","0.594845","0.056716","0.002002"
"Poa fordeana F.Muell.","74","3.07465","0.498729","0.057976","0.002975"
"Rytidosperma caespitosum (Gaudich.) Connor & Edgar","221","3.253257","0.588857","0.039611","0.000996"
"Alyogyne hakeifolia (Giord.) Alefeld","63","3.623906","0.586303","0.073867","0.003495"
"Setaria verticillata (L.) P.Beauv.","472","3.913138","0.684272","0.031496","0.000466"
"Thyridolepis mitchelliana (Nees) S.T.Blake","152","3.520866","0.534169","0.043327","0.001448"
"Solanum elaeagnifolium Cav.","571","3.909712","0.55485","0.02322","0.000386"
"Vulpia muralis (Kunth) Nees","235","3.544294","0.591616","0.038593","0.000937"
"Aristida contorta F.Muell.","382","3.796111","0.628064","0.032135","0.000576"
"Sida platycalyx F.Muell. ex Benth.","132","4.191793","0.36554","0.031816","0.001668"
"Lepidium phlebopetalum (F.Muell.) F.Muell.","235","3.608832","0.579188","0.037782","0.000937"
"Rytidosperma tenuius (Steud.) O.E.Erikss., A.Hansen & Sunding","91","3.188575","0.488355","0.051194","0.002419"
"Lepidium oxytrichum Sprague","210","3.615375","0.511133","0.035272","0.001048"
"Bromus arenarius Labill.","157","3.291864","0.553337","0.044161","0.001402"
"Solanum quadriloculatum F.Muell.","158","4.054387","0.667035","0.053066","0.001393"
"Nicotiana velutina Wheeler","182","3.43662","0.558034","0.041364","0.00121"
"Tragus australianus S.T.Blake","325","3.740683","0.65183","0.036157","0.000677"
"Solanum petrophilum F.Muell.","71","3.402623","0.523628","0.062143","0.003101"
"Rytidosperma setaceum (R.Br.) Connor & Edgar","183","3.25543","0.591136","0.043698","0.001203"
"Solanum diversiflorum F.Muell.","74","4.528949","0.210568","0.024478","0.002975"
"Solanum ellipticum R.Br.","246","3.711954","0.608721","0.038811","0.000895"
"Poa helmsii Vickery","15","2.898953","0.38563","0.099569","0.014678"
"Solanum chippendalei Symon","75","4.390445","0.272427","0.031457","0.002936"
"Solanum simile F.Muell.","85","3.314678","0.598929","0.064963","0.00259"
"Sporobolus actinocladus (F.Muell.) F.Muell.","238","4.018886","0.529591","0.034328","0.000925"
"Eragrostis dielsii Pilg.","310","3.694341","0.597783","0.033952","0.00071"
"Rytidosperma racemosum (R.Br.) Connor & Edgar","72","3.187037","0.542361","0.063918","0.003058"
"Solanum sturtianum F.Muell.","111","3.800109","0.551341","0.052331","0.001983"
"Lepidium leptopetalum (F.Muell.) F.Muell.","32","2.93089","0.354097","0.062596","0.00688"
"Paspalidium constrictum (Domin) C.E.Hubb.","237","3.565886","0.659889","0.042864","0.000929"
"Solanum chenopodinum F.Muell.","67","3.747002","0.628304","0.07676","0.003286"
"Asperula conferta Hook.f.","136","3.23479","0.51693","0.044326","0.001619"
"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Avé-Lall.","377","3.535969","0.581382","0.029943","0.000584"
"Echinochloa esculenta (A.Braun) H.Scholz","106","3.66228","0.677137","0.065769","0.002077"
"Solanum nemophilum F.Muell.","22","3.806058","0.281099","0.059931","0.010008"
"Eriachne mucronata R.Br.","288","4.052825","0.534124","0.031474","0.000764"
"Themeda triandra Forssk.","751","4.053963","0.603307","0.022015","0.000293"
"Solanum centrale J.M.Black","135","4.036362","0.463992","0.039934","0.001631"
"Grammosolen truncatus (Ising) Haegi","16","3.122488","0.505127","0.126282","0.01376"
"Sacciolepis indica (L.) Chase","348","4.112938","0.547199","0.029333","0.000633"
"Enneapogon polyphyllus (Domin) N.T.Burb.","336","3.985726","0.635042","0.034644","0.000655"
"Nicotiana goodspeedii Wheeler","77","3.064508","0.478245","0.054501","0.002859"
"Dichelachne crinita (L.f.) Hook.f.","135","3.258522","0.5769","0.049652","0.001631"
"Aristida latifolia Domin","234","4.314915","0.444695","0.029071","0.000941"
"Panicum laevinode Lindl.","240","4.008235","0.67391","0.043501","0.000917"
"Poa labillardierei Steud.","121","3.270386","0.553857","0.050351","0.00182"
"Solanum pseudocapsicum L.","419","3.64487","0.655518","0.032024","0.000525"
"Solanum capsicastrum Link ex Schauer","12","3.940308","0.731451","0.211152","0.018347"
"Rytidosperma semiannulare (Labill.) Connor & Edgar","60","3.10844","0.468801","0.060522","0.003669"
"Solanum esuriale Lindl.","235","3.668531","0.680505","0.044391","0.000937"
"Bothriochloa ewartiana (Domin) C.E.Hubb.","212","4.163702","0.496496","0.034099","0.001039"
"Nicotiana maritima Wheeler","20","3.606132","0.384362","0.085946","0.011008"
"Hypericum gramineum G.Forst.","304","3.782056","0.72076","0.041338","0.000724"
"Poa clelandii Vickery","48","3.289968","0.51102","0.073759","0.004587"
"Chloris truncata R.Br.","181","3.249711","0.522359","0.038827","0.001216"
"Solanum nummularium S.Moore","52","3.679521","0.459729","0.063753","0.004234"
"Solanum aviculare G.Forst.","124","3.418629","0.65758","0.059052","0.001776"
"Vulpia myuros (L.) C.C.Gmel.","737","3.5787","0.659399","0.024289","0.000299"
"Solanum echinatum R.Br.","66","4.688462","0.096402","0.011866","0.003336"
"Hainardia cylindrica (Willd.) Greuter","182","3.692443","0.610023","0.045218","0.00121"
"Rytidosperma geniculatum (J.M.Black) Connor & Edgar","37","3.322032","0.522026","0.085821","0.00595"
"Rytidosperma fulvum (Vickery) A.M.Humphreys & H.P.Linder","74","3.017713","0.51112","0.059416","0.002975"
"Iseilema membranaceum (Lindl.) Domin","224","3.942294","0.631842","0.042217","0.000983"
"Panicum paludosum Roxb.","60","4.100478","0.594492","0.076749","0.003669"
"Solanum curvicuspe Domin","4","3.350566","0.730709","0.365355","0.055042"
"Solanum brownii Dunal","24","3.396907","0.332896","0.067952","0.009174"
"Triodia basedowii E.Pritz.","172","3.997063","0.435814","0.033231","0.00128"
"Solanum linnaeanum Hepper & P.-M.L.Jaeger","137","3.775052","0.551175","0.04709","0.001607"
"Bothriochloa macra (Steud.) S.T.Blake","91","3.172806","0.492803","0.05166","0.002419"
"Distichlis distichophylla (Labill.) Fassett","59","3.254504","0.55713","0.072532","0.003732"
"Rytidosperma nivicola (Vickery) Connor & Edgar","10","3.064187","0.362523","0.11464","0.022017"
"Triraphis mollis R.Br.","283","3.756043","0.611352","0.036341","0.000778"
"Lepidium pseudohyssopifolium Hewson","63","3.227241","0.527416","0.066448","0.003495"
"Solanum mauritianum Scop.","223","3.66352","0.637249","0.042673","0.000987"
"Enneapogon cylindricus N.T.Burb.","156","3.642027","0.629753","0.050421","0.001411"
"Enteropogon ramosus B.K.Simon","241","3.849448","0.588308","0.037896","0.000914"
"Eragrostis parviflora (R.Br.) Trin.","242","3.578866","0.614505","0.039502","0.00091"
"Rytidosperma duttonianum (Cashmore) Connor & Edgar","45","3.009467","0.529302","0.078904","0.004893"
"Solanum linearifolium Geras. ex Symon","39","3.087818","0.480386","0.076923","0.005645"
"Sporobolus virginicus (L.) Kunth","450","4.062872","0.556986","0.026257","0.000489"
"Triodia scariosa N.T.Burb.","146","3.259624","0.496753","0.041112","0.001508"
"Aristida behriana F.Muell.","56","3.009248","0.459983","0.061468","0.003932"
"Solanum triflorum Nutt.","356","3.632394","0.561796","0.029775","0.000618"
"Triodia irritans R.Br.","72","3.440515","0.423858","0.049952","0.003058"
"Solanum capsiciforme (Domin) Baylis","30","3.596306","0.410978","0.075034","0.007339"
"Arthraxon hispidus (Thunb.) Makino","228","4.103945","0.462779","0.030648","0.000966"
"Nicotiana excelsior (J.M.Black) J.M.Black","26","3.648192","0.309562","0.06071","0.008468"
"Diplotaxis muralis (L.) DC.","210","3.354522","0.49792","0.03436","0.001048"
"Amphipogon strictus R.Br.","79","3.587056","0.579596","0.06521","0.002787"
"Solanum vicinum A.R.Bean","12","3.677893","0.22383","0.064614","0.018347"
"Aristida inaequiglumis Domin","173","4.422653","0.341334","0.025951","0.001273"
"Panicum decompositum R.Br.","279","4.012282","0.722363","0.043247","0.000789"
"Solanum laciniatum Aiton","110","3.249193","0.578469","0.055155","0.002002"
"Lycium australe F.Muell.","118","3.282835","0.544645","0.050139","0.001866"
"Rytidosperma carphoides (F.Muell. ex Benth.) Connor & Edgar","45","2.928227","0.476779","0.071074","0.004893"
"Zygochloa paradoxa (R.Br.) S.T.Blake","83","3.648096","0.476672","0.052322","0.002653"
"Solanum dioicum W.Fitzg.","56","4.69336","0.180463","0.024115","0.003932"
"Rytidosperma pilosum (R.Br.) Connor & Edgar","87","3.280687","0.529711","0.056791","0.002531"
"Solanum gabrielae Domin","18","4.429327","0.109157","0.025729","0.012232"
"Elytrophorus spicatus (Willd.) A.Camus","244","4.440249","0.446265","0.028569","0.000902"
"Rytidosperma auriculatum (J.M.Black) Connor & Edgar","44","2.97049","0.521845","0.078671","0.005004"
"Rytidosperma laeve (Vickery) Connor & Edgar","61","3.099222","0.445946","0.057098","0.003609"
"Dichelachne micrantha (Cav.) Domin","104","3.321874","0.577823","0.05666","0.002117"
"Solanum cinereum R.Br.","49","3.141409","0.454756","0.064965","0.004493"
"Dactyloctenium radulans (R.Br.) P.Beauv.","385","3.963605","0.652801","0.03327","0.000572"
"Gingidia harveyana (F.Muell.) J.W.Dawson","8","2.834768","0.401188","0.141841","0.027521"
"Epilobium gunnianum Hausskn.","39","3.028562","0.406912","0.065158","0.005645"
"Panicum queenslandicum Domin","75","3.504996","0.66735","0.077059","0.002936"
"Monachather paradoxus Steud.","184","3.596795","0.522738","0.038537","0.001197"
"Rytidosperma longifolium (R.Br.) Connor & Edgar","59","3.172611","0.473658","0.061665","0.003732"
"Solanum vescum F.Muell.","56","3.156132","0.453019","0.060537","0.003932"
"Duboisia hopwoodii (F.Muell.) F.Muell.","171","3.710196","0.607048","0.046422","0.001288"
"Astrebla elymoides F.Muell. ex F.M.Bailey","124","4.166869","0.526877","0.047315","0.001776"
"Sporobolus australasicus Domin","199","4.484124","0.28352","0.020098","0.001106"
"Triodia rigidissima (Pilg.) Lazarides","22","3.613475","0.383696","0.081804","0.010008"
"Solanum prinophyllum Dunal","35","3.314264","0.514451","0.086958","0.006291"
"Vulpia bromoides (L.) Gray","554","3.554647","0.632901","0.026889","0.000397"
"Spinifex sericeus R.Br.","68","3.411106","0.559279","0.067823","0.003238"
"Paspalidium basicladum Hughes","116","3.79431","0.604596","0.056135","0.001898"
"Vulpia ciliata Dumort.","168","3.658808","0.523025","0.040352","0.001311"
"Solanum coactiliferum J.M.Black","139","3.376035","0.591213","0.050146","0.001584"
"Poa costiniana Vickery","22","3.162726","0.293979","0.062677","0.010008"
"Eragrostis eriopoda Benth.","295","3.948014","0.586411","0.034142","0.000746"
"Epilobium hirtigerum A.Cunn.","110","3.274303","0.603012","0.057495","0.002002"
"Solanum stelligerum Sm.","54","3.767443","0.439688","0.059834","0.004077"
"Solanum clarkiae Symon","10","4.620291","0.206649","0.065348","0.022017"
"Triodia pungens R.Br.","190","4.371712","0.359045","0.026048","0.001159"
"Echinopogon ovatus (G.Forst.) P.Beauv.","125","3.232876","0.54756","0.048975","0.001761"
"Solanum pungetium R.Br.","20","3.18331","0.457025","0.102194","0.011008"
"Enteropogon acicularis (Lindl.) Lazarides","209","3.611891","0.624662","0.043209","0.001053"
"Grammosolen dixonii (F.Muell. & Tate) Haegi","15","3.317555","0.336564","0.0869","0.014678"
"Ammophila arenaria (L.) Link","207","3.396392","0.6146","0.042718","0.001064"
"Chrysopogon oliganthus Veldkamp","53","4.67264","0.170613","0.023435","0.004154"
"Paspalidium albovillosum S.T.Blake","52","3.84754","0.412735","0.057236","0.004234"
"Triodia brizoides N.T.Burb.","53","4.277035","0.295039","0.040527","0.004154"
"Anthocercis angustifolia F.Muell.","4","3.511255","0.459137","0.229569","0.055042"
"Thyridolepis multiculmis (Pilg.) S.T.Blake","63","3.636218","0.499056","0.062875","0.003495"
"Galium migrans Ehrend. & McGill.","12","3.648536","0.345251","0.099665","0.018347"
"Anthocercis littorea Labill.","27","4.132409","0.410754","0.07905","0.008154"
"Rytidosperma nudiflorum (P.Morris) Connor & Edgar","17","3.00515","0.400062","0.097029","0.012951"
"Lepidium papillosum F.Muell.","62","3.024399","0.448711","0.056986","0.003551"
"Entolasia marginata (R.Br.) Hughes","54","3.438712","0.589686","0.080246","0.004077"
"Solanum torvum Sw.","552","4.053376","0.531548","0.022624","0.000399"
"Solanum symonii H.Eichler","42","3.82146","0.574397","0.088631","0.005242"
"Solanum acanthodapis A.R.Bean","1","3.871201",NA,NA,"0.220168"
"Urochloa mosambicensis (Hack.) Dandy","217","4.36776","0.409726","0.027814","0.001015"
"Urochloa trichopus (Hochst.) Stapf","75","4.601533","0.261635","0.030211","0.002936"
"Uranthoecium truncatum (Maiden & Betche) Stapf","67","4.135189","0.432869","0.052883","0.003286"
"Nicotiana simulans N.T.Burb.","132","3.519113","0.596317","0.051903","0.001668"
"Rytidosperma erianthum (Lindl.) Connor & Edgar","71","2.988046","0.462644","0.054906","0.003101"
"Dichelachne rara (R.Br.) Vickery","81","3.235013","0.535363","0.059485","0.002718"
"Lepidium foliosum Desv.","17","3.439141","0.673744","0.163407","0.012951"
"Solanum oligacanthum F.Muell.","36","3.649877","0.380825","0.063471","0.006116"
"Aristida obscura Henrard","78","3.670931","0.548781","0.062137","0.002823"
"Paspalidium jubiflorum (Trin.) Hughes","208","3.761557","0.68041","0.047178","0.001058"
"Chloris pectinata Benth.","188","4.152436","0.497634","0.036294","0.001171"
"Dichelachne inaequiglumis (Hack.) Edgar & Connor","55","2.976512","0.459452","0.061952","0.004003"
"Astrebla lappacea (Lindl.) Domin","138","3.834636","0.619109","0.052702","0.001595"
"Amphipogon caricinus F.Muell.","122","3.750012","0.637962","0.057758","0.001805"
"Eriachne aristidea F.Muell.","204","4.116327","0.423519","0.029652","0.001079"
"Solanum lucani F.Muell.","57","4.698255","0.115917","0.015354","0.003863"
"Glyceria australis C.E.Hubb.","60","3.068866","0.465535","0.0601","0.003669"
"Yakirra australiensis (Domin) Lazarides & R.D.Webster","164","4.353962","0.398093","0.031086","0.001342"
"Nicotiana gossei Domin","24","3.884246","0.208971","0.042656","0.009174"
"Anthocercis sylvicola T.D.Macfarl. & Ward.-Johnson","1","4.077537",NA,NA,"0.220168"
"Aristida hygrometrica R.Br.","104","4.644433","0.17496","0.017156","0.002117"
"Bothriochloa bladhii (Retz.) S.T.Blake","236","4.316327","0.446084","0.029038","0.000933"
"Solanum hoplopetalum Bitter & Summerh.","49","3.636161","0.509138","0.072734","0.004493"
"Anthotroche walcottii F.Muell.","7","4.167937","0.230339","0.08706","0.031453"
"Sorghum intrans F.Muell. ex Benth.","20","4.620134","0.343957","0.076911","0.011008"
"Aristida ramosa R.Br.","96","3.388668","0.608441","0.062099","0.002293"
"Rytidosperma clelandii (Vickery) Connor & Edgar","2","3.733686","0.252207","0.178337","0.110084"
"Solanum hystrix R.Br.","19","3.360508","0.447804","0.102733","0.011588"
"Solanum cleistogamum Symon","197","3.844401","0.556549","0.039652","0.001118"
"Sorghum stipoideum (Ewart & Jean White) C.A.Gardner & C.E.Hubb.","74","4.625199","0.334707","0.038909","0.002975"
"Nicotiana suaveolens Lehm.","55","2.962427","0.415947","0.056086","0.004003"
"Poa poiformis (Labill.) Druce","74","3.49564","0.592784","0.06891","0.002975"
"Solanum oldfieldii F.Muell.","34","4.110774","0.33546","0.057531","0.006476"
"Poa drummondiana Nees","56","3.751597","0.500931","0.06694","0.003932"
"Solanum tudununggae Symon","5","4.534854","0.39573","0.176976","0.044034"
"Solanum discolor R.Br.","14","4.321503","0.380583","0.101715","0.015726"
"Solanum ditrichum A.R.Bean","12","3.698059","0.232774","0.067196","0.018347"
"Solanum tetrathecum F.Muell.","22","3.681579","0.327074","0.069732","0.010008"
"Solanum ferocissimum Lindl.","137","3.752993","0.599347","0.051206","0.001607"
