"species","n_bio_14","mean_bio_14","sd_bio_14","se_bio_14","within_sp_var_bio_14"
"Centaurea montana L.","143","3.622512","0.548545","0.045872","0.002074"
"Galium aparine L.","554","3.059641","0.936717","0.039797","0.000526"
"Lathraea squamaria L.","187","3.579043","0.360205","0.026341","0.001586"
"Glyceria notata Chevall.","299","3.318494","0.728278","0.042117","0.000966"
"Ligusticum scoticum L.","133","3.917216","0.528324","0.045812","0.00223"
"Melampyrum arvense L.","202","3.507233","0.418027","0.029412","0.001468"
"Draba alpina L.","230","2.295413","0.979319","0.064574","0.001284"
"Galium mollugo L.","432","3.450357","0.479745","0.023082","0.000687"
"Lolium perenne L.","607","3.306728","0.910811","0.036969","0.000485"
"Cakile maritima Scop.","141","2.924349","1.258583","0.105992","0.001991"
"Primula nutans Georgi","175","1.670678","0.987728","0.074665","0.001657"
"Oenanthe aquatica (L.) Poir.","242","3.425657","0.336344","0.021621","0.001226"
"Solanum melongena L.","251","2.661529","1.280504","0.080825","0.001098"
"Seseli libanotis (L.) W.D.J.Koch","179","3.42569","0.556226","0.041574","0.001657"
"Libanotis pyrenaica (L.) Bourg","8","3.693802","0.463531","0.163883","0.037074"
"Libanotis sibirica (L.) Koch","3","3.271005","0.196871","0.113664","0.098865"
"Crambe maritima L.","48","3.677788","0.341485","0.049289","0.006179"
"Carduus nutans L.","254","3.300723","0.63891","0.040089","0.001163"
"Carduus acanthoides L.","271","2.837177","1.172862","0.071246","0.00109"
"Cardamine parviflora L.","221","3.617998","0.656895","0.044188","0.001342"
"Sium latifolium L.","224","3.442852","0.282537","0.018878","0.001324"
"Solanum rostratum Dunal","550","2.742691","1.055229","0.044995","0.000533"
"Rorippa sylvestris (L.) Besser","264","3.39867","0.43708","0.0269","0.001123"
"Galium spurium L.","256","3.181195","0.773448","0.04834","0.001141"
"Agrostis vinealis Schreb.","433","2.902321","1.040922","0.050024","0.000683"
"Setaria viridis (L.) P.Beauv.","1169","2.729225","1.143001","0.03343","0.000247"
"Solanum americanum Mill.","1147","3.091721","1.278439","0.037748","0.000249"
"Solanum ptychanthum Dunal","201","3.758176","0.619853","0.043721","0.001468"
"Centaurea diffusa Lam.","136","3.384644","0.359634","0.030838","0.002165"
"Eragrostis australasica (Steud.) C.E.Hubb.","144","2.425302","0.680271","0.056689","0.00206"
"Perotis rara R.Br.","257","1.66743","1.291591","0.080567","0.001103"
"Aristida anthoxanthoides (Domin) Henrard","110","2.104448","0.734027","0.069987","0.002696"
"Poa fordeana F.Muell.","74","3.012208","0.533321","0.061997","0.004008"
"Rytidosperma caespitosum (Gaudich.) Connor & Edgar","223","2.928815","0.659912","0.044191","0.00133"
"Alyogyne hakeifolia (Giord.) Alefeld","62","2.607584","0.592585","0.075258","0.004708"
"Setaria verticillata (L.) P.Beauv.","403","2.389088","1.243865","0.061961","0.000628"
"Thyridolepis mitchelliana (Nees) S.T.Blake","152","2.501884","0.654331","0.053073","0.001951"
"Solanum elaeagnifolium Cav.","549","2.43701","1.117104","0.047677","0.000519"
"Vulpia muralis (Kunth) Nees","231","2.713172","0.975767","0.064201","0.001262"
"Aristida contorta F.Muell.","377","1.974379","0.88272","0.045462","0.000776"
"Sida platycalyx F.Muell. ex Benth.","130","1.586391","0.839347","0.073616","0.002247"
"Lepidium phlebopetalum (F.Muell.) F.Muell.","235","2.0389","0.710133","0.046324","0.001262"
"Rytidosperma tenuius (Steud.) O.E.Erikss., A.Hansen & Sunding","91","3.64367","0.470445","0.049316","0.003259"
"Lepidium oxytrichum Sprague","210","2.119614","0.646252","0.044596","0.001412"
"Bromus arenarius Labill.","157","2.717682","0.605828","0.04835","0.001889"
"Solanum quadriloculatum F.Muell.","151","1.546394","0.91072","0.074113","0.001877"
"Nicotiana velutina Wheeler","182","2.3872","0.609454","0.045176","0.00163"
"Tragus australianus S.T.Blake","320","2.202276","0.963957","0.053887","0.000913"
"Solanum petrophilum F.Muell.","71","2.486096","0.471993","0.056015","0.004177"
"Rytidosperma setaceum (R.Br.) Connor & Edgar","183","3.067689","0.584912","0.043238","0.001621"
"Solanum diversiflorum F.Muell.","67","0.570396","0.873003","0.106654","0.004008"
"Solanum ellipticum R.Br.","245","2.361879","0.698872","0.044649","0.001206"
"Poa helmsii Vickery","15","4.007431","0.213716","0.055181","0.019773"
"Solanum chippendalei Symon","75","1.076867","0.762257","0.088018","0.003955"
"Solanum simile F.Muell.","85","2.927444","0.448483","0.048645","0.003489"
"Sporobolus actinocladus (F.Muell.) F.Muell.","238","1.799107","0.938757","0.060851","0.001246"
"Eragrostis dielsii Pilg.","307","2.016147","0.792852","0.04525","0.000957"
"Rytidosperma racemosum (R.Br.) Connor & Edgar","72","3.525534","0.453734","0.053473","0.004119"
"Solanum sturtianum F.Muell.","109","1.86614","0.885473","0.084813","0.002672"
"Lepidium leptopetalum (F.Muell.) F.Muell.","32","2.906262","0.379329","0.067057","0.009269"
"Paspalidium constrictum (Domin) C.E.Hubb.","236","2.552283","0.787967","0.051292","0.001251"
"Solanum chenopodinum F.Muell.","67","1.941347","0.802176","0.098001","0.004427"
"Asperula conferta Hook.f.","136","3.369204","0.446965","0.038327","0.002181"
"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Avé-Lall.","376","2.653721","0.835718","0.043099","0.000789"
"Echinochloa esculenta (A.Braun) H.Scholz","103","2.997665","1.178863","0.116157","0.002798"
"Solanum nemophilum F.Muell.","22","3.24496","0.495679","0.105679","0.013482"
"Eriachne mucronata R.Br.","281","1.776772","0.984965","0.058758","0.00103"
"Themeda triandra Forssk.","683","2.288401","1.220074","0.046685","0.000394"
"Solanum centrale J.M.Black","134","1.573119","0.761613","0.065793","0.002197"
"Grammosolen truncatus (Ising) Haegi","16","2.513588","0.269533","0.067383","0.018537"
"Sacciolepis indica (L.) Chase","324","2.901649","1.588897","0.088272","0.000852"
"Enneapogon polyphyllus (Domin) N.T.Burb.","323","1.775418","0.944155","0.052534","0.000883"
"Nicotiana goodspeedii Wheeler","77","2.710156","0.371364","0.042321","0.003852"
"Dichelachne crinita (L.f.) Hook.f.","136","3.586331","0.574502","0.049263","0.002181"
"Aristida latifolia Domin","218","1.569056","1.144311","0.077503","0.001267"
"Panicum laevinode Lindl.","234","1.797888","1.06782","0.069806","0.001236"
"Poa labillardierei Steud.","121","3.494768","0.499902","0.045446","0.002451"
"Solanum pseudocapsicum L.","416","3.327645","1.067371","0.052332","0.000708"
"Solanum capsicastrum Link ex Schauer","11","2.758842","1.766835","0.532721","0.024716"
"Rytidosperma semiannulare (Labill.) Connor & Edgar","59","3.671916","0.419606","0.054628","0.005027"
"Solanum esuriale Lindl.","232","2.343407","0.914183","0.060019","0.001262"
"Bothriochloa ewartiana (Domin) C.E.Hubb.","200","1.806397","1.07061","0.075704","0.001399"
"Nicotiana maritima Wheeler","20","2.722505","0.23039","0.051517","0.01483"
"Hypericum gramineum G.Forst.","293","2.709862","1.236521","0.072238","0.000972"
"Poa clelandii Vickery","48","3.458497","0.588141","0.084891","0.006179"
"Chloris truncata R.Br.","181","3.041515","0.557587","0.041445","0.001639"
"Solanum nummularium S.Moore","52","2.132915","0.55641","0.07716","0.005704"
"Solanum aviculare G.Forst.","122","3.600104","1.03552","0.093752","0.002392"
"Vulpia myuros (L.) C.C.Gmel.","722","2.981305","1.16076","0.043199","0.000401"
"Solanum echinatum R.Br.","49","0.397171","0.609611","0.087087","0.004494"
"Hainardia cylindrica (Willd.) Greuter","175","2.526482","1.284633","0.097109","0.00163"
"Rytidosperma geniculatum (J.M.Black) Connor & Edgar","37","3.361848","0.420142","0.069071","0.008016"
"Rytidosperma fulvum (Vickery) A.M.Humphreys & H.P.Linder","74","3.458503","0.399645","0.046458","0.004008"
"Iseilema membranaceum (Lindl.) Domin","223","1.814148","1.104077","0.073934","0.001324"
"Panicum paludosum Roxb.","55","3.06375","1.611154","0.217248","0.004943"
"Solanum curvicuspe Domin","4","3.862166","0.224041","0.11202","0.074148"
"Solanum brownii Dunal","24","3.690927","0.399798","0.081608","0.012358"
"Triodia basedowii E.Pritz.","172","1.581609","0.750251","0.057206","0.001724"
"Solanum linnaeanum Hepper & P.-M.L.Jaeger","130","2.517153","1.252897","0.109886","0.002197"
"Bothriochloa macra (Steud.) S.T.Blake","91","3.358983","0.515507","0.05404","0.003259"
"Distichlis distichophylla (Labill.) Fassett","61","3.208261","0.650968","0.083348","0.004862"
"Rytidosperma nivicola (Vickery) Connor & Edgar","10","4.176381","0.341759","0.108074","0.029659"
"Triraphis mollis R.Br.","280","2.093747","0.884248","0.052844","0.001048"
"Lepidium pseudohyssopifolium Hewson","63","3.24968","0.444134","0.055956","0.004708"
"Solanum mauritianum Scop.","220","3.484342","1.074869","0.072468","0.00133"
"Enneapogon cylindricus N.T.Burb.","156","1.975388","0.681094","0.054531","0.001901"
"Enteropogon ramosus B.K.Simon","239","2.075962","0.941236","0.060883","0.001231"
"Eragrostis parviflora (R.Br.) Trin.","238","2.744877","0.74021","0.047981","0.001226"
"Rytidosperma duttonianum (Cashmore) Connor & Edgar","45","3.375881","0.341899","0.050967","0.006591"
"Solanum linearifolium Geras. ex Symon","39","3.778909","0.294962","0.047232","0.007605"
"Sporobolus virginicus (L.) Kunth","405","2.689689","1.349351","0.06705","0.000661"
"Triodia scariosa N.T.Burb.","146","2.779846","0.504924","0.041788","0.002031"
"Aristida behriana F.Muell.","56","3.222318","0.318349","0.042541","0.005296"
"Solanum triflorum Nutt.","356","2.591093","0.739188","0.039177","0.000833"
"Triodia irritans R.Br.","72","2.594309","0.341177","0.040208","0.004119"
"Solanum capsiciforme (Domin) Baylis","30","2.616717","0.176944","0.032305","0.009886"
"Arthraxon hispidus (Thunb.) Makino","220","2.9295","1.33181","0.089791","0.001301"
"Nicotiana excelsior (J.M.Black) J.M.Black","26","2.348472","0.352245","0.069081","0.011407"
"Diplotaxis muralis (L.) DC.","209","3.201582","0.712599","0.049292","0.001412"
"Amphipogon strictus R.Br.","79","2.964055","0.772164","0.086875","0.003754"
"Solanum vicinum A.R.Bean","12","3.831077","0.203663","0.058792","0.024716"
"Aristida inaequiglumis Domin","161","1.118819","0.865639","0.068222","0.001714"
"Panicum decompositum R.Br.","260","1.883123","1.319241","0.081816","0.001063"
"Solanum laciniatum Aiton","110","3.439898","0.884746","0.084357","0.002696"
"Lycium australe F.Muell.","118","2.449448","0.457898","0.042153","0.002514"
"Rytidosperma carphoides (F.Muell. ex Benth.) Connor & Edgar","45","3.518228","0.303623","0.045261","0.006591"
"Zygochloa paradoxa (R.Br.) S.T.Blake","83","2.020364","0.473928","0.05202","0.003573"
"Solanum dioicum W.Fitzg.","41","0.244693","0.757898","0.118364","0.005296"
"Rytidosperma pilosum (R.Br.) Connor & Edgar","89","3.51307","0.537786","0.057005","0.003333"
"Solanum gabrielae Domin","15","0.735054","0.63308","0.163461","0.016477"
"Elytrophorus spicatus (Willd.) A.Camus","185","1.238897","1.077687","0.079233","0.001216"
"Rytidosperma auriculatum (J.M.Black) Connor & Edgar","44","3.383741","0.377275","0.056876","0.006741"
"Rytidosperma laeve (Vickery) Connor & Edgar","61","3.588948","0.536127","0.068644","0.004862"
"Dichelachne micrantha (Cav.) Domin","104","3.599291","0.493974","0.048438","0.002852"
"Solanum cinereum R.Br.","49","3.578175","0.363035","0.051862","0.006053"
"Dactyloctenium radulans (R.Br.) P.Beauv.","371","1.888545","1.079286","0.056034","0.00077"
"Gingidia harveyana (F.Muell.) J.W.Dawson","8","4.077896","0.18035","0.063763","0.037074"
"Epilobium gunnianum Hausskn.","39","4.05906","0.347494","0.055644","0.007605"
"Panicum queenslandicum Domin","75","3.107196","0.575768","0.066484","0.003955"
"Monachather paradoxus Steud.","184","2.28369","0.638801","0.047093","0.001612"
"Rytidosperma longifolium (R.Br.) Connor & Edgar","59","3.730821","0.291528","0.037954","0.005027"
"Solanum vescum F.Muell.","56","3.824915","0.284982","0.038082","0.005296"
"Duboisia hopwoodii (F.Muell.) F.Muell.","169","1.997622","0.737929","0.056764","0.001734"
"Astrebla elymoides F.Muell. ex F.M.Bailey","118","1.799054","1.176553","0.10831","0.002392"
"Sporobolus australasicus Domin","181","1.102898","0.969971","0.072097","0.00149"
"Triodia rigidissima (Pilg.) Lazarides","22","2.234341","0.548878","0.117021","0.013482"
"Solanum prinophyllum Dunal","35","3.773441","0.597026","0.100916","0.008474"
"Vulpia bromoides (L.) Gray","546","2.996104","1.213539","0.051935","0.000533"
"Spinifex sericeus R.Br.","68","3.619391","0.636442","0.07718","0.004362"
"Paspalidium basicladum Hughes","115","1.852464","0.71962","0.067105","0.002557"
"Vulpia ciliata Dumort.","164","2.534458","1.135375","0.088658","0.001755"
"Solanum coactiliferum J.M.Black","139","2.326272","0.592246","0.050234","0.002134"
"Poa costiniana Vickery","22","4.146576","0.319201","0.068054","0.013482"
"Eragrostis eriopoda Benth.","290","1.62296","0.861079","0.050564","0.001005"
"Epilobium hirtigerum A.Cunn.","110","3.419444","0.617218","0.058849","0.002696"
"Solanum stelligerum Sm.","54","3.375679","0.692257","0.094204","0.005492"
"Solanum clarkiae Symon","9","0.332859","0.998577","0.332859","0.029659"
"Triodia pungens R.Br.","181","1.346593","0.931192","0.069215","0.001561"
"Echinopogon ovatus (G.Forst.) P.Beauv.","126","3.782875","0.593912","0.05291","0.002354"
"Solanum pungetium R.Br.","20","3.917084","0.213894","0.047828","0.01483"
"Enteropogon acicularis (Lindl.) Lazarides","209","2.439756","0.851698","0.058913","0.001419"
"Grammosolen dixonii (F.Muell. & Tate) Haegi","15","2.701364","0.152078","0.039266","0.019773"
"Ammophila arenaria (L.) Link","202","3.238652","1.168295","0.082201","0.001419"
"Chrysopogon oliganthus Veldkamp","42","0.692799","0.863886","0.133301","0.005596"
"Paspalidium albovillosum S.T.Blake","52","3.107848","0.565342","0.078399","0.005704"
"Triodia brizoides N.T.Burb.","52","1.42781","0.79875","0.110767","0.005596"
"Anthocercis angustifolia F.Muell.","4","2.957095","0.187844","0.093922","0.074148"
"Thyridolepis multiculmis (Pilg.) S.T.Blake","63","2.062057","0.476694","0.060058","0.004708"
"Galium migrans Ehrend. & McGill.","12","2.89294","0.236915","0.068391","0.024716"
"Anthocercis littorea Labill.","27","2.165804","0.910873","0.175298","0.010985"
"Rytidosperma nudiflorum (P.Morris) Connor & Edgar","17","4.181859","0.372464","0.090336","0.017447"
"Lepidium papillosum F.Muell.","62","2.74468","0.402834","0.05116","0.004784"
"Entolasia marginata (R.Br.) Hughes","53","3.765204","0.352511","0.048421","0.005596"
"Solanum torvum Sw.","547","3.128492","1.286228","0.054995","0.000537"
"Solanum symonii H.Eichler","42","2.50855","0.532642","0.082188","0.007062"
"Solanum acanthodapis A.R.Bean","1","4.077537",NA,NA,"0.296594"
"Urochloa mosambicensis (Hack.) Dandy","192","1.907037","1.196464","0.086347","0.001367"
"Urochloa trichopus (Hochst.) Stapf","31","1.532249","1.110255","0.199408","0.003955"
"Uranthoecium truncatum (Maiden & Betche) Stapf","67","1.695828","0.767597","0.093777","0.004427"
"Nicotiana simulans N.T.Burb.","132","2.18041","0.756015","0.065803","0.002247"
"Rytidosperma erianthum (Lindl.) Connor & Edgar","72","3.394693","0.406551","0.047912","0.004119"
"Dichelachne rara (R.Br.) Vickery","81","4.009513","0.601574","0.066842","0.003662"
"Lepidium foliosum Desv.","17","3.287533","0.589323","0.142932","0.017447"
"Solanum oligacanthum F.Muell.","36","2.165659","0.529584","0.088264","0.008239"
"Aristida obscura Henrard","78","2.42932","0.770412","0.087232","0.003802"
"Paspalidium jubiflorum (Trin.) Hughes","204","2.29431","1.066708","0.074684","0.001426"
"Chloris pectinata Benth.","184","1.674532","0.986554","0.07273","0.001578"
"Dichelachne inaequiglumis (Hack.) Edgar & Connor","55","4.121379","0.348798","0.047032","0.005393"
"Astrebla lappacea (Lindl.) Domin","137","2.265242","0.982622","0.083951","0.002149"
"Amphipogon caricinus F.Muell.","122","2.168508","0.807242","0.073084","0.002431"
"Eriachne aristidea F.Muell.","198","1.564476","0.878379","0.062424","0.001454"
"Solanum lucani F.Muell.","47","0.403893","0.675293","0.098502","0.005203"
"Glyceria australis C.E.Hubb.","60","3.621876","0.371057","0.047903","0.004943"
"Yakirra australiensis (Domin) Lazarides & R.D.Webster","157","1.04804","0.839568","0.067005","0.001808"
"Nicotiana gossei Domin","24","2.202255","0.249719","0.050974","0.012358"
"Anthocercis sylvicola T.D.Macfarl. & Ward.-Johnson","1","3.135494",NA,NA,"0.296594"
"Aristida hygrometrica R.Br.","89","0.753149","0.842549","0.08931","0.002852"
"Bothriochloa bladhii (Retz.) S.T.Blake","210","2.142078","1.484244","0.102423","0.001257"
"Solanum hoplopetalum Bitter & Summerh.","49","2.493326","0.329169","0.047024","0.006053"
"Anthotroche walcottii F.Muell.","7","1.568842","0.435414","0.164571","0.042371"
"Sorghum intrans F.Muell. ex Benth.","14","0.586321","1.33419","0.356577","0.01483"
"Aristida ramosa R.Br.","96","3.339407","0.493571","0.050375","0.00309"
"Rytidosperma clelandii (Vickery) Connor & Edgar","2","3.198465","0.286707","0.202732","0.148297"
"Solanum hystrix R.Br.","19","2.519436","0.184608","0.042352","0.01561"
"Solanum cleistogamum Symon","193","1.993464","0.85262","0.061373","0.001506"
"Sorghum stipoideum (Ewart & Jean White) C.A.Gardner & C.E.Hubb.","53","0.492179","0.928711","0.127568","0.004008"
"Nicotiana suaveolens Lehm.","55","3.509136","0.405242","0.054643","0.005393"
"Poa poiformis (Labill.) Druce","74","3.29963","0.675759","0.078555","0.004008"
"Solanum oldfieldii F.Muell.","34","1.983971","0.572924","0.098256","0.008723"
"Poa drummondiana Nees","56","2.612564","0.509656","0.068106","0.005296"
"Solanum tudununggae Symon","2","1.818793","1.591904","1.125646","0.059319"
"Solanum discolor R.Br.","14","2.576573","1.319635","0.352687","0.021185"
"Solanum ditrichum A.R.Bean","12","3.784818","0.168335","0.048594","0.024716"
"Solanum tetrathecum F.Muell.","22","3.321975","0.419133","0.089359","0.013482"
"Solanum ferocissimum Lindl.","134","2.427037","0.844659","0.072967","0.002165"
