"species","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"Agrostis clavata Trin.","263","4.734839","0.564553","0.034812","0.000849"
"Alopecurus pratensis L.","590","4.328881","0.335822","0.013826","0.000379"
"Scolochloa festucacea (Willd.) Link","189","4.293799","0.26363","0.019176","0.001182"
"Leersia oryzoides (L.) Sw.","670","4.595166","0.410884","0.015874","0.000333"
"Erysimum cheiranthoides L.","528","4.384537","0.368949","0.016056","0.000423"
"Puccinellia phryganodes (Trin.) Scribn. & Merr.","98","3.868677","0.517078","0.052233","0.002279"
"Chaenorhinum minus (L.) Lange","280","4.406055","0.3048","0.018215","0.000798"
"Cynosurus cristatus L.","330","4.554567","0.325663","0.017927","0.000677"
"Centaurea solstitialis L.","180","4.441847","0.432155","0.032211","0.001241"
"Primula veris L.","349","4.434334","0.278508","0.014908","0.00064"
"Cardamine hirsuta L.","492","4.753683","0.519743","0.023432","0.000454"
"Danthonia decumbens (L.) DC.","258","4.599884","0.380874","0.023712","0.000866"
"Arctium lappa L.","394","4.608683","0.485883","0.024478","0.000567"
"Cardamine bulbifera (L.) Crantz","175","4.570103","0.398474","0.030122","0.001276"
"Draba nivalis Lilj.","310","4.135133","0.533601","0.030307","0.000721"
"Drabella muralis (L.) Fourr.","13","4.558659","0.330576","0.091685","0.017183"
"Raphanus sativus L.","262","4.320981","0.664206","0.041035","0.000846"
"Helictochloa pratensis (L.) Romero Zarco","48","4.368595","0.202293","0.029198","0.004654"
"Helictotrichon pratense (L.) Pilg.","24","4.386716","0.263264","0.053739","0.009308"
"Phleum pratense L.","621","4.427075","0.311676","0.012507","0.00036"
"Centaurea montana L.","143","4.546033","0.343147","0.028695","0.001562"
"Galium aparine L.","564","4.58778","0.483461","0.020357","0.000396"
"Lathraea squamaria L.","187","4.475666","0.300691","0.021989","0.001195"
"Glyceria notata Chevall.","307","4.401159","0.341673","0.0195","0.000728"
"Ligusticum scoticum L.","133","4.761923","0.455774","0.039521","0.00168"
"Melampyrum arvense L.","202","4.295924","0.320591","0.022557","0.001106"
"Draba alpina L.","231","3.853032","0.618994","0.040727","0.000967"
"Galium mollugo L.","432","4.451291","0.30903","0.014868","0.000517"
"Lolium perenne L.","611","4.49658","0.372818","0.015083","0.000366"
"Cakile maritima Scop.","149","4.498507","0.412362","0.033782","0.001499"
"Primula nutans Georgi","179","4.157644","0.523073","0.039096","0.001248"
"Oenanthe aquatica (L.) Poir.","242","4.315604","0.215865","0.013876","0.000923"
"Solanum melongena L.","270","5.01276","0.767988","0.046738","0.000827"
"Seseli libanotis (L.) W.D.J.Koch","179","4.414073","0.368695","0.027558","0.001248"
"Libanotis pyrenaica (L.) Bourg","8","4.482258","0.465315","0.164514","0.027923"
"Libanotis sibirica (L.) Koch","3","4.33395","0.058957","0.034039","0.074462"
"Crambe maritima L.","48","4.471918","0.359453","0.051883","0.004654"
"Carduus nutans L.","255","4.344356","0.358135","0.022427","0.000876"
"Carduus acanthoides L.","272","4.528642","0.38942","0.023612","0.000821"
"Cardamine parviflora L.","221","4.645278","0.427871","0.028782","0.001011"
"Sium latifolium L.","224","4.277123","0.203463","0.013594","0.000997"
"Solanum rostratum Dunal","556","4.491977","0.506597","0.021484","0.000402"
"Rorippa sylvestris (L.) Besser","264","4.38392","0.308434","0.018983","0.000846"
"Galium spurium L.","260","4.562584","0.537791","0.033352","0.000859"
"Agrostis vinealis Schreb.","434","4.398751","0.452422","0.021717","0.000515"
"Setaria viridis (L.) P.Beauv.","1203","4.49539","0.610781","0.01761","0.000186"
"Solanum americanum Mill.","1189","5.183614","0.687303","0.019932","0.000188"
"Solanum ptychanthum Dunal","202","4.794553","0.371852","0.026163","0.001106"
"Centaurea diffusa Lam.","137","4.292077","0.311492","0.026613","0.001631"
"Eragrostis australasica (Steud.) C.E.Hubb.","144","3.562221","0.372013","0.031001","0.001551"
"Perotis rara R.Br.","269","4.787115","0.677699","0.04132","0.00083"
"Aristida anthoxanthoides (Domin) Henrard","110","3.721432","0.546042","0.052063","0.002031"
"Poa fordeana F.Muell.","74","3.774128","0.50535","0.058746","0.003019"
"Rytidosperma caespitosum (Gaudich.) Connor & Edgar","223","3.949861","0.58801","0.039376","0.001002"
"Alyogyne hakeifolia (Giord.) Alefeld","63","4.001519","0.556074","0.070059","0.003546"
"Setaria verticillata (L.) P.Beauv.","472","4.474006","0.685464","0.031551","0.000473"
"Thyridolepis mitchelliana (Nees) S.T.Blake","152","3.823697","0.427094","0.034642","0.00147"
"Solanum elaeagnifolium Cav.","571","4.383798","0.629118","0.026328","0.000391"
"Vulpia muralis (Kunth) Nees","235","4.280455","0.527357","0.034401","0.000951"
"Aristida contorta F.Muell.","382","3.90589","0.601666","0.030784","0.000585"
"Sida platycalyx F.Muell. ex Benth.","132","4.201672","0.457586","0.039828","0.001692"
"Lepidium phlebopetalum (F.Muell.) F.Muell.","235","3.609464","0.434517","0.028345","0.000951"
"Rytidosperma tenuius (Steud.) O.E.Erikss., A.Hansen & Sunding","91","4.50893","0.496578","0.052056","0.002455"
"Lepidium oxytrichum Sprague","210","3.637042","0.404668","0.027925","0.001064"
"Bromus arenarius Labill.","157","3.764399","0.523467","0.041777","0.001423"
"Solanum quadriloculatum F.Muell.","158","4.147939","0.757836","0.06029","0.001414"
"Nicotiana velutina Wheeler","182","3.600906","0.464574","0.034437","0.001227"
"Tragus australianus S.T.Blake","325","4.018771","0.645663","0.035815","0.000687"
"Solanum petrophilum F.Muell.","71","3.618718","0.450846","0.053506","0.003146"
"Rytidosperma setaceum (R.Br.) Connor & Edgar","183","4.073107","0.541815","0.040052","0.001221"
"Solanum diversiflorum F.Muell.","74","4.60817","0.508338","0.059093","0.003019"
"Solanum ellipticum R.Br.","246","3.995185","0.72644","0.046316","0.000908"
"Poa helmsii Vickery","15","4.635655","0.267285","0.069013","0.014892"
"Solanum chippendalei Symon","75","4.381613","0.408766","0.0472","0.002978"
"Solanum simile F.Muell.","85","3.960587","0.498552","0.054076","0.002628"
"Sporobolus actinocladus (F.Muell.) F.Muell.","238","4.115635","0.665412","0.043132","0.000939"
"Eragrostis dielsii Pilg.","310","3.707884","0.478152","0.027157","0.000721"
"Rytidosperma racemosum (R.Br.) Connor & Edgar","72","4.454279","0.426766","0.050295","0.003103"
"Solanum sturtianum F.Muell.","111","3.778093","0.415447","0.039432","0.002012"
"Lepidium leptopetalum (F.Muell.) F.Muell.","32","3.527792","0.337212","0.059611","0.006981"
"Paspalidium constrictum (Domin) C.E.Hubb.","237","4.024277","0.652794","0.042404","0.000943"
"Solanum chenopodinum F.Muell.","67","3.756174","0.521357","0.063694","0.003334"
"Asperula conferta Hook.f.","136","4.276212","0.481543","0.041292","0.001643"
"Daucus glochidiatus (Labill.) Fisch., C.A.Mey. & Avé-Lall.","376","4.012051","0.583359","0.030084","0.000594"
"Echinochloa esculenta (A.Braun) H.Scholz","106","4.706873","0.68505","0.066538","0.002107"
"Solanum nemophilum F.Muell.","22","4.65023","0.232641","0.049599","0.010154"
"Eriachne mucronata R.Br.","288","4.244207","0.662486","0.039037","0.000776"
"Themeda triandra Forssk.","752","4.779919","0.778178","0.028377","0.000297"
"Solanum centrale J.M.Black","135","3.960599","0.518723","0.044645","0.001655"
"Grammosolen truncatus (Ising) Haegi","16","3.371187","0.468541","0.117135","0.013962"
"Sacciolepis indica (L.) Chase","348","5.558635","0.373886","0.020042","0.000642"
"Enneapogon polyphyllus (Domin) N.T.Burb.","336","4.130305","0.702088","0.038302","0.000665"
"Nicotiana goodspeedii Wheeler","77","3.504792","0.380237","0.043332","0.002901"
"Dichelachne crinita (L.f.) Hook.f.","136","4.562232","0.462844","0.039689","0.001643"
"Aristida latifolia Domin","234","4.643221","0.646595","0.042269","0.000955"
"Panicum laevinode Lindl.","240","4.25936","0.720319","0.046496","0.000931"
"Poa labillardierei Steud.","121","4.472006","0.530119","0.048193","0.001846"
"Solanum pseudocapsicum L.","419","5.006904","0.503717","0.024608","0.000533"
"Solanum capsicastrum Link ex Schauer","12","5.149423","0.565864","0.163351","0.018615"
"Rytidosperma semiannulare (Labill.) Connor & Edgar","59","4.491859","0.500494","0.065159","0.003786"
"Solanum esuriale Lindl.","235","3.996734","0.617903","0.040308","0.000951"
"Bothriochloa ewartiana (Domin) C.E.Hubb.","212","4.424714","0.675614","0.046401","0.001054"
"Nicotiana maritima Wheeler","20","3.924132","0.437808","0.097897","0.011169"
"Hypericum gramineum G.Forst.","305","4.688448","0.742402","0.04251","0.000732"
"Poa clelandii Vickery","48","4.480327","0.427882","0.061759","0.004654"
"Chloris truncata R.Br.","181","3.966502","0.545054","0.040514","0.001234"
"Solanum nummularium S.Moore","52","3.678969","0.347326","0.048165","0.004296"
"Solanum aviculare G.Forst.","124","4.866069","0.567473","0.050961","0.001801"
"Vulpia myuros (L.) C.C.Gmel.","739","4.597096","0.623058","0.02292","0.000302"
"Solanum echinatum R.Br.","66","5.320573","0.34664","0.042668","0.003385"
"Hainardia cylindrica (Willd.) Greuter","182","4.474611","0.410146","0.030402","0.001227"
"Rytidosperma geniculatum (J.M.Black) Connor & Edgar","37","4.366068","0.28843","0.047418","0.006037"
"Rytidosperma fulvum (Vickery) A.M.Humphreys & H.P.Linder","74","4.208843","0.393193","0.045708","0.003019"
"Iseilema membranaceum (Lindl.) Domin","224","4.118583","0.618067","0.041296","0.000997"
"Panicum paludosum Roxb.","60","5.627126","0.475838","0.06143","0.003723"
"Solanum curvicuspe Domin","4","4.811777","0.60002","0.30001","0.055846"
"Solanum brownii Dunal","24","4.691728","0.407077","0.083094","0.009308"
"Triodia basedowii E.Pritz.","172","3.842133","0.440937","0.033621","0.001299"
"Solanum linnaeanum Hepper & P.-M.L.Jaeger","135","4.569276","0.534061","0.045965","0.001655"
"Bothriochloa macra (Steud.) S.T.Blake","91","4.200731","0.559511","0.058653","0.002455"
"Distichlis distichophylla (Labill.) Fassett","61","4.186149","0.453535","0.058069","0.003662"
"Rytidosperma nivicola (Vickery) Connor & Edgar","10","4.92914","0.472325","0.149362","0.022338"
"Triraphis mollis R.Br.","283","3.910407","0.63016","0.037459","0.000789"
"Lepidium pseudohyssopifolium Hewson","63","4.189986","0.568885","0.071673","0.003546"
"Solanum mauritianum Scop.","223","5.213174","0.544438","0.036458","0.001002"
"Enneapogon cylindricus N.T.Burb.","156","3.642958","0.527735","0.042253","0.001432"
"Enteropogon ramosus B.K.Simon","241","4.032064","0.608096","0.039171","0.000927"
"Eragrostis parviflora (R.Br.) Trin.","242","4.145598","0.650535","0.041818","0.000923"
"Rytidosperma duttonianum (Cashmore) Connor & Edgar","45","4.134022","0.325598","0.048537","0.004964"
"Solanum linearifolium Geras. ex Symon","39","4.594391","0.336064","0.053813","0.005728"
"Sporobolus virginicus (L.) Kunth","449","4.942465","0.874524","0.041271","0.000498"
"Triodia scariosa N.T.Burb.","146","3.715076","0.445393","0.036861","0.00153"
"Aristida behriana F.Muell.","56","3.973043","0.388236","0.05188","0.003989"
"Solanum triflorum Nutt.","356","4.067858","0.515788","0.027337","0.000627"
"Triodia irritans R.Br.","72","3.672702","0.400246","0.047169","0.003103"
"Solanum capsiciforme (Domin) Baylis","30","3.874923","0.414099","0.075604","0.007446"
"Arthraxon hispidus (Thunb.) Makino","228","5.379649","0.555914","0.036816","0.00098"
"Nicotiana excelsior (J.M.Black) J.M.Black","26","3.685239","0.355789","0.069776","0.008592"
"Diplotaxis muralis (L.) DC.","210","4.326292","0.45247","0.031223","0.001064"
"Amphipogon strictus R.Br.","79","4.358172","0.513866","0.057814","0.002828"
"Solanum vicinum A.R.Bean","12","5.104847","0.286001","0.082561","0.018615"
"Aristida inaequiglumis Domin","173","4.586667","0.623393","0.047396","0.001291"
"Panicum decompositum R.Br.","279","4.502221","0.724558","0.043378","0.000801"
"Solanum laciniatum Aiton","110","4.562963","0.430361","0.041033","0.002031"
"Lycium australe F.Muell.","118","3.488748","0.385479","0.035486","0.001893"
"Rytidosperma carphoides (F.Muell. ex Benth.) Connor & Edgar","45","4.171739","0.24792","0.036958","0.004964"
"Zygochloa paradoxa (R.Br.) S.T.Blake","83","3.482019","0.392394","0.043071","0.002691"
"Solanum dioicum W.Fitzg.","56","5.189","0.425723","0.05689","0.003989"
"Rytidosperma pilosum (R.Br.) Connor & Edgar","89","4.505776","0.494659","0.052434","0.00251"
"Solanum gabrielae Domin","18","4.289094","0.293038","0.06907","0.01241"
"Elytrophorus spicatus (Willd.) A.Camus","244","4.81639","0.747772","0.047871","0.000916"
"Rytidosperma auriculatum (J.M.Black) Connor & Edgar","44","4.098458","0.364447","0.054942","0.005077"
"Rytidosperma laeve (Vickery) Connor & Edgar","61","4.368883","0.535581","0.068574","0.003662"
"Dichelachne micrantha (Cav.) Domin","104","4.662279","0.436341","0.042787","0.002148"
"Solanum cinereum R.Br.","49","4.368482","0.429065","0.061295","0.004559"
"Dactyloctenium radulans (R.Br.) P.Beauv.","385","4.230277","0.741007","0.037765","0.00058"
"Gingidia harveyana (F.Muell.) J.W.Dawson","8","4.683682","0.357141","0.126268","0.027923"
"Epilobium gunnianum Hausskn.","39","4.806797","0.454291","0.072745","0.005728"
"Panicum queenslandicum Domin","75","4.417386","0.487451","0.056286","0.002978"
"Monachather paradoxus Steud.","184","3.715166","0.415624","0.03064","0.001214"
"Rytidosperma longifolium (R.Br.) Connor & Edgar","59","4.578531","0.383771","0.049963","0.003786"
"Solanum vescum F.Muell.","56","4.652385","0.396606","0.052999","0.003989"
"Duboisia hopwoodii (F.Muell.) F.Muell.","171","3.756406","0.471453","0.036053","0.001306"
"Astrebla elymoides F.Muell. ex F.M.Bailey","124","4.483654","0.488941","0.043908","0.001801"
"Sporobolus australasicus Domin","199","4.711335","0.574315","0.040712","0.001123"
"Triodia rigidissima (Pilg.) Lazarides","22","3.68024","0.4454","0.09496","0.010154"
"Solanum prinophyllum Dunal","35","4.766632","0.343503","0.058063","0.006382"
"Vulpia bromoides (L.) Gray","556","4.595709","0.667001","0.028287","0.000402"
"Spinifex sericeus R.Br.","68","4.799217","0.440768","0.053451","0.003285"
"Paspalidium basicladum Hughes","116","3.764105","0.506654","0.047042","0.001926"
"Vulpia ciliata Dumort.","169","4.43098","0.389118","0.029932","0.001322"
"Solanum coactiliferum J.M.Black","139","3.571323","0.360882","0.03061","0.001607"
"Poa costiniana Vickery","22","5.017966","0.365827","0.077995","0.010154"
"Eragrostis eriopoda Benth.","295","3.92758","0.576362","0.033557","0.000757"
"Epilobium hirtigerum A.Cunn.","110","4.462738","0.538808","0.051373","0.002031"
"Solanum stelligerum Sm.","54","4.911513","0.516741","0.07032","0.004137"
"Solanum clarkiae Symon","10","5.642039","0.353482","0.111781","0.022338"
"Triodia pungens R.Br.","190","4.551341","0.577256","0.041879","0.001176"
"Echinopogon ovatus (G.Forst.) P.Beauv.","126","4.759638","0.534746","0.047639","0.001773"
"Solanum pungetium R.Br.","20","4.767251","0.283857","0.063472","0.011169"
"Enteropogon acicularis (Lindl.) Lazarides","209","3.953016","0.560743","0.038787","0.001069"
"Grammosolen dixonii (F.Muell. & Tate) Haegi","15","3.565191","0.288175","0.074406","0.014892"
"Ammophila arenaria (L.) Link","209","4.602267","0.479439","0.033163","0.001069"
"Chrysopogon oliganthus Veldkamp","53","5.48169","0.349815","0.048051","0.004215"
"Paspalidium albovillosum S.T.Blake","52","4.681141","0.422552","0.058597","0.004296"
"Triodia brizoides N.T.Burb.","53","4.229885","0.367936","0.05054","0.004215"
"Anthocercis angustifolia F.Muell.","4","4.247844","0.481372","0.240686","0.055846"
"Thyridolepis multiculmis (Pilg.) S.T.Blake","63","3.570883","0.357779","0.045076","0.003546"
"Galium migrans Ehrend. & McGill.","12","4.090383","0.408996","0.118067","0.018615"
"Anthocercis littorea Labill.","27","4.534688","0.563089","0.108367","0.008274"
"Rytidosperma nudiflorum (P.Morris) Connor & Edgar","17","5.01535","0.442966","0.107435","0.01314"
"Lepidium papillosum F.Muell.","62","3.490692","0.317884","0.040371","0.003603"
"Entolasia marginata (R.Br.) Hughes","53","4.940031","0.555171","0.076259","0.004215"
"Solanum torvum Sw.","552","5.640441","0.462571","0.019688","0.000405"
"Solanum symonii H.Eichler","42","4.265351","0.607929","0.093805","0.005319"
"Solanum acanthodapis A.R.Bean","1","5.488938",NA,NA,"0.223385"
"Urochloa mosambicensis (Hack.) Dandy","217","5.053922","0.536668","0.036431","0.001029"
"Urochloa trichopus (Hochst.) Stapf","75","4.925738","0.426884","0.049292","0.002978"
"Uranthoecium truncatum (Maiden & Betche) Stapf","67","4.109567","0.562895","0.068769","0.003334"
"Nicotiana simulans N.T.Burb.","132","3.614074","0.475903","0.041422","0.001692"
"Rytidosperma erianthum (Lindl.) Connor & Edgar","72","4.095066","0.464861","0.054784","0.003103"
"Dichelachne rara (R.Br.) Vickery","81","4.927379","0.558765","0.062085","0.002758"
"Lepidium foliosum Desv.","17","4.563231","0.488017","0.118362","0.01314"
"Solanum oligacanthum F.Muell.","36","3.463867","0.365757","0.06096","0.006205"
"Aristida obscura Henrard","78","3.96244","0.415529","0.047049","0.002864"
"Paspalidium jubiflorum (Trin.) Hughes","208","4.167494","0.612216","0.04245","0.001074"
"Chloris pectinata Benth.","188","4.283372","0.672245","0.049029","0.001188"
"Dichelachne inaequiglumis (Hack.) Edgar & Connor","55","4.88507","0.38578","0.052019","0.004062"
"Astrebla lappacea (Lindl.) Domin","138","4.180866","0.649292","0.055271","0.001619"
"Amphipogon caricinus F.Muell.","122","3.974809","0.536204","0.048546","0.001831"
"Eriachne aristidea F.Muell.","204","4.058714","0.551954","0.038645","0.001095"
"Solanum lucani F.Muell.","57","5.343038","0.367884","0.048727","0.003919"
"Glyceria australis C.E.Hubb.","60","4.419975","0.364297","0.047031","0.003723"
"Yakirra australiensis (Domin) Lazarides & R.D.Webster","164","4.389889","0.637039","0.049744","0.001362"
"Nicotiana gossei Domin","24","3.861713","0.271777","0.055476","0.009308"
"Anthocercis sylvicola T.D.Macfarl. & Ward.-Johnson","1","5.231109",NA,NA,"0.223385"
"Aristida hygrometrica R.Br.","104","5.107366","0.490422","0.04809","0.002148"
"Bothriochloa bladhii (Retz.) S.T.Blake","236","5.284177","0.543925","0.035407","0.000947"
"Solanum hoplopetalum Bitter & Summerh.","49","3.904667","0.503233","0.07189","0.004559"
"Anthotroche walcottii F.Muell.","7","4.137959","0.475107","0.179574","0.031912"
"Sorghum intrans F.Muell. ex Benth.","20","5.568279","0.319616","0.071468","0.011169"
"Aristida ramosa R.Br.","96","4.435925","0.398773","0.0407","0.002327"
"Rytidosperma clelandii (Vickery) Connor & Edgar","2","4.410571","0.544783","0.38522","0.111692"
"Solanum hystrix R.Br.","19","3.528026","0.302816","0.069471","0.011757"
"Solanum cleistogamum Symon","197","3.941904","0.524153","0.037344","0.001134"
"Sorghum stipoideum (Ewart & Jean White) C.A.Gardner & C.E.Hubb.","74","5.259812","0.572498","0.066552","0.003019"
"Nicotiana suaveolens Lehm.","55","4.187061","0.50755","0.068438","0.004062"
"Poa poiformis (Labill.) Druce","74","4.576647","0.500156","0.058142","0.003019"
"Solanum oldfieldii F.Muell.","34","4.149212","0.424626","0.072823","0.00657"
"Poa drummondiana Nees","56","4.186319","0.518699","0.069314","0.003989"
"Solanum tudununggae Symon","5","5.28779","0.524445","0.234539","0.044677"
"Solanum discolor R.Br.","14","5.722622","0.389799","0.104178","0.015956"
"Solanum ditrichum A.R.Bean","12","5.090575","0.336713","0.097201","0.018615"
"Solanum tetrathecum F.Muell.","22","4.576567","0.265564","0.056618","0.010154"
"Solanum ferocissimum Lindl.","137","4.152338","0.518934","0.044336","0.001631"
