"species","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Decaryochloa diadelpha A.Camus","3","9.424858","0.362359","0.209208","0.101381"
"Acritochaete volkensii Pilg.","12","9.366835","0.416518","0.120238","0.025345"
"Greslania rivularis Balansa","1","8.879612",NA,NA,"0.304142"
"Carphalea madagascariensis Lam.","6","8.150684","0.280707","0.114598","0.05069"
"Setaria orthosticha K.Schum. ex R.A.W.Herrm.","25","8.678591","0.415266","0.083053","0.012166"
"Galium araucanum Phil.","2","9.026473","0.212425","0.150207","0.152071"
"Bouteloua reflexa Swallen","13","7.756732","0.798608","0.221494","0.023396"
"Salvia dorisiana Standl.","3","9.058784","0.177405","0.102425","0.101381"
"Cardamine breweri S.Watson","64","8.682757","0.779914","0.097489","0.004752"
"Solanum infundibuliforme Phil.","9","7.336768","0.778258","0.259419","0.033794"
"Solanum microphyllum Hawkes","2","8.308615","0.414771","0.293287","0.152071"
"Alloteropsis papillosa Clayton","13","8.577236","0.235752","0.065386","0.023396"
"Poa laetevirens R.E.Fr.","12","7.279032","0.951897","0.274789","0.025345"
"Salvia littae Vis.","9","8.761644","0.233614","0.077871","0.033794"
"Dissanthelium peruvianum (Nees & Meyen) Pilg.","11","8.286271","0.504867","0.152223","0.027649"
"Solanum cacosmum Bohs","12","9.771335","0.302403","0.087296","0.025345"
"Stipa speciosa Trin. & Rupr.","57","7.152983","0.590429","0.078204","0.005336"
"Achimenes dulcis C.V.Morton","3","8.562783","0.055543","0.032068","0.101381"
"Panicum chloroleucum Griseb.","10","6.591237","0.305286","0.09654","0.030414"
"Muhlenbergia gypsophila C.Reeder & Reeder","9","7.684926","0.191444","0.063815","0.033794"
"Pearcea reticulata (Fritsch) L.P.Kvist & L.E.Skog","14","9.755076","0.582877","0.15578","0.021724"
"Mesosetum chaseae Luces","22","9.059274","0.312896","0.06671","0.013825"
"Briza erecta Lam.","17","8.996387","0.188795","0.04579","0.017891"
"Solanum albicans (Ochoa) C.Ochoa","8","8.988688","0.31899","0.11278","0.038018"
"Grewia similis K.Schum.","37","8.754983","0.403068","0.066264","0.00822"
"Stipa capillacea Keng","39","8.342649","0.640082","0.102495","0.007799"
"Brayopsis diapensioides (Wedd.) Gilg & Muschl.","2","8.955937","0.024986","0.017668","0.152071"
"Croton poilanei Gagnep.","10","8.989891","0.162829","0.051491","0.030414"
"Brachiaria leersioides (Hochst.) Stapf","33","8.237077","0.733075","0.127612","0.009216"
"Besleria emendata C.V.Morton","5","9.673829","0.721382","0.322612","0.060828"
"Lupinus truncatus Nutt. ex Hook. & Arn.","24","7.639931","0.577621","0.117906","0.012673"
"Aristida scribneriana Hitchc.","20","7.942861","0.397142","0.088804","0.015207"
"Nassella nidulans (Mez) Barkworth","4","7.82799","0.4708","0.2354","0.076035"
"Panicum missionum Ekman","13","9.373389","0.178224","0.04943","0.023396"
"Solanum bahamense L.","42","8.645591","0.93342","0.14403","0.007241"
"Croton elegans Kunth","3","8.571486","0.210199","0.121358","0.101381"
"Croton redolens Pittier","5","8.729609","0.368874","0.164965","0.060828"
"Chamaecrista brevicalyx (Benth.) H.S.Irwin & Barneby","17","8.432042","0.2516","0.061022","0.017891"
"Salvia leucodermis Baker","5","9.203323","0.150563","0.067334","0.060828"
"Hypericum irazuense Kuntze, 1891","1","9.720946",NA,NA,"0.304142"
"Paspalum equitans Mez","13","9.118509","0.133686","0.037078","0.023396"
"Solanum glutinosum Dunal","13","8.363429","0.490873","0.136144","0.023396"
"Glossoloma purpureum (L.P.Kvist & L.E.Skog) J.L.Clark","2","9.394666","0.575365","0.406844","0.152071"
"Phlox glaberrima L.","75","9.119153","0.124725","0.014402","0.004055"
"Streptocarpus cyaneus S.Moore","2","8.82183","0.079942","0.056528","0.152071"
"Streptocarpus thompsonii R.Br.","11","9.175285","0.217173","0.06548","0.027649"
"Stipa mucronata Kunth","25","8.493538","0.581309","0.116262","0.012166"
"Paraboea umbellata (Drake) B.L.Burtt","4","9.429288","0.131592","0.065796","0.076035"
"Paraboea rufescens (Franch.) B.L.Burtt","23","9.178369","0.271338","0.056578","0.013224"
"Anagallis filiformis Cham. & Schltdl.","13","9.548402","0.186035","0.051597","0.023396"
"Bromus orcuttianus Vasey","48","8.676021","0.585012","0.084439","0.006336"
"Triplasis americana P.Beauv.","30","9.038961","0.133867","0.024441","0.010138"
"Neurolepis asymmetrica L.G.Clark","5","9.214049","0.233553","0.104448","0.060828"
"Nassella chilensis (Trin.) É.Desv.","16","8.073289","1.120949","0.280237","0.019009"
"Panicum micranthum Kunth","32","9.589321","0.273439","0.048338","0.009504"
"Galium bigeminum Griseb.","10","8.693286","0.62976","0.199148","0.030414"
"Alloteropsis paniculata (Benth.) Stapf","39","9.102204","0.506836","0.081159","0.007799"
"Besleria lutea L.","6","9.285037","0.177626","0.072516","0.05069"
"Distichlis eludens (Soderstr. & H.F.Decker) H.L.Bell & Columbus","2","7.701541","0.271045","0.191658","0.152071"
"Reederochloa eludens Soderstr. & H.F.Decker","3","7.753433","0.227992","0.131631","0.101381"
"Gaoligongshania megalothyrsa (Hand.-Mazz.) D.Z.Li, Hsueh & N.H.Xia","1","9.499496",NA,NA,"0.304142"
"Lopezia langmaniae Miranda","2","8.861055","0.114385","0.080882","0.152071"
"Goetzea ekmanii O.E.Schulz","1","8.576028",NA,NA,"0.304142"
"Solanum stellativelutinum Bitter","1","8.578665",NA,NA,"0.304142"
"Echinochloa stagnina (Retz.) P.Beauv.","142","8.344201","0.86305","0.072426","0.002142"
"Aphanelytrum procumbens Hack.","7","9.021237","0.246775","0.093272","0.043449"
"Calamagrostis rubescens Buckley","97","8.554195","0.44812","0.0455","0.003135"
"Kohleria warszewiczii (Regel) Hanst.","11","9.725984","0.22045","0.066468","0.027649"
"Hedyotis tenelliflora Blume","75","9.377468","0.34271","0.039573","0.004055"
"Setaria globulifera (Steud.) Griseb.","23","8.965849","0.366238","0.076366","0.013224"
"Solanum comptum C.V.Morton","27","8.518972","0.456787","0.087909","0.011265"
"Primula heucherifolia Franch.","8","9.141848","0.306766","0.108458","0.038018"
"Streptocarpus hildebrandtii Vatke","3","9.068869","0.149128","0.086099","0.101381"
"Bromus ayacuchensis Saarela & P.M.Peterson","1","8.485909",NA,NA,"0.304142"
"Paradrymonia fuquaiana Wiehler","5","10.052239","0.505209","0.225936","0.060828"
"Solanum circaeifolium Bitter","5","8.558844","0.173218","0.077465","0.060828"
"Lupinus albifrons Benth.","43","8.264688","0.726505","0.110791","0.007073"
"Bakeridesia integerrima (Hook.fil.) D.M.Bates","6","9.005081","0.366361","0.149566","0.05069"
"Oreobambos buchwaldii K.Schum.","5","9.201859","0.430921","0.192714","0.060828"
"Ctenium aromaticum (Walter) Alph.Wood","38","9.068274","0.138955","0.022541","0.008004"
"Hibiscus mechowii Garcke","15","8.689269","0.691172","0.17846","0.020276"
"Nierembergia linariifolia Graham","56","8.540307","0.639071","0.085399","0.005431"
"Nierembergia angustifolia Kunth","15","7.988891","0.356848","0.092138","0.020276"
"Nierembergia hippomanica Miers","6","8.340808","0.662334","0.270397","0.05069"
"Festuca vaginalis (Benth.) Laegaard","4","9.650321","0.429376","0.214688","0.076035"
"Lomatium dissectum (Nutt. ex Torr. & Gray) Mathias & Constance","54","8.298059","0.706503","0.096143","0.005632"
"Lycium stenophyllum J.Rémy","4","5.570253","1.079307","0.539654","0.076035"
"Grewia villosa Willd.","93","7.732243","0.86852","0.090061","0.00327"
"Mostacillastrum orbignyanum (E.Fourn.) Al-Shehbaz","25","7.473722","0.697505","0.139501","0.012166"
"Ludwigia adscendens (L.) Hara","84","9.023787","0.6403","0.069862","0.003621"
"Impatiens columbaria Bos","1","9.754117",NA,NA,"0.304142"
"Solanum savanillense Bitter","3","9.149643","0.186735","0.107812","0.101381"
"Chusquea juergensii Hack.","13","9.467901","0.158633","0.043997","0.023396"
"Cestrum violaceum Urb.","2","8.898769","0.713359","0.504421","0.152071"
"Lefebvrea abyssinica A.Rich.","40","8.870629","0.290566","0.045943","0.007604"
"Eragrostis unioloides (Retz.) Nees","12","9.45213","0.493614","0.142494","0.025345"
"Pennisetum stramineum Peter","4","8.281626","0.109141","0.05457","0.076035"
"Oenothera latifolia (Rydb.) Munz","32","7.819057","0.298453","0.05276","0.009504"
"Houstonia micrantha (Shinners) Terrell","32","9.117241","0.102258","0.018077","0.009504"
"Salvia durifolia Epling","8","9.211196","0.147418","0.05212","0.038018"
"Salvia ovalifolia A.St.-Hil. ex Benth.","8","9.297043","0.184519","0.065237","0.038018"
"Croton manampetsae Leandri","9","8.239712","0.580252","0.193417","0.033794"
"Lepidium quitense Turcz.","1","8.525756",NA,NA,"0.304142"
"Bromus pectinatus Thunb.","16","8.391969","1.074542","0.268636","0.019009"
"Solanum macrocarpon L.","57","9.090816","0.454267","0.060169","0.005336"
"Chusquea subulata L.G.Clark","5","9.351453","0.523469","0.234102","0.060828"
"Oenothera arizonica (Munz) W.L.Wagner","11","6.751672","0.512741","0.154597","0.027649"
"Myrrhidendron donnell-smithii J.M.Coult. & Rose","8","9.465219","0.391091","0.138272","0.038018"
"Solanum berthaultii Hawkes","15","8.03063","0.528416","0.136436","0.020276"
"Eragrostis exasperata Peter","29","8.797827","0.344556","0.063982","0.010488"
"Osmorhiza occidentalis (Nutt. ex Torr. & Gray) Torr.","125","8.408993","0.690767","0.061784","0.002433"
"Festuca kingii (S.Watson) Cassidy","14","8.128126","0.592428","0.158333","0.021724"
"Sinningia tubiflora (Hook.) Fritsch","19","8.770273","0.191878","0.04402","0.016007"
"Lepidium auriculatum Regel & Körn.","45","8.482909","0.630123","0.093933","0.006759"
"Nicotiana noctiflora Hook.","30","7.328772","0.718332","0.131149","0.010138"
"Nolana humifusa (Gouan) I.M.Johnst.","6","5.690377","0.734166","0.299722","0.05069"
"Nolana aticoana Ferreyra","2","3.22286","2.281723","1.613422","0.152071"
"Nolana plicata I.M.Johnst.","2","4.043051","0","0","0.152071"
"Nolana spathulata Ruiz & Pav.","7","3.899718","0.892182","0.337213","0.043449"
"Nolana coronata Ruiz & Pav.","2","4.828282","0.011314","0.008","0.152071"
"Nolana tomentella Ferreyra","1","4.043051",NA,NA,"0.304142"
"Nolana willeana Ferreyra","1","2.944439",NA,NA,"0.304142"
"Impatiens tinctoria A.Rich.","11","8.901205","0.287355","0.086641","0.027649"
"Pennisetum lanatum Klotzsch","17","8.263666","0.575714","0.139631","0.017891"
"Menonvillea litoralis (Barnéoud) Rollins","4","7.268548","1.266465","0.633232","0.076035"
"Catabrosa werdermannii (Pilg.) Nicora & Rúgolo","11","6.73272","0.934829","0.281862","0.027649"
"Drymonia chiribogana Wiehler","4","9.46866","0.646604","0.323302","0.076035"
"Festuca thurberi Vasey","41","8.09255","0.397959","0.062151","0.007418"
"Briza juergensii Hack.","5","9.483664","0.223413","0.099913","0.060828"
"Linanthus pungens (Torr.) J.M.Porter & L.A.Johnson","122","7.567879","0.657885","0.059562","0.002493"
"Poa colensoi Hook.f.","33","9.843869","0.526546","0.09166","0.009216"
"Panicum caricoides Nees ex Trin.","24","9.410292","0.388106","0.079222","0.012673"
"Lycianthes beckneriana D' Arcy","5","9.976519","0.169363","0.075741","0.060828"
"Epithema tenue C.B.Clarke","26","9.625997","0.275279","0.053987","0.011698"
"Mathiasella bupleuroides Constance & C.L.Hitchc.","1","8.084562",NA,NA,"0.304142"
"Rorippa dubia (Pers.) H.Hara","102","9.146244","0.348535","0.03451","0.002982"
"Seymeria pectinata Pursh","35","9.038664","0.13088","0.022123","0.00869"
"Digitaria catamarcensis Rúgolo","3","8.119642","0.621406","0.358769","0.101381"
"Cymopterus ripleyi Barneby","7","6.628223","0.370624","0.140083","0.043449"
"Muhlenbergia straminea Hitchc.","13","8.14251","0.395234","0.109618","0.023396"
"Aschersoniodoxa cachensis (Speg.) Al-Shehbaz","5","8.026489","0.815084","0.364517","0.060828"
"Xylonagra arborea (Kellogg) Donn.Sm. & Rose","5","6.546789","0.450835","0.20162","0.060828"
"Nassella meyeniana (Trin. & Rupr.) Parodi","14","7.927621","0.818785","0.218829","0.021724"
"Setaria vaginata Spreng.","16","9.257086","0.382852","0.095713","0.019009"
"Oldenlandia rosulata K.Schum.","17","8.711748","0.502292","0.121824","0.017891"
"Eustachys paspaloides (Vahl) Lanza & Mattei","68","8.032243","0.570688","0.069206","0.004473"
"Phlox carolina L.","37","9.085504","0.277696","0.045653","0.00822"
"Streptocarpus thysanotus Hilliard & B.L.Burtt","1","8.932741",NA,NA,"0.304142"
"Elymus spicatus (Pursh) Gould","62","8.074144","0.516286","0.065568","0.004906"
"Oenothera tubifera Moc. & Sessé ex Ser.","5","8.175082","0.633164","0.28316","0.060828"
"Navarretia peninsularis Greene","7","8.001852","0.325692","0.1231","0.043449"
"Solanum spegazzinii Bitter","15","6.905317","0.59622","0.153943","0.020276"
"Croton discolor Willd.","7","8.621525","0.276908","0.104661","0.043449"
"Solanum adscendens Sendtn.","55","8.523258","0.652818","0.088026","0.00553"
"Danthonia sericea Nutt.","52","9.134847","0.150776","0.020909","0.005849"
"Physalis glutinosa Schltdl.","22","8.075481","0.487954","0.104032","0.013825"
"Chusquea serpens L.G.Clark","19","9.625372","0.32504","0.074569","0.016007"
"Streptocarpus goetzei Engl.","5","9.292546","0.144212","0.064494","0.060828"
"Echinochloa haploclada (Stapf) Stapf","40","8.351443","0.460311","0.072782","0.007604"
"Croton bracteatus Lam.","1","9.659503",NA,NA,"0.304142"
"Oryza longistaminata A.Chev. & Roehr.","221","8.434355","0.614629","0.041344","0.001376"
"Thelepogon elegans Roth","43","8.434887","0.403539","0.061539","0.007073"
"Sorghum almum Parodi","65","8.184022","0.641273","0.07954","0.004679"
"Schwenckia lateriflora (Vahl) Carvalho","5","8.976305","0.340713","0.152371","0.060828"
"Aulonemia laxa (F.Maek.) McClure","8","9.221648","0.298024","0.105367","0.038018"
"Stipa melanosperma J.Presl","7","9.316149","0.136556","0.051613","0.043449"
"Fuchsia triphylla L.","1","9.328657",NA,NA,"0.304142"
"Nicotiana paniculata L.","16","6.203791","1.48151","0.370378","0.019009"
"Cryptotaenia japonica Hassk.","154","9.418888","0.295234","0.023791","0.001975"
"Munroa argentina Griseb.","20","6.704644","0.535571","0.119757","0.015207"
"Lithodraba mendocinensis (Hauman) Boelcke","5","7.495559","0.35902","0.160559","0.060828"
"Solanum conditum C.V.Morton","16","8.471642","0.326661","0.081665","0.019009"
"Iochroma fuchsioides (Kunth) Miers","10","9.358649","0.471948","0.149243","0.030414"
"Schizachyrium semitectum (Swallen) Reeder","14","8.283147","0.390761","0.104435","0.021724"
"Hygroryza aristata Nees","2","9.663559","0.294046","0.207922","0.152071"
"Lycium gilliesianum Miers","36","7.403508","0.514947","0.085825","0.008448"
"Peyritschia deyeuxioides (Kunth) Finot","38","8.432742","0.526496","0.085409","0.008004"
"Festuca chimborazensis E.B.Alexeev","4","9.463807","0.25828","0.12914","0.076035"
"Heracleum bivittatum (C.B.Clarke) Boiss.","13","9.262391","0.362355","0.100499","0.023396"
"Paradrymonia densa (C.H.Wright) Wiehler","6","9.654432","0.247777","0.101155","0.05069"
"Salvia tehuacana Fernald","5","8.251505","0.183135","0.0819","0.060828"
"Croton tonduzii Pax","2","9.949626","0.004693","0.003318","0.152071"
"Hypericum ruscoides Cuatrec.","12","9.38369","0.518","0.149534","0.025345"
"Setaria homonyma (Steud.) Chiov.","77","8.671667","0.589992","0.067236","0.00395"
"Salvia striata Benth.","6","8.941428","0.361986","0.14778","0.05069"
"Oenothera elongata Rusby","8","8.613195","0.303835","0.107422","0.038018"
"Oryza punctata Kotschy ex Steud.","75","8.626068","0.660378","0.076254","0.004055"
"Gasteranthus mutabilis L.E.Skog & L.P.Kvist","1","9.689613",NA,NA,"0.304142"
"Oenothera magellanica Phil.","4","8.308207","0.689041","0.34452","0.076035"
"Eleusine multiflora Hochst. ex A.Rich.","13","8.425539","0.25167","0.069801","0.023396"
"Sorghum arundinaceum (Desv.) Stapf","191","8.61584","0.886108","0.064117","0.001592"
"Croton acapulcensis M.J.Martinez Gordillo & J.Jiménez Ram.","2","8.699822","0.203354","0.143793","0.152071"
"Heracleum scabridum Franch.","13","8.766871","0.179764","0.049858","0.023396"
"Aristida hordeacea Kunth","71","7.814619","0.764079","0.090679","0.004284"
"Brachiaria platynota (K.Schum.) Robyns","11","9.01737","0.249164","0.075126","0.027649"
"Drymonia rhodoloma Wiehler","3","9.45233","0.226278","0.130642","0.101381"
"Streptocarpus macropodus B.L.Burtt","3","9.013018","0.317758","0.183458","0.101381"
"Grewia lepidopetala Garcke","6","8.720446","0.129195","0.052744","0.05069"
"Coelorachis rugosa (Nutt.) Nash","38","9.035304","0.12665","0.020545","0.008004"
"Corallodiscus lanuginosus (Wall. ex A.DC.) B.L.Burtt","37","8.831058","0.570415","0.093776","0.00822"
"Eriastrum wilcoxii (A.Nelson) Mason","53","7.317833","0.453152","0.062245","0.005739"
"Croton draconoides Müll.Arg.","15","9.697928","0.238396","0.061554","0.020276"
"Oenanthe sarmentosa C.Presl ex DC.","60","9.311777","0.939028","0.121228","0.005069"
"Nolana villosa (Phil.) I.M.Johnst.","1","3.433987",NA,NA,"0.304142"
"Hedyotis hedyotidea (DC.) Merr.","57","9.426188","0.213015","0.028215","0.005336"
"Agathisanthemum quadricostatum Bremek.","7","8.800158","0.269177","0.101739","0.043449"
"Agathisanthemum globosum (Hochst. ex A.Rich.) Klotzsch","20","8.889677","0.230351","0.051508","0.015207"
"Streptanthus longisiliquus G.Clifton & R.Buck","5","8.965281","0.399166","0.178512","0.060828"
"Salvia nitida (M.Martens & Galeotti) Benth.","6","8.829988","0.201439","0.082237","0.05069"
"Mesosetum comatum Swallen","1","9.243678",NA,NA,"0.304142"
"Giliastrum foetidum (Gillies ex Benth.) J.M.Porter","2","6.600372","0.216468","0.153066","0.152071"
"Sporobolus pellucidus Hochst.","24","7.82428","0.958129","0.195577","0.012673"
"Corytoplectus congestus (Linden ex Hanst.) Wiehler","10","9.421629","0.328618","0.103918","0.030414"
"Bromus pseudolaevipes Wagnon","20","8.078612","0.560799","0.125398","0.015207"
"Dendrocalamus fugongensis Hsueh & D.Z.Li","2","9.545327","0.262382","0.185532","0.152071"
"Salvia tepicensis Fernald","3","8.977898","0.121206","0.069978","0.101381"
"Hypericum cuatrecasii Gleason","2","9.122902","0.037655","0.026626","0.152071"
"Dictyophragmus punensis (Romanczuk) Al-Shehbaz","1","7.094235",NA,NA,"0.304142"
"Poa polycolea Stapf","40","8.609003","0.434475","0.068697","0.007604"
"Guadua longifolia (E.Fourn.) R.W.Pohl","11","9.37859","0.298419","0.089977","0.027649"
"Lupinus semperflorens Hartw. ex Benth.","7","8.50847","0.282362","0.106723","0.043449"
"Ehrharta setacea Nees","2","8.22842","0.025105","0.017752","0.152071"
"Streptocarpus ibityensis Humbert","2","9.206872","0.025543","0.018062","0.152071"
"Aristida venesuelae Henrard","6","8.784584","0.361556","0.147605","0.05069"
"Agrostis thurberiana Hitchc.","66","9.15387","0.729917","0.089847","0.004608"
"Hypericum prostratum Cuatrec.","5","9.454379","0.214125","0.09576","0.060828"
"Phlox bifida Beck","16","8.995968","0.073903","0.018476","0.019009"
"Stenotaphrum micranthum (Desv.) C.E.Hubb.","3","8.74439","0.269622","0.155666","0.101381"
"Osmorhiza mexicana Griseb.","20","8.484374","0.470189","0.105137","0.015207"
"Glyceria arkansana Fernald","6","9.123055","0.095547","0.039007","0.05069"
"Conioselinum scopulorum (A.Gray) J.M.Coult. & Rose","44","8.191015","0.380949","0.05743","0.006912"
"Eriochloa montevidensis Griseb.","40","8.593564","1.014978","0.160482","0.007604"
"Deprea bitteriana (Werderm.) N.W.Sawyer & Benítez","7","9.347611","0.378963","0.143235","0.043449"
"Chaerophyllum daucoides (d'Urv.) K.F.Chung","10","9.009487","0.216259","0.068387","0.030414"
"Androsace delavayi Franch.","15","9.02912","0.254883","0.065811","0.020276"
"Lomatium orientale J.M.Coult. & Rose","80","8.049993","0.365359","0.040848","0.003802"
"Draba cuzcoensis O.E.Schulz","3","7.245428","2.410908","1.391938","0.101381"
"Dentella repens (L.) J.R.Forst. & G.Forst.","86","8.552748","0.573484","0.06184","0.003537"
"Lupinus arboreus Sims","27","8.511501","0.745481","0.143468","0.011265"
"Datura metel L.","16","8.853011","0.346242","0.08656","0.019009"
"Iochroma cardenasianum Hunz.","1","7.609367",NA,NA,"0.304142"
"Zizania palustris L.","96","8.966294","0.321387","0.032801","0.003168"
"Oenothera perennis L.","173","9.255924","0.268175","0.020389","0.001758"
"Cardamine diphylla (Michx.) A.W.Wood","131","9.245955","0.227806","0.019904","0.002322"
"Danthonia compressa Austin","96","9.346042","0.240849","0.024582","0.003168"
"Draba arabisans Michx.","48","9.352226","0.287719","0.041529","0.006336"
"Poa saltuensis Fernald & Wiegand","144","9.267686","0.250836","0.020903","0.002112"
"Cakile edentula var. lacustris Fernald","37","9.069708","0.107185","0.017621","0.00822"
"Cakile edentula subsp. edentula","5","9.200569","0.048658","0.021761","0.060828"
"Croton pycnocephalus Baill.","10","9.303612","0.178618","0.056484","0.030414"
"Oenothera villosa Thunb.","52","8.319371","0.680349","0.094347","0.005849"
"Hypericum kalmianum L.","37","9.053977","0.110082","0.018097","0.00822"
"Torreyochloa pallida (Torr.) Church","83","9.129777","0.407867","0.044769","0.003664"
"Draba ramosissima Desv.","10","9.081593","0.151078","0.047775","0.030414"
"Lupinus perennis L.","104","9.06294","0.120576","0.011823","0.002924"
"Primula mistassinica Michx.","170","9.046035","0.414843","0.031817","0.001789"
"Croton sutup Lundell","4","8.629343","0.236255","0.118128","0.076035"
"Houstonia canadensis Willd.","12","9.046938","0.09502","0.02743","0.025345"
"Phlox subulata L.","73","9.10113","0.153347","0.017948","0.004166"
"Lysimachia quadrifolia L.","112","9.158295","0.148567","0.014038","0.002716"
"Croton perspeciosus Croizat","7","9.023028","0.33406","0.126263","0.043449"
"Glyceria canadensis (Michx.) Trin.","255","9.340099","0.291455","0.018252","0.001193"
"Croton leptostachyus Kunth","16","9.292279","0.280493","0.070123","0.019009"
"Croton rosmarinoides Millsp.","5","8.693725","0.133962","0.05991","0.060828"
"Calamovilfa longifolia Hack.","21","8.787262","0.331829","0.072411","0.014483"
"Croton guianensis Aubl.","5","9.602828","0.365701","0.163546","0.060828"
"Muhlenbergia brevis Goodd.","41","7.823886","0.37936","0.059246","0.007418"
"Cardamine pensylvanica Muhl.","258","9.002307","0.525625","0.032724","0.001179"
"Croton cerinus Müll.Arg.","5","8.939297","0.055995","0.025042","0.060828"
"Muhlenbergia brevivaginata Swallen","9","8.540858","0.378741","0.126247","0.033794"
"Muhlenbergia appressa Goodd.","25","7.36228","0.384195","0.076839","0.012166"
"Arabis pycnocarpa M.Hopkins","94","8.69701","0.487124","0.050243","0.003236"
"Apium insulare P.S.Short","2","9.007145","0.144787","0.10238","0.152071"
"Poa lowanensis N.G.Walsh","6","7.749533","0.498636","0.203567","0.05069"
"Galium ciliare Hook.f.","26","8.958975","0.376553","0.073848","0.011698"
"Poa orthoclada N.G.Walsh","3","8.650607","0.263783","0.152295","0.101381"
"Anisopogon avenaceus R.Br.","16","8.779739","0.221971","0.055493","0.019009"
"Salvia minarum Briq.","15","9.185608","0.105434","0.027223","0.020276"
"Sinningia canescens (Mart.) Wiehler","6","9.248716","0.105782","0.043185","0.05069"
"Lupinus magnistipulatus Planchuelo & D.B.Dunn","5","9.572086","0.204589","0.091495","0.060828"
"Chamaecrista latifolia (Benth.) Rando","4","9.311082","0.125379","0.06269","0.076035"
"Brachiaria humidicola (Rendle) Schweick.","60","8.72991","0.71933","0.092865","0.005069"
"Brachiaria dictyoneura (Fig. & De Not.) Stapf","22","8.471233","0.352171","0.075083","0.013825"
"Hypericum canadense L.","140","9.307298","0.252677","0.021355","0.002172"
"Calamagrostis pickeringii A.Gray","26","9.707368","0.276758","0.054277","0.011698"
"Festuca matthewsii subsp. aquilonia Connor","2","10.165734","0.226984","0.160502","0.152071"
"Rytidosperma clavatum (Zotov) Connor & Edgar","17","9.493947","0.463739","0.112473","0.017891"
"Gingidia enysii (Kirk) J.W.Dawson","4","9.244924","0.238835","0.119418","0.076035"
"Epilobium rotundifolium G.Forst.","31","9.603339","0.378738","0.068023","0.009811"
"Poa breviglumis Hook.f.","25","9.858674","0.460362","0.092072","0.012166"
"Ehrharta thomsonii Petrie","1","9.722745",NA,NA,"0.304142"
"Cardamine debilis Banks ex DC.","40","9.75238","0.443227","0.07008","0.007604"
"Aciphylla crenulata J.B.Armstr.","13","10.109269","0.615194","0.170624","0.023396"
"Aciphylla scott-thomsonii Cockayne & Allan","12","9.607788","0.544028","0.157047","0.025345"
"Rytidosperma buchananii (Hook.f.) Connor & Edgar","19","9.538245","0.5045","0.11574","0.016007"
"Cardamine corymbosa Hook.f.","38","9.718082","0.535564","0.08688","0.008004"
"Aciphylla aurea W.R.B.Oliv.","15","9.764998","0.458937","0.118497","0.020276"
"Epilobium pubens A.Rich.","32","9.628612","0.445884","0.078822","0.009504"
"Epilobium pycnostachyum Hausskn.","14","9.867881","0.442301","0.11821","0.021724"
"Rytidosperma thomsonii (Buchanan) Connor & Edgar","12","9.407425","0.519307","0.149911","0.025345"
"Chionochloa oreophila (Petrie) Zotov","9","10.279662","0.350781","0.116927","0.033794"
"Deschampsia tenella Petrie","18","9.906116","0.421251","0.09929","0.016897"
"Poa sudicola Edgar","6","9.818612","0.595479","0.243103","0.05069"
"Chionochloa defracta Connor","3","9.933629","0.248689","0.143581","0.101381"
"Agrostis personata Edgar","23","9.85318","0.458892","0.095686","0.013224"
"Fuchsia excorticata (J.R.Forst. & G.Forst.) L.fil.","34","9.61583","0.484434","0.08308","0.008945"
"Aciphylla squarrosa J.R.Forst. & G.Forst.","18","9.628485","0.383141","0.090307","0.016897"
"Aciphylla similis Cheeseman","7","10.115054","0.509024","0.192393","0.043449"
"Chionochloa cheesemanii (Hack.) Zotov","5","9.814575","0.169059","0.075605","0.060828"
"Epilobium chlorifolium Hausskn.","20","9.996046","0.403041","0.090123","0.015207"
"Rytidosperma gracile (Hook.f.) Connor & Edgar","40","9.710229","0.499164","0.078925","0.007604"
"Aciphylla pinnatifida Petrie","3","9.954933","0.363363","0.209788","0.101381"
"Fuchsia colensoi Hook.fil.","14","9.467006","0.31319","0.083704","0.021724"
"Anisotome aromatica Hook.fil.","16","9.682288","0.5865","0.146625","0.019009"
"Chaerophyllum novae-zelandiae K.F.Chung","10","9.309671","0.464974","0.147038","0.030414"
"Festuca luciarum Connor","1","9.829249",NA,NA,"0.304142"
"Chionochloa pallens Zotov","8","10.168383","0.160811","0.056855","0.038018"
"Chionochloa teretifolia (Petrie) Zotov","2","10.043887","0.012013","0.008494","0.152071"
"Aciphylla monroi Hook.fil.","11","10.073641","0.321359","0.096893","0.027649"
"Epilobium macropus Hook.","11","10.02045","0.51216","0.154422","0.027649"
"Lepidium sisymbrioides Hook.f.","4","9.035797","0.191078","0.095539","0.076035"
"Chionochloa crassiuscula (Kirk) Zotov","5","10.19848","0.366","0.16368","0.060828"
"Aciphylla kirkii Buchanan","1","10.211671",NA,NA,"0.304142"
"Lepidium crassum Heenan & de Lange","1","8.488794",NA,NA,"0.304142"
"Rytidosperma pumilum (Kirk) Connor & Edgar","11","9.883534","0.405184","0.122168","0.027649"
"Trisetum youngii Hook.f.","8","10.023642","0.43012","0.15207","0.038018"
"Gingidia montana (J.R.Forst. & G.Forst.) J.W.Dawson","17","9.69128","0.555583","0.134749","0.017891"
"Aciphylla congesta Cheeseman","3","10.419807","0.173754","0.100317","0.101381"
"Poa subvestita (Hack.) Edgar","8","10.217638","0.22212","0.078531","0.038018"
