"species","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Nicotiana goodspeedii Wheeler","77","7.165306","0.485912","0.055375","0.00395"
"Dichelachne crinita (L.f.) Hook.f.","134","8.616486","0.587499","0.050752","0.00227"
"Aristida latifolia Domin","234","7.581503","0.605635","0.039592","0.0013"
"Panicum laevinode Lindl.","240","7.33984","0.624572","0.040316","0.001267"
"Poa labillardierei Steud.","121","8.42796","0.597242","0.054295","0.002514"
"Solanum pseudocapsicum L.","417","8.837411","0.567412","0.027786","0.000729"
"Solanum capsicastrum Link ex Schauer","12","8.74915","0.799501","0.230796","0.025345"
"Rytidosperma semiannulare (Labill.) Connor & Edgar","58","8.617273","0.590554","0.077544","0.005244"
"Solanum esuriale Lindl.","234","7.310571","0.620794","0.040583","0.0013"
"Bothriochloa ewartiana (Domin) C.E.Hubb.","212","7.43933","0.629102","0.043207","0.001435"
"Nicotiana maritima Wheeler","19","7.594512","0.427917","0.098171","0.016007"
"Hypericum gramineum G.Forst.","305","8.190212","0.844428","0.048352","0.000997"
"Poa clelandii Vickery","48","8.564126","0.639813","0.092349","0.006336"
"Chloris truncata R.Br.","181","7.678804","0.672341","0.049975","0.00168"
"Solanum nummularium S.Moore","52","7.003846","0.30291","0.042006","0.005849"
"Solanum aviculare G.Forst.","122","8.812834","0.702219","0.063576","0.002493"
"Vulpia myuros (L.) C.C.Gmel.","729","8.560876","0.79333","0.029383","0.000417"
"Solanum echinatum R.Br.","65","8.049739","0.455393","0.056485","0.004679"
"Hainardia cylindrica (Willd.) Greuter","176","8.254239","0.519134","0.039131","0.001728"
"Rytidosperma geniculatum (J.M.Black) Connor & Edgar","35","8.357779","0.339941","0.057461","0.00869"
"Rytidosperma fulvum (Vickery) A.M.Humphreys & H.P.Linder","74","8.180081","0.445933","0.051839","0.00411"
"Iseilema membranaceum (Lindl.) Domin","224","7.203803","0.577531","0.038588","0.001358"
"Panicum paludosum Roxb.","60","9.090989","0.672769","0.086854","0.005069"
"Solanum curvicuspe Domin","4","8.899381","0.356635","0.178317","0.076035"
"Solanum brownii Dunal","24","8.529866","0.546861","0.111628","0.012673"
"Triodia basedowii E.Pritz.","172","6.773751","0.343945","0.026226","0.001768"
"Solanum linnaeanum Hepper & P.-M.L.Jaeger","131","8.292317","0.640525","0.055963","0.002322"
"Bothriochloa macra (Steud.) S.T.Blake","91","8.087661","0.660685","0.069259","0.003342"
"Distichlis distichophylla (Labill.) Fassett","58","8.121946","0.669152","0.087864","0.005244"
"Rytidosperma nivicola (Vickery) Connor & Edgar","10","9.405824","0.597856","0.189059","0.030414"
"Triraphis mollis R.Br.","282","7.083886","0.62483","0.037208","0.001079"
"Lepidium pseudohyssopifolium Hewson","63","8.009476","0.566166","0.07133","0.004828"
"Solanum mauritianum Scop.","220","9.027457","0.574448","0.038729","0.001382"
"Enneapogon cylindricus N.T.Burb.","156","6.79034","0.399451","0.031982","0.00195"
"Enteropogon ramosus B.K.Simon","242","7.190554","0.603161","0.038773","0.001257"
"Eragrostis parviflora (R.Br.) Trin.","241","7.59036","0.723264","0.04659","0.001262"
"Rytidosperma duttonianum (Cashmore) Connor & Edgar","45","8.138678","0.380251","0.056684","0.006759"
"Solanum linearifolium Geras. ex Symon","38","8.616332","0.369859","0.059999","0.008004"
"Sporobolus virginicus (L.) Kunth","399","8.308503","1.011792","0.050653","0.00076"
"Triodia scariosa N.T.Burb.","146","7.338006","0.606015","0.050154","0.002083"
"Aristida behriana F.Muell.","56","7.864144","0.42085","0.056238","0.005431"
"Solanum triflorum Nutt.","355","7.938861","0.609106","0.032328","0.000857"
"Triodia irritans R.Br.","71","7.136518","0.504255","0.059844","0.004284"
"Solanum capsiciforme (Domin) Baylis","30","7.498463","0.320964","0.0586","0.010138"
"Arthraxon hispidus (Thunb.) Makino","227","9.119313","0.688849","0.045721","0.00134"
"Nicotiana excelsior (J.M.Black) J.M.Black","26","6.880321","0.435532","0.085415","0.011698"
"Diplotaxis muralis (L.) DC.","210","8.501267","0.688731","0.047527","0.001448"
"Amphipogon strictus R.Br.","78","8.036422","0.68438","0.077491","0.003899"
"Solanum vicinum A.R.Bean","12","8.945076","0.243479","0.070286","0.025345"
"Aristida inaequiglumis Domin","173","7.37527","0.544316","0.041384","0.001758"
"Panicum decompositum R.Br.","278","7.656656","0.687082","0.041208","0.001094"
"Solanum laciniatum Aiton","109","8.761762","0.541409","0.051858","0.00279"
"Lycium australe F.Muell.","118","7.035498","0.416527","0.038344","0.002577"
"Rytidosperma carphoides (F.Muell. ex Benth.) Connor & Edgar","45","8.263696","0.32699","0.048745","0.006759"
"Zygochloa paradoxa (R.Br.) S.T.Blake","83","6.595755","0.430804","0.047287","0.003664"
"Solanum dioicum W.Fitzg.","56","7.859131","0.519514","0.069423","0.005431"
"Rytidosperma pilosum (R.Br.) Connor & Edgar","90","8.506102","0.571882","0.060282","0.003379"
"Solanum gabrielae Domin","18","7.007297","0.288775","0.068065","0.016897"
"Elytrophorus spicatus (Willd.) A.Camus","244","7.669028","0.710644","0.045494","0.001246"
"Rytidosperma auriculatum (J.M.Black) Connor & Edgar","44","8.113129","0.433959","0.065422","0.006912"
"Rytidosperma laeve (Vickery) Connor & Edgar","61","8.421837","0.733087","0.093862","0.004986"
"Dichelachne micrantha (Cav.) Domin","104","8.575246","0.498273","0.04886","0.002924"
"Solanum cinereum R.Br.","48","8.268174","0.45525","0.06571","0.006336"
"Dactyloctenium radulans (R.Br.) P.Beauv.","383","7.342601","0.670172","0.034244","0.000794"
"Gingidia harveyana (F.Muell.) J.W.Dawson","8","9.086967","0.389437","0.137687","0.038018"
"Epilobium gunnianum Hausskn.","39","9.178026","0.500042","0.080071","0.007799"
"Panicum queenslandicum Domin","75","8.004679","0.360118","0.041583","0.004055"
"Monachather paradoxus Steud.","184","7.006427","0.446746","0.032935","0.001653"
"Rytidosperma longifolium (R.Br.) Connor & Edgar","58","8.576866","0.385463","0.050614","0.005244"
"Solanum vescum F.Muell.","54","8.754313","0.421362","0.05734","0.005632"
"Duboisia hopwoodii (F.Muell.) F.Muell.","171","6.922847","0.303037","0.023174","0.001779"
"Astrebla elymoides F.Muell. ex F.M.Bailey","124","7.503209","0.468808","0.0421","0.002453"
"Sporobolus australasicus Domin","199","7.505177","0.570738","0.040459","0.001528"
"Triodia rigidissima (Pilg.) Lazarides","22","6.96965","0.27998","0.059692","0.013825"
"Solanum prinophyllum Dunal","33","8.781208","0.337717","0.058789","0.009216"
"Vulpia bromoides (L.) Gray","548","8.558688","0.832258","0.035552","0.000555"
"Spinifex sericeus R.Br.","54","8.723586","0.467701","0.063646","0.005632"
"Paspalidium basicladum Hughes","116","6.895537","0.331265","0.030757","0.002622"
"Vulpia ciliata Dumort.","164","8.33529","0.491278","0.038362","0.001855"
