"species","n_temp","mean_temp","se_temp","within_sp_var_temp","life_form"
"Linaria hirta (L.) Moench",37,5.642934,0.000819,1e-06,"annual"
"Linaria huteri Lange",2,5.639599,0,2.7e-05,"annual"
"Linaria iconia Boiss. & Heldr.",2,5.647917,0.000881,2.7e-05,"perennial"
"Linaria imzica Gómiz",1,5.651612,NA,5.4e-05,"no_life_form_on_database"
"Linaria incarnata (Vent.) Spreng.",73,5.634621,0.000975,1e-06,"annual"
"Linaria incompleta Kuprian.",12,5.643584,0.001043,5e-06,"perennial"
"Linaria intricata Coincy",2,5.644562,0.001415,2.7e-05,"annual"
"Linaria iranica Hamdi & Assadi",NA,NA,NA,NA,"annual"
"Linaria japonica Miq.",51,5.628796,0.000727,1e-06,"perennial"
"Linaria joppensis Bornm.",1,5.653015,NA,5.4e-05,"annual"
"Linaria karajensis Hamdi & Assadi",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria kavirensis Hamdi & Assadi",NA,NA,NA,NA,"annual"
"Linaria khalkhalensis Hamdi & Assadi",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria khorasanensis Hamdi & Assadi",1,5.651612,NA,5.4e-05,"perennial"
"Linaria kurdica Boiss. & Hohen.",12,5.647148,0.001025,5e-06,"perennial"
"Linaria kurdica subsp. pycnophylla (Boiss. & Balansa) P.H.Davis",NA,NA,NA,NA,"perennial"
"Linaria latifolia Desf.",11,5.645899,0.001629,5e-06,"annual"
"Linaria laxiflora Coss. ex Willk. & Lange",NA,NA,NA,NA,"no_life_form_on_database"
"Linaria leptoceras Kuprian.",NA,NA,NA,NA,"perennial"
"Linaria lilacina Lange",4,5.645083,0.002662,1.4e-05,"no_life_form_on_database"
"Linaria lineolata Boiss. & Kotschy",3,5.648681,0.000423,1.8e-05,"perennial"
"Linaria loeselii Schweigg.",6,5.626052,0.001944,9e-06,"perennial"
"Linaria macroura Link, 1822",NA,NA,NA,NA,"perennial"
