"","Group.1","Group.2","rates","alpha","sigma.sq","theta","expected_mean","expected_var"
"19","Hypericum","annual",0.0882819804357052,0.510925746166251,0.259707339069871,0.917596199912201,0.924650198001631,0.249005967664912
"20","Lepidieae","annual",0.223178063413473,13.3117023646565,9.95676982978548,0.23365703635148,0.233968716473095,0.376649084143433
"21","Lupinus","annual",0.0308970931518811,0.0315071255657458,0.0874067944468998,0.362529607828216,0.406675937101747,0.76877484173031
"22","Lysimachieae","annual",0.0446518997933612,0.129779725377548,0.0274590472207378,0.66690291343473,0.733955965837452,0.105702288299459
"23","Onagraceae","annual",0.0962999892683876,0.0188862581704806,0.223062281427853,1.58921686752071,0.745290518993208,3.00112032240933
"24","Orobanchaceae","annual",0.0470838763653347,0.131375598050205,0.1427233575038,0.525345454142493,0.519037495900437,0.552092517856216
"25","Panicoideae","annual",0.029000308837246,3.39489086117952,2.5118925583918,0.570609727798328,0.572042689634018,0.369951907779101
"26","Polemoniaceae","annual",0.0116743897925995,0.0312008826601602,0.0379243415086053,0.144005962128444,0.149553359051227,0.588978466764908
"27","Pooideae","annual",0.0202751984958071,2.30786750113518,1.82053274809479,0.386295313682091,0.394515178412661,0.394451218741941
"28","Primulaceae","annual",0.030310709659252,0.261842490863431,0.152206146064171,0.629815480112385,0.645491538975976,0.290905943712615
"29","Rubieae","annual",0.0437942002588628,1.95295749650604,0.742082454301059,0.419981327027749,0.433027124290613,0.189891966787979
"30","Salvia","annual",0.0242444775176961,0.0498327335478604,0.0426563206143185,0.227571939540441,0.327989685634028,0.643200784097962
"31","Solanaceae","annual",0.0212214957155807,0.0890991419459161,0.213449543791383,0.47464642933789,0.491858384000407,1.27117779957747
"32","Spermacoceae","annual",0.0361469853332448,0.0333083439576363,0.0316515373380208,0.662721826212998,0.658084069986995,0.467021921662327
"33","Thelypodieae","annual",0.0282051254079386,0.0824906113462157,0.161480587786201,0.271643843555605,0.250408511516914,0.951794175053197
"34","Alysseae","perennial",0.0259828041275829,0.381856370348159,0.190555515389552,0.412485318008097,0.410494993167404,0.252079933266626
"35","Antirrhineae","perennial",0.0130501496904234,0.0559246670984821,0.0978656620087878,0.331711536358089,0.279923553610408,0.791991619901556
"36","Apioideae","perennial",0.0133969681346034,0.0863932114329668,0.0900081242435496,0.561048359911039,0.558539938213385,0.520839723461884
"37","Arabideae","perennial",0.945449630152734,13.2761942813686,6.85569163309269,0.671057273852786,0.670838945259585,0.259417046440456
"38","Balsamiaceae","perennial",0.0133279465173793,0.444776598200809,0.11650805225291,1.28510119399123,1.26085941683982,0.133497885495938
"39","Brassiceae","perennial",0.0199619596636835,4.47560604641973,5.85491488450148,0.296617682316101,0.297561529543732,0.650665649949222
"40","Cardamineae","perennial",0.0367420921533102,7.88857953493748,2.48887784892005,0.923471711431984,0.923305955696328,0.157192755924743
"41","Cardueae","perennial",0.015941759968721,0.120697293571046,0.141797152727889,0.403435402668844,0.403435420761425,0.521369400949097
"42","CES","perennial",0.0310979764111115,0.215275400846596,0.177119834712065,0.237023768799224,0.236971274803451,0.453702779581552
"43","Chamaecrista","perennial",0.013084120237272,0.0103708388494772,0.00718498170169079,0.84640333807465,0.846378066608069,0.184200532566944
"45","Croton","perennial",0.00520383347711311,0.0901560198184865,0.0458414943157757,0.770686801107529,0.766316645513891,0.413151989067165
"46","Erysimeae","perennial",0.0262964224360298,0.468292822121699,0.254081203764265,0.382600604916864,0.382582910829306,0.275792756312508
"47","Euclidieae","perennial",0.0498515867796608,0.831705865522114,1.69564046267061,0.289778242635242,0.28108603655239,1.06286569812714
"48","Eumalvoideae","perennial",0.22596614317676,0.0658369161398632,0.113514243193065,0.367894014124034,0.366477041558347,0.885621139915123
"49","Gesneriaceae","perennial",0.00243489809279887,0.0353012930013983,0.0103029379822894,1.16120072583997,1.15773544444613,0.14694208191813
"50","Grewioideae","perennial",0.00206781601023642,0.0234099852117389,0.0191706272832821,0.84083462944473,0.810146192988961,0.414621087303756
"51","Heliophileae","perennial",0.0195447209374026,0.295429622376362,0.143748218252835,0.23146351275439,0.193600339852791,0.275388732340998
"52","Hypericum","perennial",0.0147711640689797,0.510925746166251,0.0216594058931278,0.960282642107401,0.958596735691947,0.0242078532839102
"53","Lepidieae","perennial",0.188622872490154,13.3117023646565,9.94213577675811,0.244305858079495,0.243894811242821,0.372837285870958
"54","Lupinus","perennial",0.0755504811396767,0.0315071255657458,0.123340676167634,38.354368682744,0.748606723365266,0.904233520264187
"55","Lysimachieae","perennial",0.0265825077614717,0.129779725377548,0.0265057522060856,0.831901097647586,0.827143102923097,0.103079068290917
"56","Onagraceae","perennial",0.0802799680272074,0.0188862581704806,0.100159705666793,0.912579063188803,0.664380183237517,2.27520611679096
"57","Orobanchaceae","perennial",0.0445391898972092,0.131375598050205,0.143916316200051,0.494024346907423,0.499053129628828,0.566626280156971
"58","Panicoideae","perennial",0.0400882230542661,3.39489086117952,2.51189255802065,0.655936387504908,0.655223537592853,0.369951907509666
"59","Polemoniaceae","perennial",0.0116233625142456,0.0312008826601602,0.0328965163809565,1.29437832574624,0.343902644606614,0.541842844268549
"60","Pooideae","perennial",0.0274995606688245,2.30786750113518,1.82053274813703,0.596970623964661,0.596087582645915,0.394451218779777
"61","Primulaceae","perennial",0.0102417305985784,0.261842490863431,0.159692484402915,0.690254381706326,0.689418899130799,0.306776855505243
"62","Rubieae","perennial",0.0513080823432273,1.95295749650604,0.742471674777728,0.638646918250772,0.635982944102734,0.190183475797773
"63","Salvia","perennial",0.0133104463982421,0.0498327335478604,0.0635423179874045,0.355941964044867,0.355941422412239,0.612471281504157
"64","Solanaceae","perennial",0.0145260646711837,0.0890991419459161,0.213765958002899,0.512867191881954,0.512411556790098,1.19297075591641
"65","Spermacoceae","perennial",0.0118342547018475,0.0333083439576363,0.0357406613071321,0.59469924790465,0.631382273397297,0.49608884810118
"66","Thelypodieae","perennial",0.0798619340270389,0.0824906113462157,0.125289384395001,0.2226829909276,0.226259424729785,0.811372633011163
