"","Group.1","Group.2","rates","alpha","sigma.sq","theta","expected_mean","expected_var"
"40","Cardamineae","perennial",0.0389015762527393,14.9016983958969,0.0408305726430315,-6.48410253595455,-6.48374568127531,0.00136872081421886
"41","Cardueae","perennial",0.0368325243853789,0.0474513757330319,0.000113182227013857,-2.84612503396579,-0.395765981347211,0.00104146458858565
"42","CES","perennial",0.0289770311682834,0.000610352932806658,3.20680404433334e-05,-8.09279164872595,-8.09543441152573,0.000990177708099459
"43","Chamaecrista","perennial",0.00983693912207277,0.0637740416157685,1.32070969345197e-05,17.3955179824769,17.3991578859385,0.000107902209595916
"45","Croton","perennial",0.0106397339789794,0.0820085786928779,4.48477109262938e-05,15.6573085291663,15.2745649692231,0.000286311273515478
"46","Erysimeae","perennial",0.0261027317524532,0.13095500012227,0.000234341762036576,-5.42849712169067,-5.42850682439342,0.000973657328507584
"47","Euclidieae","perennial",0.0453507270439701,0.784840522146949,0.00170168157628466,-16.337682619013,-15.8285859624543,0.00113394558314801
"48","Eumalvoideae","perennial",0.0145383073813895,0.0400512011946004,4.36408394792221e-05,9.67899704521341,9.67982438921314,0.000543404434395993
"49","Gesneriaceae","perennial",0.00320575243416339,1.7956262037323e-05,1.73113643217536e-05,18.2306077853996,11.3302852585567,0.00124577093229098
"50","Grewioideae","perennial",0.00187511105241708,0.0311620812441212,2.81909810220065e-05,14.7230280283151,14.6810009594273,0.000448353236462659
"51","Heliophileae","perennial",0.0230288440335954,0.72214291746451,9.4049179176643e-05,4.03422464701202,4.17033370769622,6.92294777224764e-05
"52","Hypericum","perennial",0.0186907463079943,0.388135081793602,0.000372868622172604,3.41154957973009,3.42875814942403,0.000522353186430731
"53","Lepidieae","perennial",0.205819169070425,0.156440811318201,0.000337983671815197,2.0631166573325,1.82117734825857,0.00162877483842997
"54","Lupinus","perennial",0.0797137814992992,8.05147377593639e-05,0.000204858018933846,2.92213575620156,2.92224044368163,0.00116014131232579
"55","Lysimachieae","perennial",0.0264757775697163,0.018458619873681,7.57330175213536e-05,-0.26818437621688,-0.265388158004839,0.00142268398477846
"56","Onagraceae","perennial",0.00338221691687481,0.327718624180662,0.000566952200398596,2.55685636835028,2.55235805629394,0.000864296217338588
"57","Orobanchaceae","perennial",0.0442584639293691,0.305942900219621,0.000595155422281695,-3.2859605346024,-3.01323833922021,0.000974971382318625
"58","Panicoideae","perennial",0.04004536602026,0.89663703807266,0.000813182269650715,11.8072230971065,11.8068682987955,0.000475842891027671
"59","Polemoniaceae","perennial",0.0108181171762499,0.0372412328647872,0.000106750230949465,0.226432041459873,0.158174613473989,0.00127745683939611
"60","Pooideae","perennial",0.033061405999147,7.6006083187614,0.0186809048693579,-6.33910505855533,-6.3288309330373,0.00122821734721737
"61","Primulaceae","perennial",0.010666588352482,1.80320897211718,0.00261847745574985,-8.71847459344673,-8.71847459538407,0.000729346419553601
"62","Rubieae","perennial",0.0106367527964708,14.8097802319351,0.0156285127551279,-2.26682263670972,-2.25820812087892,0.00052696245617383
"63","Salvia","perennial",0.0131533832741101,0.0885072827199252,7.72155418827464e-05,3.92992893390999,3.93018932626023,0.000431931065539327
"64","Solanaceae","perennial",0.0137274494634521,0.115933271490112,0.000156323638092676,9.14048730433535,9.12695341136032,0.0006736001653666
"65","Spermacoceae","perennial",0.0135556224361753,0.13939209788917,0.000135894423102932,8.69078006789698,9.93863497278232,0.000492595771331348
"66","Thelypodieae","perennial",0.0870151729354227,0.760675283720626,0.000216971392219467,-3.80617555292582,-3.76371575798112,0.000147944928594714
