"species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp"
"Linaria tenuis (Viv.) Spreng.","5","5.638956","0.013696","0.006125","1.1e-05"
"Chaenorhinum tenellum (Cav.) Lange","1","5.640665",NA,NA,"5.4e-05"
"Antirrhinum pertegasii Rothm.","3","5.639002","0.003699","0.002136","1.8e-05"
"Linaria filicaulis Boiss. ex Leresche & Levier","3","5.636984","0.004256","0.002457","1.8e-05"
"Cymbalaria hepaticifolia (Poir.) Wettst.","4","5.620394","0.004214","0.002107","1.4e-05"
"Linaria depauperata Leresche ex Lange","6","5.640055","0.006587","0.002689","9e-06"
"Linaria cavanillesii Chav.","5","5.638159","0.00664","0.002969","1.1e-05"
"Linaria clementei Haens. ex Boiss.","3","5.637922","0.007287","0.004207","1.8e-05"
"Antirrhinum molle L.","9","5.642548","0.004378","0.001459","6e-06"
"Antirrhinum australe Rothm.","15","5.644472","0.006586","0.0017","4e-06"
"Linaria nevadensis (Boiss.) Boiss. & Reut.","2","5.647036","0.000499","0.000353","2.7e-05"
"Antirrhinum microphyllum Rothm.","1","5.644563",NA,NA,"5.4e-05"
"Misopates chrysothales (Font Quer) Rothm.","3","5.637523","0.013476","0.00778","1.8e-05"
"Antirrhinum lopesianum Rothm.","2","5.643147","0.000501","0.000354","2.7e-05"
"Antirrhinum valentinum Font Quer","5","5.633444","0.007592","0.003395","1.1e-05"
"Anarrhinum duriminium (Brot.) Pers.","8","5.635346","0.007446","0.002633","7e-06"
"Linaria faucicola Leresche & Levier","3","5.640421","0.004692","0.002709","1.8e-05"
"Anarrhinum longipedicellatum R.Fern.","4","5.638443","0.00168","0.00084","1.4e-05"
"Linaria huteri Lange","2","5.639599","0","0","2.7e-05"
"Linaria diffusa Hoffmanns. & Link","5","5.639515","0.005757","0.002575","1.1e-05"
"Linaria algarviana Chav.","1","5.618406",NA,NA,"5.4e-05"
"Antirrhinum linkianum Boiss. & Reut.","4","5.631649","0.005327","0.002664","1.4e-05"
"Linaria popovii Kuprian.","6","5.646857","0.002262","0.000923","9e-06"
"Linaria bubanii Font Quer","2","5.641552","0.001254","0.000887","2.7e-05"
"Mabrya coccinea (I.M.Johnst.) Elisens","2","5.652137","0.002234","0.00158","2.7e-05"
"Neogaerrhinum strictum (Hook. & Arn.) Rothm.","2","5.650028","0.002736","0.001935","2.7e-05"
"Chaenorhinum crassifolium (Cav.) Kostel.","14","5.639362","0.008561","0.002288","4e-06"
"Antirrhinum tortuosum Bosc ex Vent.","11","5.637342","0.007516","0.002266","5e-06"
"Linaria bordiana Santa & Simonn.","7","5.636356","0.009642","0.003644","8e-06"
"Sairocarpus watsonii (Vasey & Rose) D.A.Sutton","5","5.64284","0.007788","0.003483","1.1e-05"
"Galvezia fruticosa J.F.Gmel.","9","5.630263","0.005281","0.00176","6e-06"
