"species","temp","lon","lat"
"Linaria vulgaris Mill.",78,39.29646,50.94806
"Linaria vulgaris Mill.",76,23.800807,48.438062
"Linaria vulgaris Mill.",79,28.112984,47.322767
"Linaria vulgaris Mill.",76,41.562722,52.812312
"Linaria vulgaris Mill.",78,27.912827,47.761945
"Linaria vulgaris Mill.",62,34.183556,63.926802
"Linaria vulgaris Mill.",81,56.085641,53.649457
"Linaria vulgaris Mill.",64,43.382136,64.663419
"Linaria vulgaris Mill.",64,43.270833,64.555278
"Linaria vulgaris Mill.",65,33.90225,58.839044
"Linaria vulgaris Mill.",79,41.712871,51.241958
"Linaria vulgaris Mill.",76,35.969751,50.616354
"Linaria vulgaris Mill.",70,40.036174,55.37678
"Linaria vulgaris Mill.",78,40.278382,51.114237
"Linaria vulgaris Mill.",74,22.391338,48.696853
"Linaria vulgaris Mill.",69,36.403542,55.206696
"Linaria vulgaris Mill.",70,35.354006,54.254625
"Linaria vulgaris Mill.",76,37.646726,51.190443
"Linaria vulgaris Mill.",67,27.559633,55.378623
"Linaria vulgaris Mill.",70,37.55,54.866667
"Linaria vulgaris Mill.",71,36.074076,54.516325
"Linaria vulgaris Mill.",66,32.316166,55.540422
"Linaria vulgaris Mill.",66,31.633333,55.45
"Linaria vulgaris Mill.",78,28.956555,47.749996
"Linaria vulgaris Mill.",63,32.374295,64.222065
"Linaria vulgaris Mill.",27,23.061333,58.569864
"Linaria vulgaris Mill.",79,16.4519,48.2289
"Linaria vulgaris Mill.",36,5.72192138045844,58.7629627437714
"Linaria vulgaris Mill.",65,10.36,43.70306
"Linaria vulgaris Mill.",58,10.98778,42.755
"Linaria vulgaris Mill.",51,141.3351,43.08925
"Linaria vulgaris Mill.",71,135,34.566667
"Linaria vulgaris Mill.",44,141.356111,40.6125
"Linaria vulgaris Mill.",41,140.993,43.168
"Linaria vulgaris Mill.",71,138.4375,36.309583
"Linaria vulgaris Mill.",60,140.3491,38.21486
"Linaria vulgaris Mill.",68,11.067778,51.821945
"Linaria vulgaris Mill.",62,11.758,61.8886
"Linaria vulgaris Mill.",75,17.21722,49.685
"Linaria vulgaris Mill.",76,17.27056,48.96722
"Linaria vulgaris Mill.",45,13.112944,55.636753
"Linaria vulgaris Mill.",68,14.171525,59.711033
"Linaria vulgaris Mill.",92,21.966391,40.84306
"Linaria vulgaris Mill.",88,20.95528,39.676392
"Linaria vulgaris Mill.",69,12.501278,51.599834
"Linaria vulgaris Mill.",68,10.8525,51.65889
"Linaria vulgaris Mill.",36,11.434089,58.271848
"Linaria vulgaris Mill.",69,9.187167,50.64555
"Linaria vulgaris Mill.",71,9.8,50.02
"Linaria vulgaris Mill.",69,8.673889,50.584722
"Linaria vulgaris Mill.",45,15.63325,66.87726
"Linaria vulgaris Mill.",68,10.7639,59.9607
"Linaria vulgaris Mill.",38,8.0339,58.151
"Linaria vulgaris Mill.",88,1.33975,42.334972
"Linaria vulgaris Mill.",62,1.72,41.28
"Linaria vulgaris Mill.",81,-1.68,42.96
"Linaria vulgaris Mill.",86,0.74,42.75
"Linaria vulgaris Mill.",70,-1.27,43.610001
"Linaria vulgaris Mill.",74,2.12528,48.35972
"Linaria vulgaris Mill.",63,26.25,58.95
"Linaria vulgaris Mill.",64,27.75,57.95
"Linaria vulgaris Mill.",56,25.916667,59.25
"Linaria vulgaris Mill.",42,24.7094,59.4099
"Linaria vulgaris Mill.",53,28.083333,59.35
"Linaria vulgaris Mill.",37,23.550895,58.55352
"Linaria vulgaris Mill.",82,18.62472,47.84361
"Linaria vulgaris Mill.",77,19.6,48.43333
"Linaria vulgaris Mill.",74,15.71556,49.575
"Linaria vulgaris Mill.",75,18.10556,48.9625
"Linaria vulgaris Mill.",74,20.31306,49.22667
"Linaria vulgaris Mill.",75,13.683333,50.05
"Linaria vulgaris Mill.",76,21.28333,48.72083
"Linaria vulgaris Mill.",80,17.10222,48.12389
"Linaria vulgaris Mill.",76,14.28778,49.9275
"Linaria vulgaris Mill.",75,16.33444,50.58806
"Linaria vulgaris Mill.",84,12.81,47.29
"Linaria vulgaris Mill.",80,12.92,47.98
"Linaria vulgaris Mill.",82,13.04,47.8
"Linaria vulgaris Mill.",84,11.71,47.35
"Linaria vulgaris Mill.",83,14.411936,46.299655
"Linaria vulgaris Mill.",84,13.06,47.31
"Linaria vulgaris Mill.",77,14.27,48.5
"Linaria vulgaris Mill.",75,15.86667,50.66667
"Linaria vulgaris Mill.",76,14.695,48.60167
"Linaria vulgaris Mill.",55,37.702972,44.769639
"Linaria vulgaris Mill.",74,63.525892,60.855177
"Linaria vulgaris Mill.",72,69.04907,60.97158
"Linaria vulgaris Mill.",70,12.373352,51.331482
"Linaria vulgaris Mill.",78,8.93442,47.59354
"Linaria vulgaris Mill.",77,8.39135,46.96962
"Linaria vulgaris Mill.",77,7.60456,47.51313
"Linaria vulgaris Mill.",79,8.72379,46.23233
"Linaria vulgaris Mill.",81,7.344167,46.183333
"Linaria vulgaris Mill.",76,7.00792,47.4225
"Linaria vulgaris Mill.",78,9.0496,47.00724
"Linaria vulgaris Mill.",73,73.42453,61.24738
"Linaria vulgaris Mill.",72,74.05491,60.50823
"Linaria vulgaris Mill.",47,-2.702868,54.654503
"Linaria vulgaris Mill.",95,84,51.8
"Linaria vulgaris Mill.",95,84.183333,52.033333
"Linaria vulgaris Mill.",83,83.083333,54.716667
"Linaria vulgaris Mill.",89,81.4,53.55
"Linaria vulgaris Mill.",71,41.970503,55.573429
"Linaria vulgaris Mill.",35,32.125095,69.746198
