"species","n_temp","mean_temp","sd_temp","se_temp","within_sp_var_temp"
"Asarina procumbens Mill.","7","7.442857","1.56403","0.591148","0.609601"
"Antirrhinum latifolium Mill.","24","6.683333","1.81651","0.370794","0.1778"
"Linaria thymifolia (Vahl) DC.","4","7.275","1.459166","0.729583","1.066802"
"Chaenorhinum origanifolium (L.) Kostel.","42","7.583333","2.103878","0.324635","0.1016"
"Epixiphium wislizenii (Engelm. ex A.Gray) Munz","13","12","0.51316","0.142325","0.328247"
"Maurandella antirrhiniflora (Humb. & Bonpl. ex Willd.) Rothm.","61","11.87541","1.005428","0.128732","0.069954"
"Holmgrenanthe petrophila (Coville & C.V.Morton) Elisens","1","11.7",NA,NA,"4.267209"
"Linaria amethystea (Vent.) Hoffmanns. & Link","44","8.890909","1.62707","0.24529","0.096982"
"Linaria tristis subsp. mesatlantica D.A.Sutton","4","11.325","0.377492","0.188746","1.066802"
"Kickxia aegyptiaca (L.) Nábelek","12","10.266667","3.173851","0.916212","0.355601"
"Linaria ricardoi Cout.","1","8.7",NA,NA,"4.267209"
"Antirrhinum onubense (Fern.Casas) Fern.Casas","3","8.466667","2.050203","1.183685","1.422403"
"Gambelia juncea (Benth.) D.A.Sutton","22","7.909091","2.393226","0.510237","0.193964"
"Chaenorhinum (DC.) Rchb.","70","8.415714","2.277784","0.272247","0.06096"
"Linaria cretacea Fisch. ex Spreng.","15","8.213333","0.406846","0.105047","0.284481"
"Linaria incompleta Kuprian.","12","9.325","1.020806","0.294681","0.355601"
"Cymbalaria microcalyx subsp. minor (Cufod.) Greuter","1","7",NA,NA,"4.267209"
"Linaria altaica Fisch. ex Ledeb.","14","9.5","0.724303","0.193578","0.304801"
"Cymbalaria pubescens (J. & C.Presl) Cufod.","4","3.3","1.812917","0.906458","1.066802"
"Linaria reflexa (L.) Desf.","20","7.43","2.867073","0.641097","0.21336"
"Linaria multicaulis (L.) Mill.","5","8.98","2.235397","0.9997","0.853442"
"Cymbalaria glutinosa Bigazzi & Raffaelli","2","5.65","1.626346","1.15","2.133604"
"Nanorrhinum ramosissimum (Wall.) Betsche","3","9.533333","1.159023","0.669162","1.422403"
"Linaria ventricosa Coss. & Balansa","11","10.363636","2.444288","0.736981","0.387928"
"Linaria bipartita (Vent.) Willd.","39","6.653846","1.857396","0.297421","0.109416"
"Nanorrhinum heterophyllum (Schousb.) Ghebr.","16","7.85625","3.919348","0.979837","0.266701"
"Nanorrhinum asparagoides (Schweinf.) Ghebr.","4","9.875","0.917878","0.458939","1.066802"
"Schweinfurthia papilionacea (L.) Boiss.","22","11.522727","2.824541","0.602194","0.193964"
"Schweinfurthia spinosa Mill.","4","8.75","2.683903","1.341952","1.066802"
"Linaria ficalhoana Rouy","1","5.8",NA,NA,"4.267209"
"Linaria oblongifolia (Boiss.) Boiss. & Reut.","12","8.966667","1.588786","0.458643","0.355601"
"Linaria anticaria Boiss. & Reut.","8","9.7125","0.719995","0.254557","0.533401"
"Linaria polygalifolia Hoffmanns. & Link","6","4.516667","1.944651","0.7939","0.711201"
"Linaria munbyana Boiss. & Reut.","12","7","1.889204","0.545366","0.355601"
"Linaria atlantica Boiss. & Reut.","4","6.175","1.929378","0.964689","1.066802"
"Antirrhinum meonanthum Hoffmanns. & Link","22","8.595455","1.295589","0.276221","0.193964"
"Maurandya scandens (Cav.) Pers.","31","9.490323","2.100056","0.377181","0.137652"
"Maurandya barclaiana Lindl.","25","10.248","1.143139","0.228628","0.170688"
"Lophospermum purpusii (Brandegee) Rothm.","6","9.15","0.928978","0.379254","0.711201"
"Lophospermum erubescens D.Don","18","8.533333","1.561297","0.368001","0.237067"
"Rhodochiton atrosanguineum (Zucc.) Rothm.","1","8.1",NA,NA,"4.267209"
"Mabrya geniculata (Rob. & Fernald) Elisens","4","12.2","1.134313","0.567156","1.066802"
"Sairocarpus kingii (S.Watson) D.A.Sutton","5","11.86","0.230217","0.102956","0.853442"
"Linaria virgata (Poir.) Desf.","7","7.5","2.94392","1.112697","0.609601"
"Pseudorontium cyathiferum (Benth.) Rothm.","25","9.276","2.848725","0.569745","0.170688"
"Mabrya acerifolia (Pennell) Elisens","1","12.4",NA,NA,"4.267209"
"Chaenorhinum villosum (L.) Lange","20","9.57","1.455697","0.325504","0.21336"
"Sairocarpus multiflorus (Pennell) D.A.Sutton","2","8.35","1.767767","1.25","2.133604"
"Linaria kurdica Boiss. & Hohen.","12","10.333333","1.007547","0.290854","0.355601"
"Linaria haelava (Forssk.) Delile","2","12.35","1.202082","0.85","2.133604"
"Linaria armeniaca Chav.","3","9.733333","0.251661","0.145297","1.422403"
"Linaria tenuis (Viv.) Spreng.","5","8.04","3.855256","1.724123","0.853442"
"Chaenorhinum tenellum (Cav.) Lange","1","8.5",NA,NA,"4.267209"
"Antirrhinum pertegasii Rothm.","3","8.033333","1.040833","0.600925","1.422403"
"Linaria filicaulis Boiss. ex Leresche & Levier","3","7.466667","1.193035","0.688799","1.422403"
"Cymbalaria hepaticifolia (Poir.) Wettst.","4","2.85","1.161895","0.580947","1.066802"
"Linaria depauperata Leresche ex Lange","6","8.333333","1.854364","0.757041","0.711201"
"Linaria cavanillesii Chav.","5","7.8","1.862794","0.833067","0.853442"
"Linaria clementei Haens. ex Boiss.","3","7.733333","2.042874","1.179454","1.422403"
"Antirrhinum molle L.","9","9.033333","1.233896","0.411299","0.474134"
"Antirrhinum australe Rothm.","15","9.58","1.851717","0.478111","0.284481"
"Linaria nevadensis (Boiss.) Boiss. & Reut.","2","10.3","0.141421","0.1","2.133604"
"Antirrhinum microphyllum Rothm.","1","9.6",NA,NA,"4.267209"
"Misopates chrysothales (Font Quer) Rothm.","3","7.633333","3.797806","2.192664","1.422403"
"Antirrhinum lopesianum Rothm.","2","9.2","0.141421","0.1","2.133604"
"Antirrhinum valentinum Font Quer","5","6.48","2.13237","0.953625","0.853442"
"Anarrhinum duriminium (Brot.) Pers.","8","7.0125","2.084252","0.736894","0.533401"
"Linaria faucicola Leresche & Levier","3","8.433333","1.320353","0.762306","1.422403"
"Anarrhinum longipedicellatum R.Fern.","4","7.875","0.471699","0.235849","1.066802"
"Linaria huteri Lange","2","8.2","0","0","2.133604"
"Linaria diffusa Hoffmanns. & Link","5","8.18","1.616168","0.722772","0.853442"
"Linaria algarviana Chav.","1","2.3",NA,NA,"4.267209"
"Antirrhinum linkianum Boiss. & Reut.","4","5.975","1.486327","0.743163","1.066802"
"Linaria popovii Kuprian.","6","10.25","0.641093","0.261725","0.711201"
"Linaria bubanii Font Quer","2","8.75","0.353553","0.25","2.133604"
"Mabrya coccinea (I.M.Johnst.) Elisens","2","11.75","0.636396","0.45","2.133604"
"Neogaerrhinum strictum (Hook. & Arn.) Rothm.","2","11.15","0.777817","0.55","2.133604"
"Chaenorhinum crassifolium (Cav.) Kostel.","14","8.142857","2.38963","0.638655","0.304801"
"Antirrhinum tortuosum Bosc ex Vent.","11","7.572727","2.112388","0.636909","0.387928"
"Linaria bordiana Santa & Simonn.","7","7.3","2.71416","1.025856","0.609601"
"Sairocarpus watsonii (Vasey & Rose) D.A.Sutton","5","9.12","2.206128","0.98661","0.853442"
"Galvezia fruticosa J.F.Gmel.","9","5.588889","1.470072","0.490024","0.474134"
"Linaria thibetica Franch.","25","7.956","1.170498","0.2341","0.170688"
"Mabrya rosei (Munz) Elisens","1","11.7",NA,NA,"4.267209"
"Lophospermum breedlovei Elisens","2","7.45","0.494975","0.35","2.133604"
"Lophospermum turneri Elisens","1","7.8",NA,NA,"4.267209"
"Cymbalaria glutinosa subsp. brevicalcarata Bigazzi & Raffaelli","1","6.2",NA,NA,"4.267209"
"Linaria capraria Moris & De Not.","1","2.7",NA,NA,"4.267209"
"Linaria glacialis Boiss.","2","8.3","2.687006","1.9","2.133604"
"Linaria becerrae Blanca, Cueto & J.Fuentes","1","9.9",NA,NA,"4.267209"
"Linaria orbensis Carretero & Boira","1","4.4",NA,NA,"4.267209"
"Linaria tursica Valdés & Cabezudo","1","9.1",NA,NA,"4.267209"
"Lophospermum erectum (Hemsl.) Rothm.","1","12.5",NA,NA,"4.267209"
"Linaria meyeri Kuprian.","1","8.8",NA,NA,"4.267209"
"Linaria elegans Munby","1","5.2",NA,NA,"4.267209"
"Linaria tingitana Boiss. & Reut.","3","6.966667","0.404145","0.233333","1.422403"
"Linaria corifolia Desf.","9","8.955556","1.593825","0.531275","0.474134"
"Linaria multicaulis subsp. heterophylla (Desf.) D.A.Sutton","15","9.413333","2.692812","0.695281","0.284481"
"Linaria schelkownikowii Schischk.","1","9.6",NA,NA,"4.267209"
"Chaenorhinum flexuosum (Desf.) Lange","9","8.911111","3.081982","1.027327","0.474134"
"Cymbalaria fragilis (Rodr.) A.Chev.","1","1.3",NA,NA,"4.267209"
"Linaria pinifolia (Poir.) Thell.","2","7.55","0.777817","0.55","2.133604"
"Linaria decipiens Batt.","1","7.1",NA,NA,"4.267209"
"Linaria warionis Pomel","1","12",NA,NA,"4.267209"
"Cymbalaria microcalyx (Boiss.) Wettst.","12","4.108333","2.892139","0.834889","0.355601"
"Linaria polygalifolia subsp. aguillonensis (García Mart.) Castrov. & Lago","3","3.033333","1.266228","0.731057","1.422403"
"Schweinfurthia pterosperma (A.Rich.) A.Br.","4","10.125","1.652019","0.826009","1.066802"
"Cymbalaria pallida (Ten.) Wettst.","1","7",NA,NA,"4.267209"
"Linaria albifrons (Sm.) Spreng.","4","11.35","2.085665","1.042833","1.066802"
"Sairocarpus coulterianus (A.DC.) D.A.Sutton","3","11.733333","1.755942","1.013794","1.422403"
"Howelliella ovata (Eastw.) Rothm.","1","12.4",NA,NA,"4.267209"
"Sairocarpus cornutus (Benth.) D.A.Sutton","3","12.333333","0.321455","0.185592","1.422403"
"Linaria gattefossei Maire & Weiller","1","11.7",NA,NA,"4.267209"
"Antirrhinum subbaeticum Güemes, Mateu & Sánchez-Gómez","4","10.625","0.85","0.425","1.066802"
"Linaria onubensis Pau","1","8.5",NA,NA,"4.267209"
"Linaria polygalifolia subsp. lamarckii (Rouy) D.A.Sutton","1","5.7",NA,NA,"4.267209"
"Acanthorrhinum ramosissimum (Coss. & Durieu) Rothm.","2","9.35","4.313351","3.05","2.133604"
"Linaria atrofusca Rouy","1","9.5",NA,NA,"4.267209"
"Linaria almijarensis Campo & Amo","1","10.3",NA,NA,"4.267209"
"Linaria imzica Gómiz","1","11.6",NA,NA,"4.267209"
"Linaria supina var. maritima (DC.) Duby","2","6.55","0.636396","0.45","2.133604"
"Linaria baligaliensis Patzak","1","10.8",NA,NA,"4.267209"
"Sairocarpus costatus (Wiggins) D.A.Sutton","1","13.2",NA,NA,"4.267209"
"Schweinfurthia latifolia Baker","3","7.2","1.734935","1.001665","1.422403"
"Linaria flava (Poir.) Desf.","1","8.2",NA,NA,"4.267209"
"Kickxia floribunda (Boiss.) Täckh. & Boulos","2","12.95","0.777817","0.55","2.133604"
"Linaria joppensis Bornm.","1","12",NA,NA,"4.267209"
"Linaria sessilis Kuprian.","2","10.3","0.424264","0.3","2.133604"
"Linaria transiliensis Kuprian.","1","11.2",NA,NA,"4.267209"
"Linaria bordiana subsp. kralikiana (Maire) D.A.Sutton","3","5.733333","1.050397","0.606447","1.422403"
"Nanorrhinum ovatum (Benth.) Podlech & Iranshahr","6","11.233333","0.671317","0.274064","0.711201"
"Nanorrhinum cabulicum (Benth.) Podlech & Iranshahr","6","11.833333","0.760701","0.310555","0.711201"
"Linaria pyramidalis subsp. kopetdaghensis (Kuprian.) D.A.Sutton","2","11.85","0.353553","0.25","2.133604"
"Linaria striatella Kuprian.","3","11.7","0.360555","0.208167","1.422403"
"Linaria fastigiata Chav.","2","12.25","0.212132","0.15","2.133604"
"Linaria venosa Lindl.","15","11.56","1.506557","0.388991","0.284481"
"Linaria peltieri Batt.","2","10.45","1.06066","0.75","2.133604"
"Linaria unaiensis Patzak","5","11.96","0.497996","0.222711","0.853442"
"Linaria michauxii Chav.","8","12.8125","0.610474","0.215835","0.533401"
"Linaria mazandaranensis Hamdi & Assadi","1","9.9",NA,NA,"4.267209"
"Linaria khorasanensis Hamdi & Assadi","1","11.6",NA,NA,"4.267209"
"Chaenorhinum litorale (Bernh. ex Willd.) Fritsch","2","6.2","2.969848","2.1","2.133604"
"Chaenorhinum johnstonii (Stapf) Pennell","4","12.125","0.660177","0.330088","1.066802"
"Chaenorhinum tuberculatum Speta","1","11.9",NA,NA,"4.267209"
"Chaenorhinum calycinum (Banks & Sol.) P.H.Davis","1","11.1",NA,NA,"4.267209"
"Cymbalaria muelleri (Moris) A.Chev.","1","5.2",NA,NA,"4.267209"
"Nanorrhinum scoparium (Brouss. ex Spreng.) Yousefi & Zarre","2","6.85","8.414571","5.95","2.133604"
"Linaria bamianica Patzak","5","11.8","0.913783","0.408656","0.853442"
"Linaria schirvanica Fomin","2","7.05","2.333452","1.65","2.133604"
"Galvezia leucantha subsp. porphyrantha Tye & H.Jäger","1","0.6",NA,NA,"4.267209"
"Sairocarpus breweri (A.Gray) D.A.Sutton","1","11.9",NA,NA,"4.267209"
"Chaenorhinum formenterae Gand.","1","1.3",NA,NA,"4.267209"
"Linaria iconia Boiss. & Heldr.","2","10.55","0.353553","0.25","2.133604"
"Galvezia elisensii M.O.Dillon & Quip.","1","5.1",NA,NA,"4.267209"
"Galvezia lanceolata Pennell","1","7.1",NA,NA,"4.267209"
"Cymbalaria microcalyx subsp. acutiloba (Boiss. & Heldr.) Greuter","1","10.3",NA,NA,"4.267209"
"Anarrhinum corsicum Jord. & Fourr.","1","4.1",NA,NA,"4.267209"
"Chaenorhinum cryptarum (Boiss. & Hausskn.) Davis","1","11.8",NA,NA,"4.267209"
"Kickxia sieberi Dörfl.","2","1.55","0.212132","0.15","2.133604"
"Linaria pseudoviscosa Murb.","2","10","0.424264","0.3","2.133604"
"Linaria aeruginea Loscos & J.Pardo","4","9.4","0.08165","0.040825","1.066802"
"Schweinfurthia imbricata Mill.","2","8.8","4.808326","3.4","2.133604"
"Linaria damascena Boiss. & Gaill.","1","12.1",NA,NA,"4.267209"
"Nanorrhinum macilentum (Decne.) Betsche","1","13.5",NA,NA,"4.267209"
"Sairocarpus vexillocalyculatus (Kellogg) D.A.Sutton","1","12.3",NA,NA,"4.267209"
"Linaria caesia (Pers.) DC.","1","9.3",NA,NA,"4.267209"
"Linaria depauperata var. hegelmaieri (Lange) Nyman","1","5.3",NA,NA,"4.267209"
