species,life_form,source,notes_1
Alyssum praecox,perennial,,
Fibigia clypeata,perennial,,
Fibigia eriocarpa,perennial,wikipedia,manually_curated
Fibigia macrocarpa,perennial,,
Brachypus suffruticosus,perennial,,
Acuston lunarioides,no_life_form_on_database,,
Degenia velebitica,perennial,,
Resetnikia triquetra,no_life_form_on_database,,
Lutzia cretica,perennial,,
Alyssoides utriculata,perennial,,
Clastopus vestitus,perennial,,
Clastopus purpureus,perennial,,
Irania multicaulis,no_life_form_on_database,,
Irania umbellata,no_life_form_on_database,,
Pterygostemon spathulatus,no_life_form_on_database,,
Physoptychis caspica,perennial,,
Hormathophylla longicaulis,perennial,,
Hormathophylla reverchonii,perennial,,
Hormathophylla spinosa,perennial,,
Hormathophylla halimifolia,perennial,,
Hormathophylla lapeyrouseana,perennial,,
Hormathophylla purpurea,perennial,,
Hormathophylla cadevalliana,perennial,,
Bornmuellera baldaccii,perennial,,
Bornmuellera dieckii,perennial,,
Bornmuellera tymphaea,perennial,,
Bornmuellera emarginata,no_life_form_on_database,,
Bornmuellera cappadocica,perennial,,
Bornmuellera angustifolia,perennial,,
Phyllolepidum cyclocarpum,perennial,,
Phyllolepidum rupestre,perennial,http://dx.doi.org/10.1080/11263504.2011.580789,manually_curated
Berteroa orbiculata,perennial,,rescored_biennial
Berteroa obliqua,perennial,,rescored_biennial
Berteroa incana,annual,,
Berteroa mutabilis,perennial,,rescored_biennial
Lepidotrichum uechtritzianum,perennial,,
Galitzkya potaninii,perennial,,
Galitzkya macrocarpa,perennial,http://efloras.org/florataxon.aspx?flora_id=2&taxon_id=202103,manually_curated
Galitzkya spathulata,perennial,http://efloras.org/florataxon.aspx?flora_id=2&taxon_id=202103,manually_curated
Aurinia gionae,perennial,,
Aurinia moreana,perennial,,
Aurinia saxatilis,perennial,,
Aurinia saxatilis subsp. orientalis,perennial,,
Aurinia petraea,perennial,,
Aurinia corymbosa,perennial,,
Aurinia leucadea,perennial,,
Aurinia sinuata,perennial,,
Cuprella antiatlantica,no_life_form_on_database,,
Cuprella homalocarpa,no_life_form_on_database,,
