"species","life_form","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"Croton malambo","perennial",5,5.198106,0.568449,0.254218,0.044695
"Croton malvaviscifolius","perennial",11,5.271855,0.157395,0.047456,0.020316
"Croton manampetsae","perennial",9,5.088861,0.411697,0.137232,0.024831
"Croton martinianus","perennial",4,4.945261,0.322384,0.161192,0.055869
"Croton masonii","perennial",1,5.493061,NA,NA,0.223476
"Croton matourensis","perennial",133,5.845557,0.312661,0.027111,0.00168
"Croton megistocarpus","perennial",1,5.886104,NA,NA,0.223476
"Croton mexicanus","perennial",7,5.438598,0.266271,0.100641,0.031925
"Croton miarensis","perennial",3,4.67312,0.163139,0.094188,0.074492
"Croton micans","perennial",1,5.407172,NA,NA,0.223476
"Croton michaelii","perennial",1,5.081404,NA,NA,0.223476
"Croton microtiglium","perennial",NA,NA,NA,NA,NA
"Croton milleri","no_life_form_on_database",1,4.276666,NA,NA,0.223476
"Croton minimus","no_life_form_on_database",3,5.263902,0.229383,0.132434,0.074492
"Croton monanthogynus","annual",167,4.740609,0.256356,0.019837,0.001338
"Croton mongue","perennial",18,5.931626,0.328132,0.077341,0.012415
"Croton montevidensis","perennial",11,5.008327,0.204001,0.061509,0.020316
"Croton morifolius","perennial",50,5.219024,0.412514,0.058338,0.00447
"Croton myricifolius","perennial",NA,NA,NA,NA,NA
"Croton nephrophyllus","no_life_form_on_database",NA,NA,NA,NA,NA
"Croton nitens","perennial",17,5.479076,0.323794,0.078532,0.013146
"Croton niveus","perennial",94,5.35388,0.416389,0.042947,0.002377
"Croton nobilis","perennial",5,5.671546,0.405661,0.181417,0.044695
"Croton noronhae","perennial",13,5.884087,0.302712,0.083957,0.01719
"Croton nubigenus","perennial",2,5.906604,0.329909,0.233281,0.111738
"Croton nummulariifolius","no_life_form_on_database",NA,NA,NA,NA,NA
"Croton oerstedianus","perennial",16,5.479257,0.372052,0.093013,0.013967
"Croton olivaceus","perennial",6,5.092808,1.639351,0.669262,0.037246
"Croton oreades","no_life_form_on_database",NA,NA,NA,NA,NA
"Croton organensis","perennial",9,5.618879,0.129309,0.043103,0.024831
"Croton orinocensis","perennial",12,5.992088,0.267243,0.077146,0.018623
"Croton ortholobus","perennial",NA,NA,NA,NA,NA
"Croton ovalifolius","perennial",19,5.21403,0.517356,0.11869,0.011762
"Croton pachypodus","perennial",26,5.819112,0.380305,0.074584,0.008595
"Croton pachysepalus","perennial",2,5.028705,0.083285,0.058891,0.111738
"Croton palanostigma","perennial",87,5.785834,0.271757,0.029135,0.002569
"Croton pallidulus","perennial",15,5.402249,0.254477,0.065706,0.014898
"Croton paludosus","perennial",4,4.839907,0.20819,0.104095,0.055869
"Croton parksii","annual",4,4.808168,0.208904,0.104452,0.055869
"Croton payaquensis","perennial",11,5.545625,0.257044,0.077502,0.020316
"Croton pedicellatus","perennial",10,5.335577,0.307613,0.097276,0.022348
"Croton peltoideus","no_life_form_on_database",NA,NA,NA,NA,NA
"Croton pendens","perennial",NA,NA,NA,NA,NA
"Croton peraeruginosus","perennial",13,5.188681,0.20564,0.057034,0.01719
"Croton perspeciosus","perennial",7,5.122602,0.188618,0.071291,0.031925
"Croton piluliferus","no_life_form_on_database",13,5.162771,0.183569,0.050913,0.01719
"Croton piptocalyx","perennial",12,5.531064,0.271846,0.078475,0.018623
"Croton poecilanthus","perennial",1,5.823046,NA,NA,0.223476
"Croton poilanei","perennial",10,5.679174,0.225459,0.071296,0.022348
"Croton polyandrus","perennial",14,5.286025,0.333362,0.089095,0.015963
"Croton pottsii var. pottsii","perennial",49,4.185761,0.31839,0.045484,0.004561
"Croton pottsii var. thermophilus","perennial",2,3.39897,0.094421,0.066766,0.111738
"Croton priscus","perennial",3,5.593383,0.136246,0.078662,0.074492
"Croton pseudofragrans","perennial",4,5.641032,0.338596,0.169298,0.055869
"Croton pseudoniveus","perennial",26,5.540395,0.348542,0.068355,0.008595
"Croton pulcher","perennial",NA,NA,NA,NA,NA
"Croton punctatus","perennial",83,5.30673,0.437412,0.048012,0.002692
"Croton pungens","perennial",21,5.199637,0.430255,0.093889,0.010642
"Croton purdiei","perennial",5,5.521964,0.366034,0.163695,0.044695
"Croton pycnocephalus","perennial",10,5.116976,0.219695,0.069474,0.022348
"Croton quercetorum","perennial",NA,NA,NA,NA,NA
"Croton ramillatus","perennial",10,5.541301,0.263869,0.083443,0.022348
"Croton redolens","perennial",5,5.187058,0.355943,0.159183,0.044695
"Croton reflexifolius","perennial",61,5.478575,0.444054,0.056855,0.003664
"Croton repens","perennial",48,5.568998,0.371397,0.053607,0.004656
"Croton rimbachii","perennial",7,5.318114,0.501159,0.18942,0.031925
"Croton ripensis","perennial",NA,NA,NA,NA,NA
"Croton robustus","perennial",13,5.950553,0.636844,0.176629,0.01719
"Croton roraimensis","perennial",4,6.135592,0.371725,0.185863,0.055869
"Croton rosmarinoides","perennial",6,5.229098,0.10698,0.043674,0.037246
"Croton rottlerifolius","perennial",10,5.442424,0.206742,0.065378,0.022348
"Croton roxanae","perennial",20,5.515177,0.227429,0.050855,0.011174
"Croton roxburghii","perennial",NA,NA,NA,NA,NA
"Croton ruizianus","perennial",16,4.318496,1.349186,0.337296,0.013967
"Croton sacaquinha","perennial",NA,NA,NA,NA,NA
"Croton saltensis","perennial",14,5.121265,0.190957,0.051035,0.015963
"Croton salutaris","perennial",16,5.569071,0.231068,0.057767,0.013967
"Croton sampatik","perennial",51,5.720875,0.333409,0.046687,0.004382
