"species","life_form","n","mean","sd","se"
"Salvia hintonii","perennial",2,1780,36.7695526217005,26
"Salvia hirtella","perennial",NA,NA,NA,NA
"Salvia hispanica","annual",58,1707.5,245.352324541454,32.2163385293792
"Salvia holwayi","perennial",7,1548,120.972448653953,45.7232878041272
"Salvia honania","annual",7,1270.71428571429,41.5881164345228,15.7188305116208
"Salvia huberi","perennial",NA,NA,NA,NA
"Salvia hupehensis","perennial",3,1124,77.9679421300832,45.0148123769647
"Salvia hydrangea","perennial",NA,NA,NA,NA
"Salvia hylocharis","perennial",3,1128.33333333333,299.17441958385,172.728431681386
"Salvia hypargeia","perennial",1,1279,NA,NA
"Salvia hypoleuca","perennial",NA,NA,NA,NA
"Salvia ibugana","no_life_form_on_database",NA,NA,NA,NA
"Salvia inconspicua","no_life_form_on_database",17,1705.41176470588,148.76199902173,36.0800844143896
"Salvia indica","perennial",2,1960,24.0416305603426,17
"Salvia infuscata","perennial",3,1608.66666666667,197.914964904965,114.266258264537
"Salvia interrupta","perennial",2,1600,212.132034355964,150
"Salvia involucrata","perennial",14,1771.07142857143,244.085251275266,65.2345273883338
"Salvia iodantha","perennial",29,1750.41379310345,144.872485123342,26.9021451175288
"Salvia ionocalyx","no_life_form_on_database",2,1455,11.3137084989848,8
"Salvia isensis","perennial",NA,NA,NA,NA
"Salvia jaimehintoniana","perennial",8,1826.375,100.519987351486,35.5391823505108
"Salvia japonica","annual",110,1203.12727272727,121.934341565632,11.6259833027124
"Salvia jorgehintoniana","no_life_form_on_database",NA,NA,NA,NA
"Salvia judaica","no_life_form_on_database",3,1779.66666666667,176.358536321136,101.820648418896
"Salvia jurisicii","perennial",NA,NA,NA,NA
"Salvia karwinskii","perennial",23,1622.73913043478,162.724870254087,33.9304809735445
"Salvia keerlii","perennial",30,1878.56666666667,139.03501998277,25.3842055759148
"Salvia kiangsiensis","annual",5,1230.8,55.769167108717,24.9407297407273
"Salvia kiaometiensis","no_life_form_on_database",NA,NA,NA,NA
"Salvia korolkovii","perennial",NA,NA,NA,NA
"Salvia koyamae","perennial",2,1126.5,30.4055915910215,21.5
"Salvia kronenburgii","perennial",NA,NA,NA,NA
"Salvia kurdica","perennial",NA,NA,NA,NA
"Salvia lachnostachys","no_life_form_on_database",8,1293.875,138.590287744643,48.9990661354159
"Salvia laevis","perennial",26,1718.80769230769,208.551771842057,40.9003674698846
"Salvia lanata","no_life_form_on_database",2,1445,178.19090885901,126
"Salvia lanceolata","no_life_form_on_database",NA,NA,NA,NA
"Salvia langlassei","perennial",10,1763.8,107.478990194983,33.9878409631052
"Salvia languidula","perennial",13,1840,76.6898515667708,21.2699378562857
"Salvia lanigera","perennial",13,2198,304.224697660572,84.3767497444402
"Salvia lankongensis","perennial",NA,NA,NA,NA
"Salvia lasiantha","perennial",31,1785.83870967742,175.976153076526,31.6062501228194
"Salvia lasiocephala","annual",82,1759.51219512195,226.141780278909,24.9731819054826
"Salvia lavanduloides","perennial",67,1738.14925373134,197.668704603783,24.1490758080748
"Salvia leptophylla","no_life_form_on_database",17,1871.76470588235,196.650238180559,47.6946884306656
"Salvia leptostachys","annual",24,1862.83333333333,116.509625154419,23.7824276459385
"Salvia leriifolia","perennial",NA,NA,NA,NA
"Salvia leucantha","perennial",30,1733.4,214.514785279356,39.1648622719602
"Salvia leucocephala","perennial",NA,NA,NA,NA
"Salvia leucochlamys","perennial",1,1591,NA,NA
