"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Linanthus uncialis","no_life_form_on_database",3,6.73148,0.512778,0.296053,0.101531
"Linanthus watsonii","perennial",NA,NA,NA,NA,NA
"Loeselia ciliata","perennial",69,8.66798,0.611732,0.073644,0.004414
"Loeselia coerulea","no_life_form_on_database",42,7.963847,0.471945,0.072823,0.007252
"Loeselia glandulosa","perennial",95,8.594063,0.608116,0.062391,0.003206
"Loeselia involucrata","no_life_form_on_database",10,8.10223,0.343387,0.108589,0.030459
"Loeselia pumila","no_life_form_on_database",35,8.408729,0.296969,0.050197,0.008703
"Loeseliastrum depressum","annual",19,6.741888,0.438969,0.100706,0.016031
"Loeseliastrum schottii","no_life_form_on_database",49,6.685055,0.692544,0.098935,0.006216
"Microgilia minutiflora","annual",22,7.753919,0.570488,0.121628,0.013845
"Microsteris gracilis","annual",201,8.263888,0.852022,0.060097,0.001515
"Navarretia atractyloides","no_life_form_on_database",28,7.776013,0.661728,0.125055,0.010878
"Navarretia breweri","annual",76,7.833861,0.382116,0.043832,0.004008
"Navarretia capillaris","annual",27,8.609858,0.546011,0.10508,0.011281
"Navarretia divaricata","annual",34,8.643399,0.533958,0.091573,0.008959
"Navarretia eriocephala","annual",4,8.201623,0.315323,0.157662,0.076148
"Navarretia filicaulis","annual",4,8.540749,0.290171,0.145086,0.076148
"Navarretia fossalis","no_life_form_on_database",7,7.450872,0.15569,0.058845,0.043513
"Navarretia furnissii","annual",NA,NA,NA,NA,NA
"Navarretia hamata","no_life_form_on_database",16,7.728546,0.358573,0.089643,0.019037
"Navarretia heterandra","annual",10,8.357696,0.386052,0.12208,0.030459
"Navarretia intertexta","annual",62,8.327588,0.566808,0.071985,0.004913
"Navarretia involucrata","annual",17,8.141759,0.730425,0.177154,0.017917
"Navarretia jaredii","annual",NA,NA,NA,NA,NA
"Navarretia jepsonii","annual",4,8.476522,0.139029,0.069515,0.076148
"Navarretia leptalea","annual",15,8.794443,0.518889,0.133977,0.020306
"Navarretia leucocephala","annual",14,8.204195,0.500898,0.133871,0.021757
"Navarretia linearifolia","no_life_form_on_database",NA,NA,NA,NA,NA
"Navarretia mellita","annual",14,8.459246,0.495664,0.132472,0.021757
