"species","life_form","n_bio_13","mean_bio_13","sd_bio_13","se_bio_13","within_sp_var_bio_13"
"Salvia dominica","perennial",1,4.882802,NA,NA,0.223385
"Salvia dorisiana","perennial",3,5.41728,0.297782,0.171925,0.074462
"Salvia dorrii","perennial",53,3.616697,0.564476,0.077537,0.004215
"Salvia dorystaechas","perennial",NA,NA,NA,NA,NA
"Salvia durifolia","no_life_form_on_database",8,5.213071,0.162354,0.057401,0.027923
"Salvia elegans","perennial",57,5.409283,0.476938,0.063172,0.003919
"Salvia engelmannii","perennial",8,4.490727,0.285355,0.100888,0.027923
"Salvia eremostachya","perennial",12,3.634402,0.487337,0.140682,0.018615
"Salvia eriophora","perennial",NA,NA,NA,NA,NA
"Salvia erythrostoma","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia euphratica","perennial",3,4.142955,0.299963,0.173184,0.074462
"Salvia evansiana","perennial",8,4.867825,0.524625,0.185483,0.027923
"Salvia exserta","annual",8,4.716331,1.026795,0.363027,0.027923
"Salvia farinacea","perennial",45,4.41818,0.364905,0.054397,0.004964
"Salvia filifolia","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia filipes","no_life_form_on_database",2,4.447541,0.815067,0.576339,0.111692
"Salvia flaccidifolia","perennial",NA,NA,NA,NA,NA
"Salvia flava","perennial",11,4.870434,0.428692,0.129256,0.020308
"Salvia flocculosa","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia florida","no_life_form_on_database",8,5.056518,0.275727,0.097484,0.027923
"Salvia formosa","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia forreri","no_life_form_on_database",25,4.990521,0.532597,0.106519,0.008935
"Salvia frigida","perennial",NA,NA,NA,NA,NA
"Salvia fruticosa","perennial",19,4.833872,0.321404,0.073735,0.011757
"Salvia fruticulosa","perennial",6,5.123295,0.420352,0.171608,0.037231
"Salvia fulgens","perennial",22,5.280612,0.430432,0.091768,0.010154
"Salvia funerea","perennial",9,3.490904,0.836008,0.278669,0.024821
"Salvia gachantivana","no_life_form_on_database",2,4.930238,0.417913,0.295509,0.111692
"Salvia galloana","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia garipensis","no_life_form_on_database",18,3.283503,0.674247,0.158922,0.01241
"Salvia geminata","perennial",NA,NA,NA,NA,NA
"Salvia gesneriiflora","no_life_form_on_database",15,5.423935,0.329018,0.084952,0.014892
"Salvia gilliesii","no_life_form_on_database",26,4.186136,1.099748,0.215678,0.008592
"Salvia glabrescens","perennial",16,5.44208,0.243472,0.060868,0.013962
