"species","life_form","n_bio_ai","mean_bio_ai","sd_bio_ai","se_bio_ai","within_sp_var_bio_ai"
"Salvia filipes","no_life_form_on_database",2,7.969058,0.712728,0.503975,0.152071
"Salvia flaccidifolia","perennial",NA,NA,NA,NA,NA
"Salvia flava","perennial",11,8.848779,0.238389,0.071877,0.027649
"Salvia flocculosa","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia florida","no_life_form_on_database",8,9.05259,0.450107,0.159137,0.038018
"Salvia formosa","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia forreri","no_life_form_on_database",25,8.189314,0.432087,0.086417,0.012166
"Salvia frigida","perennial",NA,NA,NA,NA,NA
"Salvia fruticosa","perennial",18,8.30945,0.343002,0.080846,0.016897
"Salvia fruticulosa","perennial",6,8.393804,0.311733,0.127264,0.05069
"Salvia fulgens","perennial",22,8.568967,0.343279,0.073187,0.013825
"Salvia funerea","perennial",9,6.554973,0.972349,0.324116,0.033794
"Salvia gachantivana","no_life_form_on_database",2,9.261102,0.029436,0.020814,0.152071
"Salvia galloana","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia garipensis","no_life_form_on_database",18,6.215179,0.581383,0.137033,0.016897
"Salvia geminata","perennial",NA,NA,NA,NA,NA
"Salvia gesneriiflora","no_life_form_on_database",15,8.731123,0.214686,0.055432,0.020276
"Salvia gilliesii","no_life_form_on_database",26,7.237072,0.899419,0.176391,0.011698
"Salvia glabrescens","perennial",16,9.682738,0.271333,0.067833,0.019009
"Salvia glechomifolia","no_life_form_on_database",16,8.3639,0.407529,0.101882,0.019009
"Salvia glutinosa","perennial",113,9.033672,0.390495,0.036735,0.002692
"Salvia gracilipes","no_life_form_on_database",NA,NA,NA,NA,NA
"Salvia graciliramulosa","perennial",1,8.016648,NA,NA,0.304142
"Salvia gravida","no_life_form_on_database",6,8.807562,0.133499,0.054501,0.05069
"Salvia greatae","perennial",1,5.902633,NA,NA,0.304142
"Salvia greggii","perennial",45,7.703543,0.401081,0.05979,0.006759
"Salvia grewiifolia","perennial",21,9.169061,0.245326,0.053535,0.014483
"Salvia guadalajarensis","perennial",3,8.518053,0.377057,0.217694,0.101381
"Salvia guaranitica","perennial",30,9.261139,0.319969,0.058418,0.010138
"Salvia haenkei","perennial",12,8.295236,0.914435,0.263975,0.025345
