species,life_form,,
Clarkia unguiculata Lindl.,annual,,
Clarkia epilobioides (Nutt.) A.Nelson & J.F.Macbr. A.Nelson & J.F.Macbr. (Nutt.),annual,,
Clarkia similis F.H.Lewis & W.R.Ernst,annual,,
Clarkia dudleyana (Abrams) J.F.Macbr. J.F.Macbr. (Abrams),annual,,
Clarkia amoena (Lehm.) A.Nelson & J.F.Macbr. A.Nelson & J.F.Macbr. (Lehm.),annual,,
Clarkia gracilis (Piper) A.Nelson & J.F.Macbr. A.Nelson & J.F.Macbr. (Piper),annual,,
Clarkia franciscana F.H.Lewis & Raven,annual,,
Clarkia mildrediae (A.Heller) H. & Lewis H. & Lewis (A.Heller),annual,,
Clarkia concinna (Fisch. & C.A.Mey.) Greene Greene (Fisch. & C.A.Mey.),annual,,
Clarkia pulchella Pursh,annual,,
Clarkia lassenensis (Eastw.) H. & Lewis H. & Lewis (Eastw.),annual,,
Clarkia delicata (Abrams) A.Nelson & J.F.Macbr. A.Nelson & J.F.Macbr. (Abrams),annual,,
Clarkia rostrata W.S.Davis,annual,,
Clarkia arcuata (Kellogg) A.Nelson & J.F.Macbr. A.Nelson & J.F.Macbr. (Kellogg),annual,,
Clarkia bottae (Spach) H. & Lewis H. & Lewis (Spach),annual,,
Clarkia imbricata H. & Lewis,annual,,
Clarkia affinis H. & Lewis,annual,,
Clarkia lewisii P.H.Raven & D.R.Parn.,annual,,
Clarkia xantiana A.Gray,annual,,
Gayophytum diffusum Torr. & A.Gray,annual,,
Gayophytum heterozygum F.H.Lewis & Szweyk.,annual,,
Gayophytum eriospermum Coville,annual,,
Gayophytum humile Juss.,annual,,
Chylismiella pterosperma (S.Watson) W.L.Wagner & Hoch W.L.Wagner & Hoch (S.Watson),annual,,
Taraxia subacaulis (Pursh) Rydb. Rydb. (Pursh),perennial,,
Taraxia tanacetifolia (Torr. & A.Gray) Piper Piper (Torr. & A.Gray),perennial,,
Taraxia ovata (Nutt.) Small Small (Nutt.),perennial,,
Xylonagra arborea (Kellogg) Donn.Sm. & Rose Donn.Sm. & Rose (Kellogg),perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Epilobium chionanthum Hausskn.,perennial,,
Epilobium insulare Hausskn.,perennial,,
Epilobium margaretiae Brockie,perennial,,
Epilobium crassum Hook.fil.,perennial,,
Epilobium komarovianum Leveille,perennial,,
Epilobium rostratum Cheeseman,perennial,,
Epilobium brevipes Hook.fil.,perennial,,
Epilobium gracilipes Kirk,perennial,,
Epilobium macropus Hook.,perennial,,
Epilobium porphyrium G.Simpson,perennial,,
Epilobium glabellum R.Br. ex Hausskn.,perennial,,
Epilobium melanocaulon Hook.,perennial,,
Epilobium pernitens Cockayne & Allan,perennial,,
Epilobium angustum (Cheeseman) Raven & Engelhorn Raven & Engelhorn (Cheeseman),perennial,,
Epilobium pubens A.Rich.,perennial,,
Epilobium siskiyouense (Munz) Hoch & P.H.Raven Hoch & P.H.Raven (Munz),perennial,,
Epilobium microphyllum A.Rich.,perennial,,
Epilobium pycnostachyum Hausskn.,perennial,,
Epilobium alsinoides A.Cunn.,perennial,,
Epilobium brunnescens (Cockayne) Raven & Engelhorn Raven & Engelhorn (Cockayne),perennial,,
Epilobium tasmanicum Hausskn.,perennial,,
Epilobium gunnianum Hausskn.,perennial,,
Epilobium roseum Schreb.,perennial,,
Epilobium billardierianum Ser.,perennial,https://naturalhistory2.si.edu/botany/onagraceae/result.cfm?myFrom=tree&genus=Oenothera,manually_included
Epilobium hirtigerum A.Cunn.,perennial,,
Epilobium coloratum Biehler,perennial,,
