"","rates","alpha","sigma.sq","theta","expected_mean","expected_var","tip_state"
"Euclidieae.Leptaleum_filifolium",0.0417283555642629,0.831705865522114,0.256432562409861,7.32048862500603,7.32122435767045,0.288757251629637,"annual"
"Euclidieae.Neotorularia_korolkowii",0.0417283555642885,0.831705865522114,0.256432562409861,7.32048862500621,7.32122435767045,0.288757251629637,"annual"
"Euclidieae.Euclidium_syriacum",0.0417283555642604,0.831705865522114,0.256432562409861,7.32048862500602,7.32122435767045,0.288757251629637,"annual"
"Euclidieae.Leiospora_pamirica",0.0498515867796608,0.831705865522114,1.69564046267061,7.97170104288912,7.93917847714464,1.05926918463004,"perennial"
"Eumalvoideae.Hibiscus_mechowii",0.444727493017637,0.0658369161398632,0.140339647482922,8.12366321783854,8.20077813846637,0.975561844806417,"annual"
"Eumalvoideae.Abelmoschus_manihot",0.0157791656563517,0.0658369161398632,0.113345018486391,8.21035000125588,8.20992751235453,0.875313104585425,"perennial"
"Eumalvoideae.Malvaviscus_arboreus",0.0120353014193191,0.0658369161398632,0.113347604055894,8.21035368897936,8.21035368897759,0.875313104593744,"perennial"
"Eumalvoideae.Malvaviscus_palmanus",0.0120353014192365,0.0658369161398632,0.113347604055894,8.21035368897759,8.21035368897759,0.875313104594033,"perennial"
"Eumalvoideae.Pavonia_schiedeana",0.0120493530921849,0.0658369161398632,0.113347597484894,8.21035349758689,8.21035368897759,0.875313104589751,"perennial"
"Eumalvoideae.Decaschistia_byrnesii",0.0120352981213514,0.0658369161398632,0.113347604052868,8.21035368897759,8.21035368897759,0.875313104599855,"perennial"
"Eumalvoideae.Urena_lobata",0.0121088849013877,0.0658369161398632,0.113347604052862,8.21035074168422,8.21035368897759,0.875313104599855,"perennial"
"Eumalvoideae.Hibiscus_surattensis",0.0123106258024516,0.0658369161398632,0.113347409231482,8.21035368897759,8.21035368897759,0.87531310459264,"perennial"
"Eumalvoideae.Hibiscus_micranthus",0.0124890495219166,0.0658369161398632,0.113347282765011,8.21035368897759,8.21035368897759,0.875313104571948,"perennial"
"Eumalvoideae.Humbertiella_henrici",0.0120486687677993,0.0658369161398632,0.113347604052862,8.21035315345703,8.21035368897759,0.875313104578203,"perennial"
"Eumalvoideae.Megistostegium_microphyllum",0.0120353996707941,0.0658369161398632,0.113347604146056,8.21035368897759,8.21035368897759,0.875313104581576,"perennial"
"Eumalvoideae.Alyogyne_hakeifolia",0.0122290055736885,0.0658369161398632,0.113347604052899,8.21034593093528,8.21035368897759,0.875313104634004,"perennial"
"Eumalvoideae.Thespesia_acutiloba",0.012236050398091,0.0658369161398632,0.11334762426424,8.21034643613392,8.21035368897759,0.875313104621021,"perennial"
"Eumalvoideae.Abutilon_abutiloides",0.0121854146314904,0.0658369161398632,0.113347497759811,8.21035368897761,8.21035368897759,0.875313104595519,"perennial"
"Eumalvoideae.Abutilon_malacum",0.0120635731708996,0.0658369161398632,0.11334761814785,8.21035310556987,8.21035368897759,0.875313104598409,"perennial"
"Eumalvoideae.Abutilon_menziesii",0.0120352981158383,0.0658369161398632,0.113347604052862,8.21035368898991,8.21035368897759,0.875313104597305,"perennial"
"Eumalvoideae.Abutilon_sandwicense",0.0120352993796633,0.0658369161398632,0.113347604054019,8.21035368904552,8.21035368897759,0.875313104596003,"perennial"
"Eumalvoideae.Abutilon_incanum",0.012035298115264,0.0658369161398632,0.113347604052862,8.21035368897759,8.21035368897759,0.875313104597448,"perennial"
"Eumalvoideae.Abutilon_indicum",0.44478678301192,0.0658369161398632,0.140339477664922,8.12373419755837,8.19775340563838,1.00436936723762,"annual"
"Eumalvoideae.Abutilon_theophrasti",0.444787975713662,0.0658369161398632,0.140340668645041,8.12373419753377,8.19775340563838,1.00436936723762,"annual"
"Eumalvoideae.Abutilon_fruticosum",0.012037451464612,0.0658369161398632,0.113347604053106,8.21035360274241,8.21035368897759,0.875313104593795,"perennial"
"Eumalvoideae.Briquetia_spicata",0.0120391049421698,0.0658369161398632,0.113347604052883,8.21035353650772,8.21035368897759,0.875313104603414,"perennial"
"Eumalvoideae.Abutilon_angulatum",0.0120483950692849,0.0658369161398632,0.113347604052883,8.21035316442012,8.21035368897759,0.875313104602547,"perennial"
"Eumalvoideae.Abutilon_grandifolium",0.0125102839279045,0.0658369161398632,0.113347361980804,8.21034835766062,8.21035368897759,0.875313104612166,"perennial"
"Eumalvoideae.Wissadula_excelsior",0.012035298115264,0.0658369161398632,0.113347604052862,8.21035368897759,8.21035368897759,0.875313104597253,"perennial"
"Eumalvoideae.Anoda_crenatiflora",0.444784917839702,0.0658369161398632,0.140339454899261,8.12362976528778,8.20414044366635,0.938090690368222,"annual"
"Eumalvoideae.Periptera_punicea",0.0127658379819868,0.0658369161398632,0.113347602473754,8.21032474576208,8.20942857301751,0.875522842420293,"perennial"
"Eumalvoideae.Bastardiastrum_cinctum",0.0120461542460922,0.0658369161398632,0.113347604052862,8.2103532541685,8.21018473078959,0.875313104602496,"perennial"
"Eumalvoideae.Bakeridesia_bakeriana",0.0120352981152652,0.0658369161398632,0.113347604052862,8.21035368897762,8.21035368897759,0.875313104606491,"perennial"
"Eumalvoideae.Bakeridesia_nelsonii",0.0120352986354657,0.0658369161398632,0.113347604052862,8.21035370014018,8.21035368897759,0.875313104606779,"perennial"
"Eumalvoideae.Bakeridesia_yucatana",0.0120352981248247,0.0658369161398632,0.113347604052862,8.21035368918275,8.21035368897759,0.875313104604859,"perennial"
"Eumalvoideae.Bakeridesia_integerrima",0.0120387594163243,0.0658369161398632,0.113347604052862,8.21035355034578,8.21035368897759,0.875313104606293,"perennial"
"Eumalvoideae.Bakeridesia_ferruginea",0.012035298115264,0.0658369161398632,0.113347604052862,8.21035368897759,8.21035368897759,0.875313104605096,"perennial"
"Eumalvoideae.Bakeridesia_notolophium",0.012035298115264,0.0658369161398632,0.113347604052862,8.21035368897759,8.21035368897759,0.875313104605096,"perennial"
"Eumalvoideae.Bakeridesia_gaumeri",0.0120352981152651,0.0658369161398632,0.113347604052862,8.21035368897761,8.21035368897759,0.875313104604137,"perennial"
"Eumalvoideae.Bakeridesia_pittieri",0.0120361018296775,0.0658369161398632,0.11334760388715,8.21035368897838,8.21035368897759,0.875313104603558,"perennial"
"Eumalvoideae.Bakeridesia_gloriosa",0.0120352981248941,0.0658369161398632,0.113347604052871,8.21035368897759,8.21035368897759,0.875313104606635,"perennial"
"Eumalvoideae.Bakeridesia_exalata",0.0123518280462459,0.0658369161398632,0.113347929500252,8.21035368901587,8.21035368897759,0.87531310460615,"perennial"
"Eumalvoideae.Pseudabutilon_umbellatum",0.0639776420772962,0.0658369161398632,0.113400982151545,8.2103526339789,8.21035368897759,0.875313104603745,"perennial"
"Eumalvoideae.Billieturnera_helleri",0.012035298115264,0.0658369161398632,0.113347604052862,8.21035368897759,8.21035368897759,0.875313104584456,"perennial"
"Eumalvoideae.Briquetia_sonorae",0.012035298115264,0.0658369161398632,0.113347604052862,8.21035368897759,8.21035368897759,0.875313104599369,"perennial"
"Eumalvoideae.Hochreutinera_amplexifolia",0.0120461662819967,0.0658369161398632,0.113347597403017,8.21038537549834,8.21035368897759,0.875313104600814,"perennial"
"Eumalvoideae.Sidastrum_paniculatum",0.0120353190754559,0.0658369161398632,0.113347604057316,8.21035368874443,8.21035368897759,0.875313104597923,"perennial"
"Eumalvoideae.Dendrosida_breedlovei",0.0908413385358268,0.0658369161398632,0.113410865670042,8.21035368897759,8.19753824432532,0.888099350565036,"perennial"
"Eumalvoideae.Sida_linifolia",0.444796930684902,0.0658369161398632,0.140339475174056,8.12363922817481,8.1883697585303,0.988016086899626,"annual"
"Eumalvoideae.Sida_aggregata",0.582408076352559,0.0658369161398632,0.113856701655459,8.21025724384214,8.19390604295439,0.90708416112242,"perennial"
"Eumalvoideae.Sida_cordifolia",0.444757544475543,0.0658369161398632,0.140339452670334,8.12364914940326,8.18852587348803,0.96984097661709,"annual"
"Eumalvoideae.Sida_acuta",0.444800313789187,0.0658369161398632,0.140339477078874,8.12361645011218,8.18857675900295,0.950882654454733,"annual"
"Eumalvoideae.Sida_rhombifolia",0.223221366976835,0.0658369161398632,0.113557688412023,8.21031126063481,8.19342988991022,0.892926020597493,"perennial"
"Eumalvoideae.Sida_spinosa",0.444798859419164,0.0658369161398632,0.140339426553395,8.12363198899886,8.18818984795467,1.00257629691467,"annual"
"Eumalvoideae.Sida_glutinosa",0.021356408887195,0.0658369161398632,0.113357071424576,8.21034915706388,8.21035368897759,0.875509113843007,"perennial"
"Eumalvoideae.Sida_martiana",0.0120352981152642,0.0658369161398632,0.113347604052862,8.21035368897759,8.21035368897759,0.875509113843007,"perennial"
"Eumalvoideae.Sida_cuspidata",0.0120352981306596,0.0658369161398632,0.113347604052876,8.21035368897759,8.21035368897759,0.875475265625676,"perennial"
"Eumalvoideae.Robinsonella_lindeniana",0.0122869138382731,0.0658369161398632,0.11334785672068,8.21035345544309,8.21035368897759,0.875313104614766,"perennial"
"Eumalvoideae.Anisodontea_triloba",0.0120403798639712,0.0658369161398632,0.113347604053277,8.21035348900324,8.21035368897759,0.875313104590525,"perennial"
"Eumalvoideae.Abutilon_sonneratianum",0.0122253766286748,0.0658369161398632,0.113347624898125,8.2103468879812,8.21035368897759,0.875313104595232,"perennial"
"Eumalvoideae.Malope_trifida",0.444709703836195,0.0658369161398632,0.140339477772614,8.12369242009671,8.19796168506771,1.00278661191319,"annual"
"Eumalvoideae.Malacothamnus_palmeri",0.0120354495020938,0.0658369161398632,0.113347604191784,8.21035368897759,8.21035368897759,0.875313104595044,"perennial"
"Eumalvoideae.Neobrittonia_acerifolia",0.0123163370938402,0.0658369161398632,0.113347815235537,8.21035066717292,8.21035368897759,0.875313104593114,"perennial"
"Eumalvoideae.Malvella_sagittifolia",0.0137455020189899,0.0658369161398632,0.113347604054309,8.21028520131791,8.21030472559518,0.875313104614281,"perennial"
"Eumalvoideae.Cristaria_andicola",0.437709301857079,0.0658369161398632,0.113590501755325,8.2083508025854,8.18306398046567,1.02370039192543,"perennial"
