"","np","lnLik","DiscLik","ContLik","AIC","dAIC","AICwt"
"Arabideae.CD_BMV",5,224.450325733706,-106.838001009036,335.817450406395,-438.900651467411,61.695837486912,2.60806370653651e-14
"Arabideae.CD_OUV",6,237.209696104019,-105.508463772181,346.520702597079,-462.419392208038,38.1770967462856,3.33693585244022e-09
"Arabideae.CD_OUM",6,256.298244477162,-105.194108968918,365.381287103831,-500.596488954323,0,0.650727385376565
"Arabideae.CD_OUMV",7,238.02970068794,-105.898810037653,347.659300477685,-462.059401375879,38.5370875784437,2.78725589146494e-09
"Arabideae.CID_BMV",9,210.061917995707,-110.149148651531,322.913929528342,-402.123835991415,98.4726529629086,2.69360670224628e-22
"Arabideae.CID_OUV",10,250.78594346991,-104.039493179485,358.422670958617,-481.57188693982,19.0246020145034,4.81126464912903e-05
"Arabideae.CID_OUM",10,254.032093500367,-107.468446515688,363.19100019358,-488.064187000733,12.53230195359,0.00123607348956584
"Arabideae.CID_OUMV",11,235.395369464455,-106.115126229417,344.826923108473,-448.79073892891,51.8057500254133,3.66372949345249e-12
"Balsamiaceae.CID_BM1",4,142.406510207807,-51.5026075342658,197.604191414749,-276.813020415615,3.70875941744691,0.0482999152091382
"Balsamiaceae.CID_OU1",5,144.673229866404,-51.6774461244445,199.793347807296,-279.346459732809,1.1753201002532,0.171425618944627
"Balsamiaceae.CD_BMV",5,144.425584367618,-51.1701588142689,199.476405566155,-278.851168735236,1.67061109782583,0.133821117616913
"Balsamiaceae.CD_OUV",6,145.179168148976,-51.026262031063,200.553834911244,-278.358336297951,2.16344353511062,0.104594162927438
"Balsamiaceae.CD_OUM",6,145.85168510321,-51.5633044123465,201.850012215282,-279.703370206419,0.818409626642676,0.20491693472377
"Balsamiaceae.CD_OUMV",7,147.260889916531,-51.7467584226364,203.609156096593,-280.521779833062,0,0.308527047544314
"Balsamiaceae.CID_BMV",9,144.352101491528,-51.8231797879452,199.917737867949,-270.704202983057,9.81757685000514,0.00227736959117197
"Balsamiaceae.CID_OUV",10,120.513142383914,-51.1517692739799,175.414699093775,-221.026284767829,59.4954950652329,3.71544332262996e-14
"Balsamiaceae.CID_OUM",10,146.240053940406,-51.7906231473372,202.169296164224,-272.480107880811,8.04167195225057,0.00553434675130333
"Balsamiaceae.CID_OUMV",11,148.554540720987,-51.9242513983378,204.498850081408,-275.109081441973,5.41269839108844,0.0206034866912877
"Brassiceae.CID_BM1",4,107.833826635103,-34.6473521638447,146.288226315373,-207.667653270206,70.0457842915417,2.46358749646638e-16
"Brassiceae.CID_OU1",5,143.751042360002,-34.8481746261871,182.212404011744,-277.502084720003,0.21135284174369,0.359684815506855
"Brassiceae.CD_BMV",5,108.007206905481,-34.9378038340375,146.845888593017,-206.014413810963,71.6990237507845,1.07788295431155e-16
"Brassiceae.CD_OUV",6,143.146238576666,-35.0358311418701,181.666102689377,-274.292477153332,3.42096040841477,0.0722711018985292
"Brassiceae.CD_OUM",6,144.856718780874,-34.9033638945411,183.125197059423,-277.713437561747,0,0.399776066405487
"Brassiceae.CD_OUMV",7,144.948535231691,-34.6689136150873,183.210869429241,-275.897070463382,1.81636709836556,0.161212119004185
"Brassiceae.CID_BMV",9,107.720538056998,-35.115647627747,147.531293352547,-197.441076113995,80.2723614477521,1.48215962076148e-18
"Brassiceae.CID_OUV",10,143.11271701185,-35.0556177210163,181.715067125013,-266.2254340237,11.4880035380471,0.00128005466920083
"Brassiceae.CID_OUM",10,144.619471283238,-35.0541157440304,183.183850679668,-269.238942566475,8.47449499527215,0.00577568612410876
