"wcvp_name","gbif_name"
"Scorzonera franchetii","Scorzonera franchetii Lipsch."
"Scorzonera gageoides","Scorzonera gageoides Boiss."
"Lagochilus nevskii","Lagochilus nevskii Knorring"
"Scorzonera glabra","Scorzonera glabra Rupr."
"Scorzonera gokcheoglui","Scorzonera gokcheoglui Ünal & Göktürk"
"Scorzonera gorovanica","Scorzonera gorovanica Nazarova"
"Scorzonera grubovii","Scorzonera grubovii Lipsch."
"Scorzonera helodes","Scorzonera helodes Rech.fil."
"Scorzonera hieraciifolia","Scorzonera hieraciifolia Hayek"
"Pseudopodospermum hispanicum subsp. hispanicum","Pseudopodospermum hispanicum subsp. hispanicum"
"Lagochilus occultiflorus","Lagochilus occultiflorus Rupr."
"Scorzonera hondae","Scorzonera hondae Kitam."
"Pilosella nigrolegionensis","Pilosella ×nigrolegionensis Mateo & Egido"
"Pilosella niveocantabrica","Pilosella ×niveocantabrica Mateo & Egido"
"Lagochilus occultiflorus subsp. linearilobus","Lagochilus occultiflorus subsp. linearilobus Tzukerv."
"Lagochilus occultiflorus subsp. occultiflorus","Lagochilus occultiflorus subsp. occultiflorus"
"Lagochilus occultiflorus subsp. usunachmaticus","Lagochilus occultiflorus subsp. usunachmaticus (Knorring) Tzukerv. Tzukerv. (Knorring)"
"Pilosella niveocastellana","Pilosella ×niveocastellana Mateo & Egido"
"Pilosella niveogaliciana","Pilosella ×niveogaliciana Mateo & Egido"
"Lagochilus olgae","Lagochilus olgae Kamelin"
"Pilosella noguerensis","Pilosella ×noguerensis Mateo"
"Pilosella norrliniiformis","Pilosella norrliniiformis (Pohle & Zahn) Soják Soják (Pohle & Zahn)"
"Pterachaenia stewartii","Pterachaenia stewartii (Hook.fil.) R.R.Stewart R.R.Stewart (Hook.fil.)"
"Tourneuxia variifolia","Tourneuxia variifolia Coss."
"Tragopogon acanthocarpus","Tragopogon acanthocarpus Boiss."
"Tragopogon alaicus","Tragopogon alaicus Nikitin"
"Lagochilus paulsenii","Lagochilus paulsenii Briq."
"Tragopogon anatolicus","Tragopogon anatolicus A.Duran, B.Dogan & Coskunç."
"Tragopogon angustifolius","Tragopogon angustifolius Bellardi ex Willd."
"Tragopogon ameniacus","Tragopogon ameniacus Kuth."
"Tragopogon artvinensis","Tragopogon artvinensis Makbul, Gültepe & Coskunç."
"Tragopogon aureus","Tragopogon aureus Boiss."
"Tragopogon badachschanicus","Tragopogon badachschanicus Boriss."
"Tragopogon bakhtiaricus","Tragopogon bakhtiaricus Rech.fil."
"Tragopogon balcanicus","Tragopogon balcanicus Velen."
"Tragopogon bjelorussicus","Tragopogon bjelorussicus Artemczuk"
