,np,lnLik,DiscLik,ContLik,AICc,dAICc,AICcwt
bio_1.Cardamineae.HYB_BMV,11,188.8618358,-53.65389224,246.7174029,-352.8541065,49.05814374,1.98E-11
bio_1.Cardamineae.HYB_OUV,12,202.4962895,-53.75519987,260.4359757,-377.5640077,24.34824254,4.59E-06
bio_1.Cardamineae.HYB_OUM,12,206.7784266,-53.62888942,264.9462532,-386.1282818,15.78396843,0.00033244
bio_1.Cardamineae.HYB_OUMV,15,207.4303797,-53.55252986,265.7078942,-379.4062139,22.50603632,1.15E-05
bio_1.Cardueae.CID_BM1,4,262.0553639,-74.57743114,341.0640035,-515.7567455,8.747619035,0.011246462
bio_1.Cardueae.CID_OU1,5,267.5200394,-73.74655293,345.4582848,-524.5043645,0,0.892354149
bio_1.Cardueae.CD_BMV,5,263.5478937,-74.57958077,342.3634807,-516.5600731,7.94429141,0.016805688
bio_1.Cardueae.CD_OUV,6,263.9005482,-74.2473907,342.5935269,-515.0443396,9.460024862,0.00787624
bio_1.Cardueae.CD_OUM,6,266.0257139,-74.35735107,344.7886459,-519.294671,5.209693552,0.065957877
bio_1.Cardueae.CD_OUMV,7,259.7868236,-74.35545525,337.5148859,-504.5554654,19.94889915,4.16E-05
bio_1.Cardueae.CID_BMV,9,259.3471079,-78.72007749,341.3923411,-499.0275492,25.4768153,2.62E-06
bio_1.Cardueae.CID_OUV,10,267.7370171,-74.20871392,345.8407321,-513.4179595,11.08640504,0.003492649
bio_1.Cardueae.CID_OUM,10,267.0950124,-74.76553952,345.6287395,-512.13395,12.3704145,0.001837959
bio_1.Cardueae.CID_OUMV,11,248.1106003,-74.17109299,326.5689955,-471.7306345,52.77373002,3.10E-12
bio_1.Cardueae.HYB_BMV,11,263.7702963,-74.39938365,342.4217695,-503.0500267,21.45433785,1.96E-05
bio_1.Cardueae.HYB_OUV,12,267.5379504,-74.74003333,346.385849,-508.1044722,16.39989233,0.000245101
bio_1.Cardueae.HYB_OUM,12,246.07921,-74.3904381,323.8728409,-465.1869915,59.31737305,1.17E-13
bio_1.Cardueae.HYB_OUMV,15,270.6919504,-75.05247903,350.3026491,-506.6780184,17.82634608,0.000120114
bio_1.CES.CID_BM1,4,72.10004834,-13.01240258,89.62522267,-134.53343,0,0.480425224
bio_1.CES.CID_OU1,5,72.10731077,-12.96689303,89.62308446,-131.6059259,2.927504121,0.111154323
bio_1.CES.CD_BMV,5,73.11826888,-13.3985239,91.28815991,-133.6278421,0.905587911,0.305477962
bio_1.CES.CD_OUV,6,73.10580506,-13.16036502,91.09173642,-130.3934283,4.140001702,0.060622781
bio_1.CES.CD_OUM,6,72.36559404,-14.02728836,91.07788125,-128.9130063,5.620423742,0.028917869
bio_1.CES.CD_OUMV,7,73.34108594,-14.1169281,91.53987944,-127.3488385,7.184591461,0.01322853
bio_1.CES.CID_BMV,9,72.95016714,-13.17949479,91.32421423,-118.4266501,16.10677995,0.000152786
bio_1.CES.CID_OUV,10,72.94573163,-13.54927191,90.88927713,-113.669241,20.86418897,1.42E-05
bio_1.CES.CID_OUM,10,71.89590971,-13.17827543,89.61821045,-111.5695972,22.96383282,4.96E-06
bio_1.CES.CID_OUMV,11,71.6933407,-17.26295638,92.45293628,-105.8572696,28.67616037,2.85E-07
bio_1.CES.HYB_BMV,11,72.99180645,-13.16977902,90.57301578,-108.4542011,26.07922888,1.04E-06
bio_1.CES.HYB_OUV,12,72.83646258,-13.52416005,90.40185086,-102.1729252,32.36050485,4.51E-08
bio_1.CES.HYB_OUM,12,72.63734761,-13.29943449,91.33767121,-101.7746952,32.75873479,3.70E-08
bio_1.CES.HYB_OUMV,15,72.9601666,-13.11301917,91.16933377,-78.99725627,55.53617374,4.19E-13
bio_1.Chamaecrista.CID_BM1,4,253.7289154,-13.97222216,271.8160014,-498.8517702,16.40645892,0.000209992
bio_1.Chamaecrista.CID_OU1,5,263.090653,-13.91209484,281.1917245,-515.2582291,0,0.767044354
bio_1.Chamaecrista.CD_BMV,5,255.0258721,-14.26183662,274.7382896,-499.1286672,16.12956188,0.000241174
bio_1.Chamaecrista.CD_OUV,6,255.1703182,-13.913878,273.2436352,-497.0281364,18.23009266,8.44E-05
bio_1.Chamaecrista.CD_OUM,6,263.0834118,-13.81966509,281.2034455,-512.8543237,2.403905421,0.230578627
bio_1.Chamaecrista.CD_OUMV,7,259.0982241,-13.4891312,277.1672854,-502.4186704,12.83955871,0.001249527
bio_1.Chamaecrista.CID_BMV,9,256.313829,-14.40196463,278.2532498,-491.6768383,23.58139083,5.81E-06
bio_1.Chamaecrista.CID_OUV,10,254.6467079,-13.95902987,273.1957284,-485.6267491,29.63147998,2.82E-07
bio_1.Chamaecrista.CID_OUM,10,262.0965594,-14.01768193,280.0244154,-500.5264521,14.73177702,0.000485127
bio_1.Chamaecrista.CID_OUMV,11,255.2545636,-14.02990196,273.3617463,-484.034551,31.22367815,1.27E-07
bio_1.Chamaecrista.HYB_BMV,11,255.8261291,-17.18608113,277.1539563,-485.177682,30.0805471,2.25E-07
bio_1.Chamaecrista.HYB_OUV,12,263.3210279,-14.476107,281.5957573,-497.2627454,17.99548371,9.49E-05
bio_1.Chamaecrista.HYB_OUM,12,256.8528783,-14.36492637,275.2572686,-484.3264463,30.9317828,1.47E-07
bio_1.Chamaecrista.HYB_OUMV,15,265.1211094,-13.63710035,283.2702902,-491.514946,23.7432831,5.36E-06
bio_1.Chorisporeae.CID_BM1,4,19.24560433,-4.633489534,28.45080023,-23.82454199,271.7515315,9.58E-60
bio_1.Chorisporeae.CID_OU1,5,20.36652652,-4.607555536,29.56364242,-18.73305304,276.8430204,7.51E-61
bio_1.Chorisporeae.CD_BMV,5,22.44142617,-4.734102707,30.03941052,-22.88285235,272.6932211,5.98E-60
bio_1.Chorisporeae.CD_OUV,6,18.90730448,-4.675940039,28.10699971,-4.81460896,290.7614645,7.13E-64
bio_1.Chorisporeae.CD_OUM,6,25.67002018,-4.642480067,32.913225,-18.34004036,277.2360331,6.17E-61
bio_1.Chorisporeae.CD_OUMV,7,26.82995444,-4.610098591,35.9654966,-2.326575541,293.2494979,2.06E-64
bio_1.Chorisporeae.CID_BMV,9,23.09146192,-4.744619755,30.56603225,151.8170762,447.3931496,6.94E-98
bio_1.Chorisporeae.CID_OUV,10,18.97323236,-4.625449936,28.30306135,Inf,Inf,0
bio_1.Chorisporeae.CID_OUM,10,24.60538034,-4.718338082,32.44864768,Inf,Inf,0
bio_1.Chorisporeae.CID_OUMV,11,26.78803674,-4.664574269,35.90180813,-295.5760735,0,0.980049222
bio_1.Chorisporeae.HYB_BMV,11,22.89370211,-4.739395693,31.00899466,-287.7874042,7.788669267,0.019950778
bio_1.Chorisporeae.HYB_OUV,12,22.90984222,-4.720621182,30.78637543,-177.8196844,117.756389,2.63E-26
bio_1.Chorisporeae.HYB_OUM,12,19.39823853,-5.328721085,28.13092052,-170.7964771,124.7795964,7.87E-28
bio_1.Chorisporeae.HYB_OUMV,15,29.53137684,-4.689144882,36.26246495,-125.0627537,170.5133198,9.22E-38
bio_1.Croton.CID_BM1,4,638.6947035,-46.10274822,689.2889824,-1269.201614,33.89392188,4.22E-08
bio_1.Croton.CID_OU1,5,638.7419051,-46.07841742,689.267209,-1267.200791,35.89474405,1.55E-08
bio_1.Croton.CD_BMV,5,639.1440047,-46.07590738,691.0555964,-1268.00499,35.09054495,2.32E-08
bio_1.Croton.CD_OUV,6,641.7215502,-46.61025203,692.2188718,-1271.044996,32.05053925,1.06E-07
bio_1.Croton.CD_OUM,6,637.930985,-48.18448471,689.2647233,-1263.463866,39.63166965,2.40E-09
bio_1.Croton.CD_OUMV,7,646.5359683,-46.02109331,696.8758564,-1278.538603,24.55693219,4.50E-06
bio_1.Croton.CID_BMV,9,639.463076,-45.43772726,689.2509576,-1260.060767,43.03476803,4.37E-10
bio_1.Croton.CID_OUV,10,641.8015689,-46.18007763,692.5542863,-1262.540336,40.55519959,1.51E-09
bio_1.Croton.CID_OUM,10,641.0073642,-47.58317148,692.14963,-1260.951926,42.14360898,6.82E-10
bio_1.Croton.CID_OUMV,11,639.325116,-46.19127421,689.9367268,-1255.368679,47.72685676,4.18E-11
bio_1.Croton.HYB_BMV,11,638.9771542,-46.87554254,691.8918761,-1254.672755,48.42278036,2.95E-11
bio_1.Croton.HYB_OUV,12,664.3087433,-47.5904745,715.237494,-1303.095535,0,0.966774289
bio_1.Croton.HYB_OUM,12,646.2283573,-46.30409615,696.8329993,-1266.934763,36.160772,1.36E-08
bio_1.Croton.HYB_OUMV,15,664.3651039,-46.96495154,716.9205095,-1296.35397,6.741565164,0.033221009
bio_1.Erysimeae.CID_BM1,4,101.0071242,-13.62367435,119.1818358,-192.9031372,1.93633166,0.212862641
bio_1.Erysimeae.CID_OU1,5,103.2768773,-13.59338608,121.4649647,-194.8394689,0,0.560490846
bio_1.Erysimeae.CD_BMV,5,101.080525,-13.66598099,119.1519453,-190.4467643,4.392704545,0.062331109
bio_1.Erysimeae.CD_OUV,6,101.4656808,-13.62957324,119.6607475,-188.4607733,6.378695572,0.023091512
bio_1.Erysimeae.CD_OUM,6,103.2359649,-13.71387808,121.517056,-192.0013416,2.838127237,0.135605413
bio_1.Erysimeae.CD_OUMV,7,101.480192,-13.75495862,119.6546064,-185.5664445,9.27302434,0.005431964
bio_1.Erysimeae.CID_BMV,9,100.9783056,-13.66375981,119.1602288,-178.1501596,16.68930924,0.000133208
bio_1.Erysimeae.CID_OUV,10,101.4408687,-13.76014343,119.6707775,-175.5484041,19.29106473,3.63E-05
bio_1.Erysimeae.CID_OUM,10,96.62930684,-18.11624877,118.9401244,-165.9252804,28.91418851,2.95E-07
bio_1.Erysimeae.CID_OUMV,11,101.4557076,-13.68591991,119.6670435,-171.807967,23.03150191,5.59E-06
bio_1.Erysimeae.HYB_BMV,11,101.0811031,-13.63633589,119.0367804,-171.0587579,23.78071097,3.84E-06
bio_1.Erysimeae.HYB_OUV,12,102.6402899,-13.60685528,120.5646279,-170.1377227,24.7017462,2.42E-06
bio_1.Erysimeae.HYB_OUM,12,103.3403753,-13.63513153,121.5032514,-171.5378935,23.3015754,4.88E-06
bio_1.Erysimeae.HYB_OUMV,15,101.7543064,-13.80396098,120.8753998,-154.3086128,40.53085609,8.86E-10
bio_1.Euclidieae.CID_BM1,4,31.10448718,-11.72403406,47.35155813,-51.70897437,4.472337359,0.083402586
bio_1.Euclidieae.CID_OU1,5,32.31421414,-11.71758438,48.57499538,-50.62842827,5.552883449,0.048589442
bio_1.Euclidieae.CD_BMV,5,31.06325588,-11.78518258,47.30412387,-48.12651176,8.054799966,0.013907775
bio_1.Euclidieae.CD_OUV,6,31.03490435,-11.70164196,47.27978686,-44.06980869,12.11150303,0.001829598
bio_1.Euclidieae.CD_OUM,6,37.09065586,-11.70172632,52.79580184,-56.18131172,0,0.780432296
