"","Group.1","Group.2","Group.3","x"
"620","CID","CES","bio_6",0.64
"621","HYB","CES","bio_6",0
"622","CD","Chamaecrista","bio_6",0.25
"623","CID","Chamaecrista","bio_6",0.76
"624","HYB","Chamaecrista","bio_6",0
"625","CD","Chorisporeae","bio_6",0
"626","CID","Chorisporeae","bio_6",0.99
"627","HYB","Chorisporeae","bio_6",0.01
"628","CD","Croton","bio_6",0
"629","CID","Croton","bio_6",0
"630","HYB","Croton","bio_6",1
"631","CD","Erysimeae","bio_6",0.22
"632","CID","Erysimeae","bio_6",0.77
"633","HYB","Erysimeae","bio_6",0
"634","CD","Euclidieae","bio_6",0.72
"635","CID","Euclidieae","bio_6",0.29
"636","HYB","Euclidieae","bio_6",0
"637","CD","Eumalvoideae","bio_6",0
"638","CID","Eumalvoideae","bio_6",1
"639","HYB","Eumalvoideae","bio_6",0
"640","CD","Gesneriaceae","bio_6",0.46
"641","CID","Gesneriaceae","bio_6",0.52
"642","HYB","Gesneriaceae","bio_6",0.02
"643","CD","Grewioideae","bio_6",0.53
"644","CID","Grewioideae","bio_6",0.47
"645","HYB","Grewioideae","bio_6",0
"646","CD","Heliophileae","bio_6",0.36
"647","CID","Heliophileae","bio_6",0.63
"648","HYB","Heliophileae","bio_6",0
"649","CD","Hypericum","bio_6",0.23
"650","CID","Hypericum","bio_6",0.77
